helpful_votes,page_url,total_review,visibility_status
65,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ2FIHBO55MYSAPCZ5HPX7I4GWQ/,27,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7OBIKBVHMPUCWLCAQ7EFSBPGAQ/,1,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWC3NRL5PAAPQYD7QFRVLF544DA/,26,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFINXRG7MSQIME26NGYVPMCJHLA/,8,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMKKZBZFJWQCVLDLPQME6UUYPGQ/,28,Public
307,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2BTPNI2OI2QR6YG3ZWUCM4DOYA/,537,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTTWUXDYKTRHYVEEN33TDYVIPUQ/,29,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU6DOQW72CQLJ6WGZAYAFWPWSPA/,15,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB5J4XGTZLL4HTOG3V4WW6IWJXA/,23,Public
482,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHY67FODG5GXMV6ND3IJZ4JONCQ/,56,Public
283,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFE6LMMA5BC6S2N2VUAJWT33FN7A/,14,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKNRDTHRCNF4V56DPJXNX5OO6WA/,32,Public
98,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFC3QXKVKCJ5OUCA5OHG6WSXEKEQ/,195,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPYFUKLZPFQZHNKFZCASDWQZZ6A/,12,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELJPYV4OAQLH3QAOAIJJQFO2GIA/,19,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2R6FSNLYG5NI7GEHRTITAQMN2Q/,3,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFA7BG732CQVXCPJUNN5V3IQHVQ/,24,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGZP3UMLVVTXXB3MHBINRDKG6WA/,8,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJI6RYLOYEX4U6XFV4Q266XOLSQ/,70,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AED6LBRVFRO6AKFCH5AMAYODOFNQ/,14,Public
239,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGOTQNW4OFU5URUNFEY5RZ4DJZQ/,383,Public
242,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AED7DCHJZY27MAYZDO75LW4UFG6A/,15,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5DVPJCZ7NUQ4AMOCEP4CKL6H6A/,12,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOHMXQ66LXRUBMD5X3J34LQMJLA/,52,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB57MJDBX6B5QREU4TUSHWDZQJQ/,18,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQZYHEKYKPPLIHATWQOPLW2BPOA/,40,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJNHCYRFTOIUTTRE2RUA3C7USXQ/,5,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENHOEBLJ62WDLSV75AWZGNLRFTA/,23,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVRYDBTS7YT63TVZDJTQWPRSZEA/,19,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE66BDGFZPV2G6W3MUJYB7CLJTNQ/,18,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHS7NSPDBTS3RNI2UZ32ZSLFA5QA/,60,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBRW7B3GNPCIBMC7MWSNKQ7SW2A/,8,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYDEC56JRUEFMPTX7VXA2GIQQKQ/,6,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNFWOCENPXSBSZWQIWLZRK4LRCA/,7,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE475YPNPQZNHOCWNSLA5YFQQBMA/,10,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKQVR7JIR4WCJLMFZVBYBPV2IGA/,11,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOPWILR2NZSRF2KC52OBG5HVRRA/,13,Public
88,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ6PUJF3YGKVZTTG7CYV3CPQRMA/,55,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQRWTS6AVLCED7N2VWYA7A53T3A/,47,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5VEJFVGKHDRPZDRPUI7LZHEOHQ/,5,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKXIPMB4MQUWATNOBZ2YEWXUQXA/,15,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESVRVQSMMU2HVGRT2UOZTYODG2A/,10,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5OF45HGGPOHC3MIGTC3I7Q3F3A/,14,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFSNRU72SM2PEFSL5YL4R5S744A/,6,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZJZC42YWFRP622ZHY5JWY7CQUQ/,22,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEE7UB2WKUZFCQ6OACLTFF6YPUQ/,10,Public
84,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYQMCBQZPRO77SD53SE3CDFKQCQ/,80,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF54BCHKKF7GKNO5SKMGO42KMRSA/,15,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEABQEXEKIBEPGAPX6F7K5JVJMCA/,63,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPVI6RQBP3ELE6UX7NWXPWIFTKQ/,34,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJ3SDNHHQKMVZDA5NSOND756YIA/,20,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6PNKCV67PMJDMEFXMPNONKKN6A/,235,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVC6BMXTYJ6QNJPGVZRNRDPBKTA/,15,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNN3UBTP25G3K4HPYNLOMFRT26A/,5,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZJKHLKPZUITVP7D4RLGELTRPAA/,98,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECKVSAYDQPE6QMR4GGFUGIMQFJA/,16,Public
320,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBU62WKV4A4I32GB7XNWI4CNQQA/,714,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6IV34GQTP4POR6J7HL2XKDCDEA/,106,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFFZW3GWGZ52LDJ7R25FJUBNTHQ/,25,Public
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQSSKRGUEXYO55NAI3MO4FMQ3YQ/,38,Public
225,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYRS2RPER4FTMYNZU75JFVOT76Q/,20,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC3S2KW76CJCKNDW2LSKIXVKS7Q/,30,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5JX2H2G7MVBZQWZJP2FXQNPX3A/,14,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPT4ESER6DEJILBNJ2ONZB7VOSA/,7,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOTA5R6OETUA5X44LQGVNRZ22CA/,15,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRACBMNY4SOKV7Q4DUMR6XI2OYQ/,21,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK3BHWHRX5GILSOYHTFYXH3X4KQ/,27,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJ6NT2XZCCX32P6EZFQBWKCO6TQ/,18,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE6FRDVMZSCI4AMEEGBLYSAAG3Q/,16,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHENFIGRLB2RNAGA6VOXB3HRKCRQ/,214,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYKG5AEBPKGNOUBZAMELLBVDBVQ/,33,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4UH3RJD7BTBKKK5ZY3HYLCE3PA/,8,Public
191,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEL47EHYQPIYHE4Z2AJ4BJIAWECQ/,279,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDDSEHMK7LBXTU3D32DVWEA5NXA/,31,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSO3MLVEZSOOLXCEGJMKDUOHQYQ/,21,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCVTI4MPX2CCQ3FEI4XEWHRRYXQ/,7,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPWOZJ2HV2AIXJMT7UKIKYZ6NRA/,57,Public
223,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA4MC5ZPGRRYYGYQLDTQTZWTJMQ/,109,Public
"1,878",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVFLIMZPBUBWCRTHJKUEYM6KRLQ/,459,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSOOSKLQDN25YBKXBA4SAINSDXQ/,27,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEICL3KGZMF7HLSMOU7XMENWM5AA/,16,Public
180,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZDKQQHAUZAX5FC5VI2E24NCS3A/,54,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKDS3GUW4GWZ7N54V4OVOZCJZUQ/,18,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECYTBVYFK6CXRTMHNFIAUTDGE6Q/,11,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFJ2M2Q5I5325Z67RRSKT35REIQ/,29,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELTVRYRJOND3TQQZ43PR2E3P5KA/,35,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZH7GSB5SCWTU7ZUTG2ZZ74643A/,48,Public
233,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFX4IEYZPG7XWXKQEI6UW7HOSESQ/,11,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGTHZGOPB2HD2EWX2VZOS5VK42Q/,16,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3EF3QMKT7GFA74RRZ3K6O2RTOQ/,19,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSMIXEP4VWGMBWOXFCSFCRHFCSQ/,7,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMW4HXUDZBZITNSREUGKPTEU7RQ/,20,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGD6ROXY3A4MLWXTIOFEIC24KKDQ/,18,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYUYAUWCN3RW2VZJ64BVOFUYEGQ/,28,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWWYSZPHW7YFW2RPQ5MGQOHHHLQ/,126,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7DZWHUI2ZWHDZ4G62J4AIWUNEQ/,59,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECPWMHP7NHC5Q4IFZXJMPBH7XIA/,16,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGR3SC2KG3P4DDQZXGW2QZ6PZ2QQ/,4,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZRF4Y7USC56RTQCFFUR4E5Q6HA/,16,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJP7JKSSD7TMP55MTEUTDEJ2DHQ/,26,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPNAKVR3EFYVVKWXUWBQG4AFRXQ/,91,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEAA7FJ3AFG2YR6SM37SJMDD4PQ/,49,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH46LNGSIYVMVROOA5C7T23P2O3Q/,9,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE52KEJJKZ3AATZMASZ7SWEDJK7Q/,5,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTZU7FWWEOIQESBPRVBWTB5YJVQ/,27,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6APLG4FM6HQGEDN7PWHHYOAQPA/,3,Public
418,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGXJYQ57TDWBJTXIPCHX7EL6H6Q/,541,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF376FWQQ53BPXYUJZ6AF6FWFPGQ/,44,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEHZR5ESNEUXFG7MAS7NMPR6WRA/,33,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6WAKDK6HLLJKKJCZSORG2UFGLA/,25,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFL54WSSWSCR5XMOI6VGLWUNMF4Q/,21,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKTEPKZNMD7S4BVWAQK4EA46XMQ/,21,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7YTREZYC7NSTRP7H4765BHLSPQ/,10,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKFEGZ26O7MTZL53R7BXHEJICMA/,41,Public
527,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW3ST54WPMYL6CEKRSCS5J3S4KA/,366,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3QSYGGO3VHHLDKKKVU4RQVYIPQ/,33,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5ZM33PVNBWHPKJYYDEQAUX6LGQ/,15,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7IV7U3IUMDM25TAXLYA2MT5UBA/,77,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7SK335WUGBHDEUQRCQDE4SZLRQ/,199,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUGAFJ6RSXBFEY22YVQI7UEYO6Q/,5,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLXBN5VZ34RXU7GNWPTHKUMIGBQ/,12,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEO6F4BHCDFK5RDPG2ODJEIRDOKA/,32,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOASUG3SB4XC676JYKFJAMO2HMQ/,17,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMV5C66OKNAIFSAUO2RAVZOPY7A/,21,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXZ5WAHFVWZANOOKEPADAI736RQ/,22,Public
"1,091",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBQNXZZCNFHQ2D7ONUQFEG4HX2A/,309,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQLXEBIHNTVHF3CYRFC2FJCFFDA/,13,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCKZWBACB3PT3ZSJSFRUTXOLPAA/,32,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVJLA7TCXWUEWXYULPFEHMIBT2A/,43,Public
