helpful_votes,page_url,total_review,visibility_status
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOLHTUVSGSDRJ44GRALO3VY2DAQ/,1,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZABKN3B2CN4BTYRH36XX26463A/,2,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKJSVPB7BTIVKI2VMOEX2ZBXRBA/,107,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPQQZGBLHF2UUEHNQAOVINM4PTA/,95,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDAHMZN2P23KME5Q4BKAFYQ7KCA/,33,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDBQ5BDP52EY67TAZHHP45VGSIA/,20,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQ6KBTVAP5EKZLDXLTMST4MTMZQ/,6,Public
103,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSIRJKIFPLXRZG5GGKAHGIQABGQ/,160,Public
121,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFNPDNB4L36O7LAOWOL6T2KODGQ/,19,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3NUIJJW6OP4HSXNSNB77WDB2PQ/,87,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFT4JNQOUQR4JOUQYNFHYZIEOSXQ/,27,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLGZDKUUBTADJEW7OUSAGXQCOMQ/,3,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXDESD3ZMBPW2KMQ74EULWE5MSA/,15,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQNIBWP4AGKU237O4N7N4PR7HMA/,98,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEA6SOMIHFEAJU3HQG3NROXVJZEQ/,12,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEK7VJNELZELIBXKDXL5OFJZUFQ/,38,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5JSVND76FQICEW7XXCWCRMQGEA/,11,Public
152,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGY7QJEVGIHEWTRE4OSPXTN2E3LA/,84,Public
122,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7IQN3GHLUCECU42NEXMJILVAWA/,38,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGT26FURJAPVJFHLC4UVJLJRRIQQ/,79,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7FUKM62IWWWMJ6WIWV7D43WYRA/,4,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYFCQKFDHFVYCZ56SOYBDKE2RTA/,6,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJML2TPDHSUDBLJDB4WA6FPVSLQ/,2,Public
