author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
Kiki Wright,/gp/profile/amzn1.account.AE3KPSHETOWARULR37F3GLG5ZXEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2021",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Fun,Fun,Verified Purchase,2 people found this helpful,,6,70,,Public
pickybuyer,/gp/profile/amzn1.account.AHSRQRCDJGXCFRE2J43LBA6OQ64Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Very frustrated because after all the money I spent and time spent all of the progress I made has been wiped out. I had access to all cars and upgrades as well as  race areas.,Lost all progress and had to  start from sccratch,Verified Purchase,3 people found this helpful,,278,209,799943,Public
Crystal Renee Wilks,/gp/profile/amzn1.account.AH3BTDIAWYWLHEY75C5XPSVXHVEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 30, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is a simple yet fun racing game that the very god's above should see (and no, I am not an Hindu). This game has good controls, challenging races, and many, many, many vehicles to chose from. If you do not get, the god's of gaming will punish you (and yes, the god's of gaming are the god's above, and I am still not a Hindu).",Fingersoft is the god of simple racing games.,Verified Purchase,7 people found this helpful,,111,17,9368601,Public
bestexec,/gp/profile/amzn1.account.AFFKI4TN3AUQWJB5TZ4TZYJFVEPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 13, 2017",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I haven't laughed this much in years. Awesome fun. What else should I be doing? Who cares? This is too fun to stop.,Great Fun!!,Verified Purchase,3 people found this helpful,,40,37,2000944,Public
Tracy,/gp/profile/amzn1.account.AHFEHDIKIRXYL7NSDAQZYGAEWSGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This game is very awesome action filled which will test you limit.This game has different levels and stages and cars. If you play this game you'll get hooked in 5minutes. If you come and join their game I promise fun for you so when your bored pull it out and play.,hill climb racing,Verified Purchase,8 people found this helpful,,19,24,10010445,Public
Hook,/gp/profile/amzn1.account.AHDH6N4B5O7CQ3JB22JWZNK3CRAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 22, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Awesome ! Super easy to play and super hard to put down. Love the dirt throwing action from the tires, wheelies and jumps are cool too. I became addicted on the first run. It's easy to advance to higher levels and upgrade your truck which makes you want to keep on playing.",simple minded fun,Verified Purchase,6 people found this helpful,,81,74,1786285,Public
Schreckster,/gp/profile/amzn1.account.AF4MFP3XQNTP4BMOCAV4S6LUKRJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 13, 2016",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,kids love this - I play it with the grandchildren,Five Stars,Verified Purchase,5 people found this helpful,,52,99,4123271,Public
Ryan,/gp/profile/amzn1.account.AENE355II7PLBW7NU5IFF4IZ7XXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This game has been fun to play. From the interesting levels to the cars, this game was designed to keep someone engaged. The moon level is especially amusing with reduced gravity. GREAT JOB with this. Just wish there were more levels and cars.",Designed to Have fun,Verified Purchase,8 people found this helpful,,123,55,17832952,Public
Charlene Heath,/gp/profile/amzn1.account.AGAGVCKMS35HHJ36M4DI2DIKVGQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Seriously, to me, this is the greatest app! I never noticed it or played it until we got Fire TV. I personally, hardly ever play ANY games on the tv or xbox or things like that. I have played apps on my kindle and on my computer with FB and stuff but not really a gamer person overall. Anyway, I saw this app when installing the Fire TV and just got it quickly so I could try it out and see if I had everything set up right, etc. It ended up that my son, my husband and even I, sat and played this particular app for hours! We did not even check the rest of the things like movies and stuff to see if they were set up and working thru the FIre tv thing yet because once we started this, we just kept on. I do think it was very entertaining to the family because they had never really saw me play before and it was fun for all of us to find something we liked together. So, it may not be for everyone but it was easy for me ( an older woman not much on gadgets), and it was easy to follow the ""storyline"". It is simple and does have music and sounds but not really annoying. Anyway, I think people should try it out and just have a little amusing fun here and there and this will do it.",I really like this app. Works great on Fire TV.,Verified Purchase,15 people found this helpful,,393,386,108816,Public
BLN,/gp/profile/amzn1.account.AEK4WA6WMM2BDBYSNAYBRU2HGZ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,My 11 year old nephew downloaded this game and everyone has taken a turn playing. Who can beat who? Who has gone the longest? etc. From my 18yr old nephew to my 9 year old nephew plus my sister and me ... we have all had a blast trying to outlast each other. Fun game!,For the kids and the adults!,Verified Purchase,4 people found this helpful,,66,56,869966,Public
