helpful_votes,page_url,total_review,visibility_status
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH773LBZPXWBGX6IAZHPYSWGNSXQ/,48,Public
185,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDO3NCWKRLQ2SSZPAOTZSQ6BEEQ/,856,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHR4IDF6YGFNAWX5ENF5L5FDUUCA/,5,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQPJA3ADDRT5JOD37JUKFYR263Q/,7,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6PRQVI3WHTND6DR2VH7MZ3JBSQ/,7,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWIJ76BVKO6VPJEUAAC4EJ2S46Q/,2,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEYIQEPGFRCKKYPSZKEV4JKFVZQ/,4,Public
98,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6IHSSJK2ZUB5RGW7Z6IHJPLH4Q/,22,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJJVTSQ6J43RWF7U7PMPQTHPBSQ/,5,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY7ZAVWKDLXGVUXHJMNO3MTR5MA/,1,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2DBWOXLN7FQXQIKUODPQKYTYWA/,3,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB7U5IR4R2RZSUA5TRR2KO6JRTA/,2,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXF2BSLKPS5DJBOMX6UMIX36O6A/,1,Public
280,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV2XTR7G4V5YHEZY472FOK5EYIQ/,9,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEBC623ZGILK6MEBE5UQYJ6TOOA/,4,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVCMP2SDYYBW3K7IT55GLKQLYIA/,149,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTRFP3LBFZB25XZ4DTHJSQHCTRA/,27,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOVOTL6N32CYPQSR4BQYC4VNTWQ/,12,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSRK6TYUA54PJIHOPT6DOLMOAUQ/,8,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW4SA2W66L2CFLTYTGGQ7HAPH7Q/,3,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3MIRPJ5D36XUPMTSCQ5BOYOXPQ/,8,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRTU4DI6ENTYCYRTQR665EEYCVQ/,11,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVEEMSZVGN4YRY7NGMVSBTNQPVA/,4,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF64ICLTTBYSGCBQG4KLW2DB2HWQ/,3,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCRZWCBYWRU7EW7LXDUAT6QRUBA/,42,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2XJIZEI57IK7ABOEXQ5XD3UYDQ/,7,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFD6ZYXZZQPSQWDZVIE6WCZVHGNA/,6,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNHJVFFIW4SVAJNMWG5MWCWPIVQ/,1,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENZVEZWV7O67UBJMLA5L3RFXI6A/,93,Public
474,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVRFCKMJQBUKPT4TFAYYXIDZLZA/,512,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEOIAYRHSX3PSZT2UJ5GZR4LLPA/,1,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5PK5NQAJ7S7HHSOZYDOJOHTWTA/,1,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERETNZS2RKRPNPNAV4HCC2SQSVQ/,4,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERO2E2REYQCXYSN4BUTEZYW2G5Q/,6,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSLYQOFKCKILR3FUGAEIUTNLVGA/,2,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7KVQ673GB63LX4DKKGLCNIG5IQ/,20,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW2WD6I3ZRM7XTASGPVDQUVSYAA/,128,Public
103,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBJOTBWTQU54SO6YWDVDMRFU62A/,8,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNUHLWVDNBYWCLV4K42UG54F3FA/,25,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEE6SWVPTOLKQSZTTRCJZQW5UGBA/,26,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOQRPF3JNYX3RAB5LSJM4P5PL2A/,7,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCGDF3G764JAO6AW3LIOGFMQIWQ/,13,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVDMLATPR2Y5RUPCZAV4BRPELAQ/,77,Public
435,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEY36TDD46CZNTAZMDG2VHLDTHEQ/,70,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE62ABEG3THVKF7LOFHIFV4QZGUA/,26,Public
208,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLF72XKHG6EDUO7EGO34A2OO3EQ/,113,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRZOVMDSZAARJ4LCXIDH2D56TEQ/,16,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAOB2F4TAZTH6P6OL222PRIEUWQ/,16,Public
338,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHS774I5MUP7XDZM5DWOY4XOIKPA/,129,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBOKHWJPW6XFRJCH2VFIS752H2Q/,6,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKMLU6DCA6VXWIHH5OFACU4MPXQ/,67,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5JPEIPZ3KK5TRFBW3CLRTYL7NA/,1,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQVROAK442DVKCAJEH6EYGSVUMQ/,18,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ4I4KFCVK7MWHMDKLZIZT4BYCA/,34,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQ7MGOJT2CWEZLUQWTQFBRBY4OA/,5,Public
