helpful_votes,page_url,total_review,visibility_status
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXP4VSJDNPLLOHWZ6RTWBBHOLYQ/,9,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6JC36ZMN73UL7HDUKQ2234TOKQ/,13,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOK65GNKYRZRGRYWGL74BIITVQA/,103,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOI7BG4JCSPGXXW5KBAOK3EJJ4A/,3,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AED7P5ZFUXGYWY5VKWW2WEBFRULQ/,21,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2Q3MDZLATEGA3LLPZVDWDCNCSA/,27,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXYJSPPLRN4EICY3XJYPWBJXSDQ/,1,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEO6ASKPQRKZJQFA372QXEG5NE3Q/,5,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLCX3J4HIKWTG7Y6VJP37ZVGA3A/,2,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU7SIEABPRXUG6N63PWNWHA27NQ/,4,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQAZERFG7DJMG4HEWFTDD6COTSA/,10,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4WHAB2HBXMKVOAZQS22FIDYPPQ/,90,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC2KBH5MCARHYICUJWU337QHO3Q/,10,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFD6L2WWXZPYJH3FOU7QC6L6W4EA/,139,Public
