author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Kathy K,/gp/profile/amzn1.account.AHXP4VSJDNPLLOHWZ6RTWBBHOLYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"Really fun HO game with the ""build a town"" component. I've been playing for a few months and do love it. The issue is the developers keep taking away the funnest aspects and making everything incredibly expensive. I am willing to spend money on games, including June's, but they will not get another cent from me until they stop with the madness. It's getting ridiculous. Don't get involved unless you want to watch dozens of ads a day and spend lots of money, in order to progress. I'll keep playing, but no longer as my primary game.  Sorry, Wooga  no more money for you.  I'll find another ""go to"" game and play JJ as long as it costs me no more money. Sad.","Pretty game, and fun - but WAY too expensive",Verified Purchase,3 people found this helpful,77,9,Public,9296324
Zanne,/gp/profile/amzn1.account.AE6JC36ZMN73UL7HDUKQ2234TOKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,This game use to be so fun. It was really awesome. Then they started making changes to get everyone to spend more money. Today the last change they made limiting coffee to 1 coffee makes it hard to play the game. Instead of trying to make it harder they should be focusing on making it fun again. We need more islands. More chances to earn blue and pink boxes. Less League comps. Easier to chat with the team you are on in the game. Instead they are charging more for items. They are taking the fun out of a great game.,Ruining the game,Verified Purchase,,16,13,Public,3940626
24paws,/gp/profile/amzn1.account.AGOK65GNKYRZRGRYWGL74BIITVQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Until today this game was awesome! But today Wooga decided to take away the player's main way to earn energy which is vital to playing all parts of the game. I have recommended this game to so many friends and family, now I will call them to stop playing. This game may be free to download but, very expensive to play.",Too expensive to play!,Verified Purchase,2 people found this helpful,119,103,Public,2582185
janni,/gp/profile/amzn1.account.AGOI7BG4JCSPGXXW5KBAOK3EJJ4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"The dark side of corporate greed has overshadowed the good aspects of this game! It use to enjoyable, great graphics( some scenes actually beautiful), storyline, sharing with teammates, competitions, decorating! We know it is business, and businesses are about profit. However, there is a lot of manipulation happening in this game now a days! If you like to be manipulated, by all means, download!","Money, Money, Money",Verified Purchase,4 people found this helpful,9,3,Public,44238949
Frog,/gp/profile/amzn1.account.AED7P5ZFUXGYWY5VKWW2WEBFRULQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I completed the 3rd level then it was really hard to move on.  It became frustrating so I deleted the game.  Had to wait forever for a few flowers, so I could move up to the next level, seemed like a fun game, maybe I didn't understand the instructions.",It was fun at first,Verified Purchase,4 people found this helpful,11,21,Public,2845450
Trica,/gp/profile/amzn1.account.AF2Q3MDZLATEGA3LLPZVDWDCNCSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Used to be fun, but the new owners totally screwed it up.  They want you to spend, spend, spend. I love my team mates, but the owners took the fun out of the game!",Used to be fun!,Verified Purchase,4 people found this helpful,28,27,Public,3527798
RoxxyywithaY,/gp/profile/amzn1.account.AEXYJSPPLRN4EICY3XJYPWBJXSDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,After coffee option was reduced I'm forced to rate one star love the game but how will I get energy to play.....dissapointed.,Disappointed,Verified Purchase,2 people found this helpful,3,1,Public,
ceecee,/gp/profile/amzn1.account.AEO6ASKPQRKZJQFA372QXEG5NE3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I needed a game that was fun and not so ""nerve racking"". This game did it. I enjoy following the story that comes with it.",Very enjoyable!,Verified Purchase,,5,5,Public,64210495
Danielle Knepp,/gp/profile/amzn1.account.AHLCX3J4HIKWTG7Y6VJP37ZVGA3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,It is a wonderful game. Lot's to do and the extras are awesome.,Danielle,Verified Purchase,,0,2,Public,65388122
jamifinney,/gp/profile/amzn1.account.AFU7SIEABPRXUG6N63PWNWHA27NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Junes-Journey-Hidden-Object-Mystery/product-reviews/B07H99CWDS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,It is not free! Big big lie!,Free...NOT,Verified Purchase,One person found this helpful,2,4,Public,27417541
