helpful_votes,page_url,total_review,visibility_status
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUEJMGBTG5OJAQKXIZWZGXHDWHQ/,3,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2QR6GN4MS554SCNQCVRPVW4KKA/,8,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLZDRWLJQ75FFTJETXY6N3GRJ7A/,11,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRTCVSKGJ2ZOQFGMUQ26JGPKT5A/,30,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMU552CWBLYR3WBTL2UXQAYBOSA/,2,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAWTJOWQQ4Y4645Z63V4VB3NQPQ/,9,Public
"7,081",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHLEKJX6JXMHIIIKBF432XFOEPQ/,116,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHPJ5JLFVOCORPEWRMKF335LZSA/,27,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHL4Q3XV6NQPAVX2LLODX2QDO7Q/,15,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3P57WOTXSQ7HE6UANZ5HO2JGTA/,4,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AES7NORO4KJW6TJZPZ4JDVPRXFDQ/,14,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZOEXAWOHEV33ATG4WGL6Q5M7QA/,17,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJU7I2K6IH3VOK7GGGF3RN5UDCA/,7,Public
"2,874",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGORCJHGOT7OF2U4EQULB6WDNMVQ/,46,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV57B5VWXNBZQCOJXB3CLHI3J3Q/,4,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQ753RM5BOMCTDIVGRRCZ7URM4A/,9,Public
"3,612",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGM72FOCD2CSE4AATQQQ4FYHIDKQ/,43,Public
171,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGITN24B2PGHBXXNEBX7SA7RVELQ/,108,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI734254IPSHTWZEEZX23T35WEQ/,3,Public
"1,972",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCA7XMI7DXZBBP5WDJO7KOBSAWA/,57,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4YHPJY6RQME3Z3YVUXDX7PWLYA/,6,Public
"1,912",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDKHBVNFN5UJIAPLQWDQPIDIKZQ/,24,Public
222,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3QYR35TIDND3YV2VS7NM3F2BUQ/,64,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN5PFDLVKLVJEFSNQGRFJMRQAGQ/,1,Public
"1,295",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5MQBG7L6VNXA7OSZUEHANRR5IA/,28,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHDVUPAJLTK4KT7YPCXSKTGAIEA/,6,Public
"1,282",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUVZT5FDPP3SEBDTILH75V55JKA/,1,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAZ5Q2VYNHVTAAVIRRIM3G3PRMQ/,20,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPORKD4SVF75ET52SIZSEJPKNPA/,58,Public
343,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7WDKLTVXHPN56Q6NTAI5RJUEEQ/,30,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGLCE5ZUSJWN3URLUBHJLA6ZAYA/,5,Public
835,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJ37QNB5ZDJ2T7YO4LNEUPJWIYQ/,67,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH22775NHH4ZJMWYEMM22T5VH3Q/,1,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRCCUO77VX6YHIGP54B332WNWOQ/,10,Public
875,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQQRD7SZURDOPWMV6Q5S7EQQPNQ/,55,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOU4X7V3F6B5WP4GLY7SBBCN7CA/,14,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSVMJSYMGBKZM75LM5KXRLATPOQ/,32,Public
539,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFX7P7ZDTTNSYFYOTAWJTNBYRWQ/,15,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5WOLRQEAZIK6556TRX2OHIT7JA/,5,Public
356,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNIWIDOOINFQNZIKDE226L32TRA/,28,Public
