page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUEJMGBTG5OJAQKXIZWZGXHDWHQ/?view=visitor,4269699
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2QR6GN4MS554SCNQCVRPVW4KKA/?view=visitor,24342639
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLZDRWLJQ75FFTJETXY6N3GRJ7A/?view=visitor,33527937
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRTCVSKGJ2ZOQFGMUQ26JGPKT5A/?view=visitor,8382399
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMU552CWBLYR3WBTL2UXQAYBOSA/?view=visitor,33747253
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAWTJOWQQ4Y4645Z63V4VB3NQPQ/?view=visitor,19463635
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHLEKJX6JXMHIIIKBF432XFOEPQ/?view=visitor,62045
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHPJ5JLFVOCORPEWRMKF335LZSA/?view=visitor,4674672
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHL4Q3XV6NQPAVX2LLODX2QDO7Q/?view=visitor,9414724
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3P57WOTXSQ7HE6UANZ5HO2JGTA/?view=visitor,82834134
https://www.amazon.com/profilewidget/bio/amzn1.account.AES7NORO4KJW6TJZPZ4JDVPRXFDQ/?view=visitor,9431347
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZOEXAWOHEV33ATG4WGL6Q5M7QA/?view=visitor,6192251
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJU7I2K6IH3VOK7GGGF3RN5UDCA/?view=visitor,46167838
https://www.amazon.com/profilewidget/bio/amzn1.account.AGORCJHGOT7OF2U4EQULB6WDNMVQ/?view=visitor,944788
https://www.amazon.com/profilewidget/bio/amzn1.account.AHV57B5VWXNBZQCOJXB3CLHI3J3Q/?view=visitor,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ753RM5BOMCTDIVGRRCZ7URM4A/?view=visitor,8285212
https://www.amazon.com/profilewidget/bio/amzn1.account.AGM72FOCD2CSE4AATQQQ4FYHIDKQ/?view=visitor,286700
https://www.amazon.com/profilewidget/bio/amzn1.account.AGITN24B2PGHBXXNEBX7SA7RVELQ/?view=visitor,2833460
https://www.amazon.com/profilewidget/bio/amzn1.account.AGI734254IPSHTWZEEZX23T35WEQ/?view=visitor,41705253
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCA7XMI7DXZBBP5WDJO7KOBSAWA/?view=visitor,409184
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4YHPJY6RQME3Z3YVUXDX7PWLYA/?view=visitor,82884321
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDKHBVNFN5UJIAPLQWDQPIDIKZQ/?view=visitor,3661835
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3QYR35TIDND3YV2VS7NM3F2BUQ/?view=visitor,420031
https://www.amazon.com/profilewidget/bio/amzn1.account.AGN5PFDLVKLVJEFSNQGRFJMRQAGQ/?view=visitor,
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5MQBG7L6VNXA7OSZUEHANRR5IA/?view=visitor,83439823
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHDVUPAJLTK4KT7YPCXSKTGAIEA/?view=visitor,46184905
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUVZT5FDPP3SEBDTILH75V55JKA/?view=visitor,36476331
https://www.amazon.com/profilewidget/bio/amzn1.account.AGAZ5Q2VYNHVTAAVIRRIM3G3PRMQ/?view=visitor,23167918
https://www.amazon.com/profilewidget/bio/amzn1.account.AGPORKD4SVF75ET52SIZSEJPKNPA/?view=visitor,83207499
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7WDKLTVXHPN56Q6NTAI5RJUEEQ/?view=visitor,23292220
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGLCE5ZUSJWN3URLUBHJLA6ZAYA/?view=visitor,20949877
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJ37QNB5ZDJ2T7YO4LNEUPJWIYQ/?view=visitor,80943
https://www.amazon.com/profilewidget/bio/amzn1.account.AHH22775NHH4ZJMWYEMM22T5VH3Q/?view=visitor,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRCCUO77VX6YHIGP54B332WNWOQ/?view=visitor,43576437
