helpful_votes,page_url,total_review,visibility_status
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF36CC6XSEPC3NOFRWOVDBXUK6XQ/,8,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2U7IOPYPQ7ZJOCTOMHMJIYURVQ/,58,Public
88,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMVXVT7VJLNSG4ED2VZOX5KK53A/,75,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYJG57EXV47ZOTQL2W73F5YYKOQ/,44,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFAVZLUULAOW75PMWCGOEURS66Q/,39,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5SQPC54T4LRZSWZEXFFSG5KDRA/,267,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2BOMXWJREBYJXB6GELLOVZ37UA/,41,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7RPKMLSIH7DWJY5GOKDRHIQHA/,39,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIR63W7NFIRZGVBVJDKMJXQ33VA/,3,Public
147,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2JMUWFSZAVLOX2OTLVAMQHI3RQ/,125,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF42RRBILWQ7UJZ5ERA6ZQM4H33Q/,182,Public
334,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETEMY3KZ7L3ZS25BTCPHG63HE3A/,160,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AED37MQ63SDGZVOHZIVAQXYE4C6A/,16,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3NMWC3OEKNG7UPZNXZUE73VPYQ/,31,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJNHNWS6W3NHEPTFWZGJXSHOMZQ/,18,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKSBVRJTTFJHZWNWIDVGZMBJ2SA/,21,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQTMGXOWMDYLZHKEYLOCVUDYJQQ/,28,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5YR6NB5NH3FE2S2GEYKQEXB6NQ/,36,Public
121,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOJIBMT7KFN6CGF7VWZYHSDLTPA/,170,Public
272,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4YGA6CH7MEPCEA7BANAAUM2GAQ/,89,Public
607,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKU25LUOHUMJSUG7RVZXS4YEEMQ/,514,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNI3SDLSGTZBEKM7IWOUTBVTD4Q/,8,Public
134,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAJ2DGSR2SUSVI4E3ITKUBS3WZQ/,151,Public
