helpful_votes,page_url,total_review,visibility_status
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUFNLCPH23JFUSABQKXNCQBLGIA/,6,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKW7SN77TIPG6JB57OOWMQ62AKA/,51,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLADAKUZ4ZYO3EWBWD3MLC3I74Q/,3,Public
219,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECQWKUPF7HGPVH4DFUOMYSSGVOA/,4,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHWHTYQ4HAJUR4RNJD72WVFC7AA/,2,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLT3ZM6XKAJEZAKUNFFXC4MEGOQ/,33,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZVBWQPATA2C6SZWCQXMVWJI2QA/,6,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIEMQNNAL4FWO5UZP3F24XFINJQ/,11,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGISCJMDJGTHMDRGV4FX2CWCTQIA/,3,Public
747,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKELK62HLFBAX4KNKS5XFX2HSNA/,7,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEXGDSASK364OBGULZYVK5MS7TA/,1,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6NNRG2OWUSO54NBMI5QFX4ZNUA/,9,Public
263,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYA5QY24ZXX6L5JZGTSPAWJWV3A/,3,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRED54CU7OWUYFFF4EMN7IOLWWQ/,9,Public
135,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHGUSHB2ZZL5DOCYTI3HUUKCTXA/,15,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBXV3H7K44YLHAIQVVIWVGTCZAQ/,9,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLGDP4ZEFVSKBWH5J2VFQ5HM5WQ/,133,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCJ2WD2BZPC5EGCU5EI2XFP3R6A/,27,Public
361,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIUG4YNQ52O54K4YVITPVL263AQ/,60,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOEWZWC64WAX5U5IIXJ7LABJPCA/,1,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXI7RCFNZVODB44ALNHYAYOQD3Q/,6,Public
70,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLPDDEMYFOVKM2RIR6RQTTQ2I2Q/,4,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQK63FDAOGUL3G4Q57H2I35NBPA/,3,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEELI2GLCKQ5ZI3WWS4RHMHEC2A/,7,Public
161,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELUX7S7D4JNRHX7F7ULLAMOHUOQ/,92,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBIUWHLK5F6TUMSOSG57PHLAIDA/,2,Public
283,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQATKK3S4VIA6EFX4M5LQ56L3CA/,4,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOOC3QFLLCVTOI3D2B23QIKFNYQ/,3,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEDFODZA6XAWLSKFOE6OYNPEQBQ/,5,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSLL2YG3EUK3CHRYVW7Y3R5U6FA/,14,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLHHAWKET47ZDPGCK6IG2RTR6DA/,10,Public
253,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOUKZ6QGJG2FZU375OFIHK64DMQ/,12,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5TY7SOCFDSTCHMARL55CXBWF6A/,12,Public
216,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLTE6LXRD6GFPWXBDIBVN6UFWUA/,14,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMRLDF77TQ3AR7BPVAGXAKLXIMA/,3,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEULHNOFWIIWHD3IE6ONUIPL57YQ/,1,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOTEA3X6WUB2XSVL6P42IGAC4AQ/,19,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4UEGCNJ4ISRETJ4CR3VD4PRT7A/,2,Public
130,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHACOYS2QXORW65OZFF23JWM3FCQ/,9,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZVY7FP6V2U6D5P3JOL5VGS7ARQ/,9,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN6YH44YTCQHHAJMWDP3GXZ4DKA/,2,Public
199,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7SIET4EHCRY5ZFOQ4TJK5VYDFQ/,6,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGIUHSHE5QR4HC4RX3FPPKCABHQ/,1,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAMFQE6KDQ563PRMGOOFTN3S45A/,19,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC22ZCXJBJ5ZJ33RAETOJVWJFWQ/,2,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEJCEEP2SG5WAAKWYOT7KB4RVGA/,8,Public
116,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2IWPSN33WQMB4IMGRJYYOLLUPA/,5,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6HJHPAW7KMASRHSZGHHC4FDSAQ/,1,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGL2R6RXML3KBJJGFUDFW6RNIOQ/,18,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXFR5T4UCX5X4PRLSB4P26OFAVA/,2,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIAJ7ELR4QIGF6RSZS53DD2S7JA/,46,Public
360,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMKLUYEXHNH7UIQDW7UOKEFZ4QQ/,99,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZRXJ5VQQMEWC3EWNP4IWR7BBSA/,9,Public
941,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEALWMCPAD2G2RYMNVIMA4NV3IGA/,118,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW342SYVB5KI3NK3KDB5U5W2PVQ/,6,Public
213,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIIY4S6DSTIACHHDQ2LOW5PSRFA/,104,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKRAFCS6ZMO5JX7UDK4UKOVVSEQ/,1,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAGPVUOE7UCMSTTNLKWJJMSZINQ/,1,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSNIUSBZYS2UZBYCGVFC66OLNVQ/,2,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2OBNFX3WJNCWBY2DUXNPOJWUXQ/,33,Public
186,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYZ2BK76AW5MJXHE6MV6A6MGWXQ/,43,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHAMUQVHUERNAVJTWNY4MZJKKVXA/,2,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQD46Z6GP3NEHH4LTZ2FTAJOKWQ/,6,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRI2OT36CQ5YOOL64NYAEIPEKZA/,43,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNBUYJJJMDC4JSZR35CDKPMU4GQ/,4,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4ZWQ6JB62XHZCYWTSADPPDQEQQ/,1,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZIVZT6KK57PKENAOWLOPNQA4TQ/,1,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGCED4Z2I6Y7FDRGNY5DHAFEM7Q/,7,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFL6YRUJGCHMEXFJOVU4FMAQEC5A/,6,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRHGQSPXKGA2XRILBJJKJU2QHRA/,2,Public
