author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
McKenzi Bigler,/gp/profile/amzn1.account.AHUFNLCPH23JFUSABQKXNCQBLGIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I love this game! My favorite character is classic sonic,Great game!!!!!!,Verified Purchase,3 people found this helpful,,17,6,,Public
CAITLIN RENNICKER,/gp/profile/amzn1.account.AHKW7SN77TIPG6JB57OOWMQ62AKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Love sonic,Great app,Verified Purchase,44 people found this helpful,,129,51,,Public
Eve Simpson,/gp/profile/amzn1.account.AGLADAKUZ4ZYO3EWBWD3MLC3I74Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I rate this five stars but if I could I would rate it one million stars! I love everything about it. I like the adventure theme and that you can use strategy and weapons to slow down other racers! I also like how you can unlock other characters.,I love this so much!,Verified Purchase,38 people found this helpful,,40,3,,Public
salman,/gp/profile/amzn1.account.AECQWKUPF7HGPVH4DFUOMYSSGVOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 2, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My little brother is a huge sonic fan so I downloaded this for him and he loves it.I tried it myself and I liked it too.It is safe for kids and it is really fun.If you love racing and love action then this app is for you.Have fun,-),Really Fun 😀,Verified Purchase,196 people found this helpful,219,4,,Public
Amazon Customer,/gp/profile/amzn1.account.AGHWHTYQ4HAJUR4RNJD72WVFC7AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Good gameGood game,Goodgame,Verified Purchase,24 people found this helpful,,24,2,35668046,Public
Jan,/gp/profile/amzn1.account.AGLT3ZM6XKAJEZAKUNFFXC4MEGOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 16, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Awesome Game,Great game,Verified Purchase,21 people found this helpful,,64,33,2419892,Public
Jefe,/gp/profile/amzn1.account.AHZVBWQPATA2C6SZWCQXMVWJI2QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Won't update there is a bug,Update,Verified Purchase,10 people found this helpful,,56,6,22975815,Public
Amazonian Man,/gp/profile/amzn1.account.AEIEMQNNAL4FWO5UZP3F24XFINJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 20, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,AmazingGame love it,Best game ever,Verified Purchase,13 people found this helpful,,67,11,7231772,Public
Benjamin Palmr,/gp/profile/amzn1.account.AGISCJMDJGTHMDRGV4FX2CWCTQIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 11, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This game made me like sonic even more!Thanks Sega!(though, it would be cool if Dark Sonic was a runner)",IT'S AWESOME!!!😍😍😍,Verified Purchase,14 people found this helpful,,18,3,49195914,Public
Rachelle Wilhelm,/gp/profile/amzn1.account.AGKELK62HLFBAX4KNKS5XFX2HSNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 21, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This game is so amazing i downloaded yesterday and hadn't put it until I went to sleep and picked it up strait away when I woke up and still hadn't put it down a must have for any sonic fan,AMAZING!!!!!,Verified Purchase,59 people found this helpful,,747,7,5626911,Public
