helpful_votes,page_url,total_review,visibility_status
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUIVSSQOCWG7YTYX6VKEE7ANBAA/,145,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOKBOM4HJ3SSQQ6AVGAYABJ6QUA/,5,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGT7LHG5RSJDUD36FXYW3SHEX5WQ/,1,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVRRZODIJIRNBFI6CRWJVNT4YZA/,7,Public
78,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWKEDAEAR2DXDSRTCFZ32Q26ILQ/,12,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3FYRRVBXK3NGI4T3N4PCIRD6IQ/,79,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENBRKGDNMKADZVRKBJ6J3CCIM4Q/,24,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2FGOSEAUA5VSX6AZML77KLKYGQ/,40,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQGIX3YNVSJ2WJC4LGF7VMWGAEA/,10,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDRXXSD7CC6LFOPVZXZQ6XAGR3Q/,39,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFFRXSW3NS2SX3C2AOTM4RNZNQQ/,16,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIANLGE3F2BPVH4JWVQBVTEZCOA/,97,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKQ73QLGD7D4NOHQRDYDJQCGMKA/,12,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHASZQX7INASVLB5VV7MY6XJHGHQ/,20,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBS7EK5BLFOKUK2BZGXBRNKXBYQ/,23,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE72BBUJBVGLUBH46LYQGJNJZILA/,18,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWTEBAIFGZACGJMO5NKOJ6VHCYQ/,23,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBVDJUWAQTTRZKY5FG2YMJZHKIA/,6,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTYN45DYXCPAKPSHAJ3722NP2WQ/,33,Public
267,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV5564VGCYLQ2GTDSVJHQR6SU5Q/,367,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOJS76EEZUVPR76CT7DBT6JKAEQ/,72,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV4WRSNGE7QS6TL2T6IDUBTM3XQ/,5,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDLWK65DBBCZLUTTNRPCRZJU4QQ/,23,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7LG6F3XAP2Y4LG2X4PKYAPNPMQ/,27,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXUQRYIGMOIFGR6ZG4CAZLJQSCA/,85,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWTJU6TKV32RPUA5PA5AMTAEQBQ/,23,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD6Y5CMDDEP4U2DXICHW7NQGJKA/,16,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHALEBDVDUTSK4THDHE7WIWKB5HQ/,12,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOXZ6F62UGVX23Y77UZ4SBEGCQA/,20,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVIKG27QO4R52NQBBX6DAYXU2DQ/,30,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3OMIGTFCNUEKOQGLKFKIPNXYVQ/,23,Public
107,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJO5QVRQWLZD72SB4GYS3KLY66Q/,29,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEK6NC3MXG6RPRYIULJTVHIEY6EA/,6,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBTO5ZJNKWEG2EBDL3FSPE2QQSA/,329,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCGRX6XZWHLL6XNJGZJABGXFZIA/,24,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7WT7QH3UMNQO4NN4SCZNYBUMZA/,21,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJFOONBDKVB5UHWVWLVTC3MGP2A/,19,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6ZLLV6WVMY4FS5YCIA7QXOJOPQ/,6,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3TUG2E2MNWZUFNNDV3HSAS3VMA/,20,Public
111,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUCWZ2NSF6QSRSGQCWHQFSCE64A/,132,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7EMEBCPM337MQTXNIMYAH24MQA/,31,Public
243,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCI3BAEMB4RVL237BCEUEXFRKTA/,9,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQEQ4UPU5N4MI3AIW46FVKA7MGA/,3,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6EG6RB2IQJEG67CMWFYP4XG2TQ/,20,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWUTIEYXADEFXLB6NZIUJBG6OAQ/,56,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFH6KBWUJO76QHTTKY4EGFU76EA/,83,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAGZCSHSKVJU3GHUDGMXTDZQJJA/,21,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOA22H3NCFLBYLYCGW7TPDODRNA/,106,Public
412,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2HB6Y5F7K53NWHYLXJLNGVLNUA/,30,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSWM6XGJZDO76XDHU2WDBKOX27A/,8,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFX7WVM4OV6NOWHTUEXYPQPKL5HQ/,32,Public
111,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPTVIRSLHMXE5PAYFC3KNCWV3ZQ/,19,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGP2AMJR6LJDTWC5H5DNZK5BAATA/,63,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSDUBJEYAF42WISBQCJUA3BVLIQ/,7,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2V645MGJWTU2RHMQGXW27AZYAQ/,19,Public
130,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEH4OHS2CXZ3WJIRNL2ZTPBKIG5Q/,30,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHP2ADTSQQ46MUYOX3ADHVHCGTWA/,27,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMWX2KQQR7SA7U4VOYZLTB3J4TA/,5,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELPCHXTXOB4ZEWYC5ATXFITEYBQ/,9,Public
