page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUIVSSQOCWG7YTYX6VKEE7ANBAA/?view=visitor,83627694
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOKBOM4HJ3SSQQ6AVGAYABJ6QUA/?view=visitor,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGT7LHG5RSJDUD36FXYW3SHEX5WQ/?view=visitor,15529542
https://www.amazon.com/profilewidget/bio/amzn1.account.AEVRRZODIJIRNBFI6CRWJVNT4YZA/?view=visitor,11861590
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWKEDAEAR2DXDSRTCFZ32Q26ILQ/?view=visitor,1574483
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3FYRRVBXK3NGI4T3N4PCIRD6IQ/?view=visitor,301877
https://www.amazon.com/profilewidget/bio/amzn1.account.AENBRKGDNMKADZVRKBJ6J3CCIM4Q/?view=visitor,13173479
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2FGOSEAUA5VSX6AZML77KLKYGQ/?view=visitor,9847605
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQGIX3YNVSJ2WJC4LGF7VMWGAEA/?view=visitor,57480282
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDRXXSD7CC6LFOPVZXZQ6XAGR3Q/?view=visitor,4294928
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFFRXSW3NS2SX3C2AOTM4RNZNQQ/?view=visitor,12020359
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIANLGE3F2BPVH4JWVQBVTEZCOA/?view=visitor,608369
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKQ73QLGD7D4NOHQRDYDJQCGMKA/?view=visitor,10534320
https://www.amazon.com/profilewidget/bio/amzn1.account.AHASZQX7INASVLB5VV7MY6XJHGHQ/?view=visitor,3453111
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBS7EK5BLFOKUK2BZGXBRNKXBYQ/?view=visitor,21448614
https://www.amazon.com/profilewidget/bio/amzn1.account.AE72BBUJBVGLUBH46LYQGJNJZILA/?view=visitor,10296246
https://www.amazon.com/profilewidget/bio/amzn1.account.AGWTEBAIFGZACGJMO5NKOJ6VHCYQ/?view=visitor,82616047
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBVDJUWAQTTRZKY5FG2YMJZHKIA/?view=visitor,31825100
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTYN45DYXCPAKPSHAJ3722NP2WQ/?view=visitor,52087090
https://www.amazon.com/profilewidget/bio/amzn1.account.AFV5564VGCYLQ2GTDSVJHQR6SU5Q/?view=visitor,297533
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOJS76EEZUVPR76CT7DBT6JKAEQ/?view=visitor,3731074
https://www.amazon.com/profilewidget/bio/amzn1.account.AEV4WRSNGE7QS6TL2T6IDUBTM3XQ/?view=visitor,25910487
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDLWK65DBBCZLUTTNRPCRZJU4QQ/?view=visitor,11568433
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7LG6F3XAP2Y4LG2X4PKYAPNPMQ/?view=visitor,82841109
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXUQRYIGMOIFGR6ZG4CAZLJQSCA/?view=visitor,1708774
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWTJU6TKV32RPUA5PA5AMTAEQBQ/?view=visitor,6534143
https://www.amazon.com/profilewidget/bio/amzn1.account.AHD6Y5CMDDEP4U2DXICHW7NQGJKA/?view=visitor,82576173
https://www.amazon.com/profilewidget/bio/amzn1.account.AHALEBDVDUTSK4THDHE7WIWKB5HQ/?view=visitor,82555656
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOXZ6F62UGVX23Y77UZ4SBEGCQA/?view=visitor,16102904
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVIKG27QO4R52NQBBX6DAYXU2DQ/?view=visitor,10998594
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3OMIGTFCNUEKOQGLKFKIPNXYVQ/?view=visitor,55110277
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJO5QVRQWLZD72SB4GYS3KLY66Q/?view=visitor,9884059
https://www.amazon.com/profilewidget/bio/amzn1.account.AEK6NC3MXG6RPRYIULJTVHIEY6EA/?view=visitor,56028815
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBTO5ZJNKWEG2EBDL3FSPE2QQSA/?view=visitor,713057
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCGRX6XZWHLL6XNJGZJABGXFZIA/?view=visitor,6043281
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7WT7QH3UMNQO4NN4SCZNYBUMZA/?view=visitor,47188598
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJFOONBDKVB5UHWVWLVTC3MGP2A/?view=visitor,28269587
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6ZLLV6WVMY4FS5YCIA7QXOJOPQ/?view=visitor,63738588
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3TUG2E2MNWZUFNNDV3HSAS3VMA/?view=visitor,20971264
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUCWZ2NSF6QSRSGQCWHQFSCE64A/?view=visitor,974749
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7EMEBCPM337MQTXNIMYAH24MQA/?view=visitor,6876322
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCI3BAEMB4RVL237BCEUEXFRKTA/?view=visitor,49837417
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQEQ4UPU5N4MI3AIW46FVKA7MGA/?view=visitor,67774177
https://www.amazon.com/profilewidget/bio/amzn1.account.AF6EG6RB2IQJEG67CMWFYP4XG2TQ/?view=visitor,34973153
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWUTIEYXADEFXLB6NZIUJBG6OAQ/?view=visitor,83294533
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFH6KBWUJO76QHTTKY4EGFU76EA/?view=visitor,7787298
