author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,,helpful_votes,total_review,visibility_status,ranking
cody C.,/gp/profile/amzn1.account.AHUIVSSQOCWG7YTYX6VKEE7ANBAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Kids game love it,Kids downloaded for tablets,Verified Purchase,One person found this helpful,,,,83,145,Public,83627694
Dion,/gp/profile/amzn1.account.AFOKBOM4HJ3SSQQ6AVGAYABJ6QUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Great game to play,Great product,Verified Purchase,,,,,2,5,Public,
Amazon Customer,/gp/profile/amzn1.account.AGT7LHG5RSJDUD36FXYW3SHEX5WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2021",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Why stay in one theme so long ?I'm still in the new york one it needs to change,Ok,Verified Purchase,5 people found this helpful,,,,6,1,Public,15529542
elealady,/gp/profile/amzn1.account.AEVRRZODIJIRNBFI6CRWJVNT4YZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,Subway surfers is a very fun and addicting game. Only bad thing is if you have to redownload it you will lose everything you have earned. I was at multiplier 30 and had almost every player then it froze and now I have nothing. That is VERY annoying.,this game is very addicting.,Verified Purchase,7 people found this helpful,,,,7,7,Public,11861590
Patti,/gp/profile/amzn1.account.AHWKEDAEAR2DXDSRTCFZ32Q26ILQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I love the game on my IPod it glitched, but when I got it on my kindle it all ready had the up date so it was fine.I think the only bad thing about this game is that it's to fun!😁",I love the game on my IPod it glitched,Verified Purchase,3 people found this helpful,,,,78,12,Public,1574483
Candice López,/gp/profile/amzn1.account.AE3FYRRVBXK3NGI4T3N4PCIRD6IQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I just don't like how touchy the controls are,Five Stars,Verified Purchase,3 people found this helpful,,,,81,79,Public,301877
Jessica,/gp/profile/amzn1.account.AENBRKGDNMKADZVRKBJ6J3CCIM4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Love this game,  so addicted. Have it on all my kids tablets and mines as well. Sad even got it on my phone.",KIDS and I can't Get Enough,Verified Purchase,4 people found this helpful,,,,9,24,Public,13173479
Kindle Customer,/gp/profile/amzn1.account.AG2FGOSEAUA5VSX6AZML77KLKYGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,great story and production,Five Stars,Verified Purchase,3 people found this helpful,,,,11,40,Public,9847605
Kindle Customer,/gp/profile/amzn1.account.AGQGIX3YNVSJ2WJC4LGF7VMWGAEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 12, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I love the game super addicting and it always has new things for you to do whether its competing wig friends or beating you own high score its all around good as we'll as the sound and graphics a little glitchy on my kindle fire thouht,subway.surfin,Verified Purchase,4 people found this helpful,,,,5,10,Public,57480282
Trinitys Mommy,/gp/profile/amzn1.account.AGDRXXSD7CC6LFOPVZXZQ6XAGR3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 18, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This game Is a lot of fun! Way addictive.I got it for free but I would have paid for it...,love it!,Verified Purchase,2 people found this helpful,,,,13,39,Public,4294928
