helpful_votes,page_url,total_review,visibility_status
232,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQHJMYX3NLE2ZDLGVKSP5GMY3OQ/,13,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGM3UGCM2GHEYUEPC5XDJ2WDJLNA/,2,Public
217,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBP4UWZAMKBHWFGEEPQCQ4RUFQA/,4,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTQNC4DDJPGAL6QH4XO2SSGTB3Q/,8,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAQ2AXN7WEXJJKK5UXHB4MZIOEQ/,6,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF23QHFVZTY3EYROIK46ISS2V6LA/,3,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXAOMZKD7IMYXIL5ZGFO4YORM4Q/,3,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA4I5L2UZLJDGZETT5DPX5BNLAQ/,1,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCR4FJULKWJLJ7XBGELDIBXDB7Q/,1,Public
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEH3B5N6TSVIPAR5PBIUXCKZOQRA/,94,Public
464,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZU353STIQQKCX2H3ZHGP6RI3RA/,126,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE265SZRVQPHBZJDYV3YFTMMDIQ/,12,Public
440,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQMXE7X7YEG7YASST5QYCSZNDNQ/,189,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJPXJ5ZKOB5UVCZLHLZX77IG4FQ/,4,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7VC677ST3ISHC6XKUYPBNY2KNQ/,4,Public
108,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK25BQU3XHYRIEYLWPGG63WBITQ/,5,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFALD3VZW5ST4G2DLX7F5GG3ZA2A/,6,Public
268,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWW3ANTGI7MAPXC557J45DAZ3MQ/,17,Public
225,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUUDAOTI3P3QBALAB6A3AZA24NQ/,8,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHAGDIQACAYEEEKU575TE2TVQLQ/,2,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU5NRHWVUKBRMC2DBCBAVIG4EHA/,9,Public
266,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPIS4T7BG4QHB3ZMEYGXIBDMUYQ/,299,Public
