author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
Gordon Russell,/gp/profile/amzn1.account.AG42SBJMIOLVEBUUCNW4F5GRMKJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,1.0 out of 5 stars,"This has got to be the most surprising disappointment of a book.  Who are all these 5 star reviewers?  The writing was boring, the characters flat, it was repetitive, contrived.. The author created suspense by basically not telling you anything forEVER.  And the daughter whom the protagonist, Hannah, was to protect?  Complete brat.  She was just miserable ALL THE TIME and yet, Hannah, to the point of obsequiousness, is constantly trying to win her over and every page has some melodramatic prose about her heart breaking wide open or being thrilled with the slightest act of grace from the obnoxious brat in need of protection.  Why was daughter so entitled to be miserable and rude while being raised by doting dad in Sausalito of all places?  Dad just shrugs, Hannah tries harder because she is, IDK, spineless? But wait until you get to the part where we find out what daughter is being protected from! It's so absurd, so implausible that hurling book at wall seemed reasonable.  Hannah is just a constant pillar of deep introspection and moral superiority. She's going to devote her whole life to said brat.  Also, Grady, the US Marshall character?  No! No, he would not have spent over a decade personally invested in the life of the son-in-law of an ex con and he most certainly wouldn't have worn a baseball cap on backwards in every appearance he makes in the novel.  What grown man in law enforcement walks around in his professional life with a baseball cap on backwards?  Was that supposed to be charming?  Because I see that backwards cap on any man's head and I want to knock it the heck off.The only pleasure I got out of this book is the cathartic experience I'm having writing this review and arriving at the sound decision of never buying a Reese Witherspoon book club pick again.  And if she produces or stars in the film or series version, I'll never forgive her or watch Walk the Line again for like the 12th time.",Did Reese really read this book?  I have my doubts.,Verified Purchase,193 people found this helpful,,193,1,Public,
carilynp,/gp/profile/amzn1.account.AF54ELIBCWWQG6PTJMYLO4HSG43A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2021",0,,5.0 out of 5 stars,"I had a strong feeling that this was going to be that book. You know the one. Right from the start, the narrator has a rhythm that pulls you in, the words flow so smoothly that you almost forget you’re reading. It’s like someone is reading to you. While you’re not sure if the storyteller is reliable or where the story is going, that’s all part of the intrigue. On the surface, things seem sweet. But there is an air of mystery. Now you’re hooked.Hannah is in love. With Owen. She picked up her life and moved across the country from Manhattan to Sausalito to be with him, where he is settled in with his now teenage daughter, Bailey, who is not looking to replace her deceased mother. Cue the snarky comments and eye rolls that only a 16-year-old can deliver with aplomb to the awaiting stepmother. But Hannah is not rattled. She is patient, having lost her own mother, albeit in a different way.Dependable Owen doesn’t come home from his job as an engineer at a software startup. Instead, he sends a young girl to his house to hand deliver a cryptic two-word message to his wife. Baffled, frightened and unsure of what to do, Hannah is determined to find out where her husband is, after word is out that the company is being charged with securities fraud, which leads her to take matters into her own hands on the streets of Austin.I especially liked this thriller for its well-paced plot, well-developed not too far-fetched with just the right amount of intrigue characters, each of whom is faced with a decision about which treacherous path to take.​THE LAST THING HE TOLD ME is an engrossing tale of suspense and family drama with female characters who are doing it for themselves.","Well-paced, suspenseful family drama!",Verified Purchase,88 people found this helpful,,10522,724,Public,304
EMM,/gp/profile/amzn1.account.AFSASMXI6CJISTCFN4A5EHQWXZTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2021",0,,3.0 out of 5 stars,"I never liked books where you’re asked to suspend your disbelief and this is one of them. They lost me when they went looking for Owen in Austin, TX. I have so many “why” questions... would Bailey really want to have a relationship with her grandfather after what he’s done to her father?  Would a woman give up her husband to save his daughter?  Why didn’t they just leave the country together? So many questions.",Suspend Disbelief,Verified Purchase,78 people found this helpful,,78,18,Public,2347522
Carinamia,/gp/profile/amzn1.account.AHPPT6IM2V2LRXKE5NVYTVEJ35EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2021",0,,5.0 out of 5 stars,"Lots of people will take this opportunity to describe what happens in this book, so I won’t. What I will say is that I read it in a single sitting and enjoyed it immensely. The story that starts out is not the story that the author ends up telling. What I will say is that this is such a new twist on stepmothers and second wives, that that alone makes it worth reading.","Compelling Premise, Unexpected Story",Verified Purchase,58 people found this helpful,,93,18,Public,2970307
Well Read Nana 1/24,/gp/profile/amzn1.account.AH6HUB7VN2FMQU4X54JLTXCZNLKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2021",0,,3.0 out of 5 stars,"I wish I could have given this read 5 stars , it had the potential. The writer was very professional in her grammar and definitely has talent but this book fell short for me .Owen the husband that goes missing I unfortunately never got to know .I wasn't given enough  about his love for Hannah .I wanted to understand what made Hannah move her whole life , devote, forgive andalter  her entire life to this marriage for this man. I understood the basics of Hannah 's need for family but the author was vague when she needed  put in more emotional depth between her and Owen .Less martyr Hannah and more pissed ,sad even broken Hannah  would have been better and more relatable. The sainted understanding Hannah wasn't real enough for me .The author went to great length of wood species but didn't bother to fill in the gaps of what I would have wanted to know.The ending was lack luster when I wanted more , much more for Hannah, Bailey and yes Ethan .The ending just left me with ""well that's it then "" ugh !I just wanted to read about Hannah not just settling for crumbs but getting some cake .So I'll give this read a 3.5 stars only unfortunately.If this read was more detailed, more emotionally fueled , less Martyr Hannah,  more in depth(even POV ) Ethen and Owen  I could have excepted the ending .Not a bad read but with some more plausible scenarios, with more of  what I wanted answered than what I got it would and easily could have been a amazing read. Dear writers less is never more in a story ,vague endings stink so please keep that it mind please.",It was good but it could have been great .,Verified Purchase,38 people found this helpful,,3266,515,Public,2535
Daddyphatsnaps,/gp/profile/amzn1.account.AHCETGMOSHBJ5PFCLAGNO3UZN6XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2021",0,,4.0 out of 5 stars,"This was such a well paced book! I finished it in a few hours. However I did find the ending to be a tad anticlimactic. There was so much focus on the “protect her” aspect, so I expected the ending to go a different route than what actually came about. I would definitely still recommend this book, I was just a bit disappointed in the end due to how intense the build up was.","Well Paced Book, Ending Falls a Bit Flat",Verified Purchase,36 people found this helpful,,36,5,Public,4882673
mz,/gp/profile/amzn1.account.AHG2OSVADMZNXND2UYOGZTIGLOMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,5.0 out of 5 stars,This book draws you right in and there is never a let down. The story is genuinely moving and the mystery keeps you turning the pages. It is the kind of book you stay up all night to finish. And then are sorry that there is no more left. We already wish there was a sequel! Don’t miss this one.,Simply Fabulous,Verified Purchase,37 people found this helpful,,43,21,Public,2676284
Amazon Customer,/gp/profile/amzn1.account.AFLXIJF2PGPO6WYEQWSGWMQLF3MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2021",0,,1.0 out of 5 stars,"Serious flaws. First, Hannah makes so many poor decisions along the way after Owen disappears that I found her to be a frustrating main character and hard to root for. Second, this is not a mystery. Twists or surprises? No. You can guess what is afoot here. This is a very over-rated book.",Gripping?? Hardly.,Verified Purchase,8 people found this helpful,,12,9,Public,10328761
Annabelle Lee,/gp/profile/amzn1.account.AFRVCCAGDYXBF7TE3MTAHZEI326Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,3.0 out of 5 stars,"I read this book in a couple of days. It was a fast read and in the beginning an interesting story. The characters were never fully fleshed out and as the book progressed their actions became more and more implausible. I have to say that I personally do not care for book/movies where female characters rush headlong into dangerous situations without pause or thought for the possible impact on all concerned, the kind of thing that happens often on Hallmark mysteries. I would like to think that strong female characters use their brains and logic to solve problems in a way that has the best outcome for the most people without martyrdom/stupid heroics on their part. The ending was a real letdown, not at all realistic, it would never happen that way in the real world. There are too many questions left unanswered and too many loose threads. No one can guarantee your safety from mob vengeance forever. With access to all that money and access to new identities why was all that sacrifice necessary or even the best choice ?? Just one reader opinion.","Fast Read, OK story, terrible ending",Verified Purchase,One person found this helpful,,90,74,Public,2119771
HappyPsalm,/gp/profile/amzn1.account.AFTOBTQILWDRQPEPWYXB3AWX6WGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2021",0,,5.0 out of 5 stars,It’s been a long time since I’ve pulled an all-nighter reading a book.  This is one of those books.  Great story.  Read the Sample on Kindle and then downloaded the rest of it—and could not put it down.,Couldn’t put this book down.,Verified Purchase,3 people found this helpful,,114,130,Public,376315
AJ Holmes,/gp/profile/amzn1.account.AFPEBMFK7ERTSWVHX6XFMLQAVICQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2021",0,,5.0 out of 5 stars,"Now, this was a great book that I couldn't help but to devour! From start to finish I didn't want to put it down and with every newfound clue into Owen's disappearance, I was pulled deeper and deeper into the plot. This is truly one of those ""just one more page"" books only, you'll say that right up to the very end and even then, you'll want more.Without repeating the synopsis already given, Hannah and Bailey are in for quite the reveal as they work together to try and track down their husband and farther, Owen. Only, things start to get a little confusing when knowing who to trust or not comes in to question more times than not. Just how far down this rabbit hole are Hannah and Bailey willing to go to find and bring Owen home? Is Owen really who they know him to be?If you choose to read this book, I suggest you block out some time for it because should you not, one of two things will happen... you won't get to whatever else you were supposed to OR you'll get to what you were supposed to but your mind won't be on the task, it'll be on the book. Happy reading!","LOVE, LOVE, LOVE!",Verified Purchase,14 people found this helpful,,202,219,Public,45918
SL Hoops,/gp/profile/amzn1.account.AHTP5PXVU7NXMOHBDBS62C73IQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2021",0,,3.0 out of 5 stars,"Since I’m only just starting this book, I will give it 3 stars for now based on the two editing errors I’ve already stumbled over: 1) “She leans in and puts the whole bite in her month.” Month? And 2) “And I feel happy, for a just a second.” For a just a second?",Calling an editor,Verified Purchase,14 people found this helpful,,27,21,Public,83317456
