helpful_votes,page_url,total_review,visibility_status
193,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG42SBJMIOLVEBUUCNW4F5GRMKJQ/,1,Public
"10,522",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF54ELIBCWWQG6PTJMYLO4HSG43A/,724,Public
78,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSASMXI6CJISTCFN4A5EHQWXZTQ/,18,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPPT6IM2V2LRXKE5NVYTVEJ35EA/,18,Public
"3,266",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6HUB7VN2FMQU4X54JLTXCZNLKQ/,515,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCETGMOSHBJ5PFCLAGNO3UZN6XA/,5,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHG2OSVADMZNXND2UYOGZTIGLOMQ/,21,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLXIJF2PGPO6WYEQWSGWMQLF3MA/,9,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRVCCAGDYXBF7TE3MTAHZEI326Q/,74,Public
114,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTOBTQILWDRQPEPWYXB3AWX6WGA/,130,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPEBMFK7ERTSWVHX6XFMLQAVICQ/,219,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTP5PXVU7NXMOHBDBS62C73IQAA/,21,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAFH7F3IPQUSOUJO2WMCT2JH32Q/,8,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGK63GMVDNL3XC7NC7KHMGBTNYQ/,30,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFARQ3LVTJ6S5XJMUJRR3VARBYTQ/,26,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOXEHULVWCOLRLXMKUDEG4BAUTA/,20,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6N7P2KCX2X5K3HNY6EMUCPCLYA/,3,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWMR47DWYA3G6RWKZRA5RUS6TYA/,1,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4KA7ZVA7X44Q2Y7SHGEWEIYN2Q/,21,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHICQJ5FJJOOZPRXTFVDJBYIT6FQ/,33,Public
181,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHR4IENPAH4U5YGNF6ZDYOUBYLQ/,342,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC6N2FWZBI4BI24H7ZXGPHULNRQ/,39,Public
"2,786",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCPPCQ7G2ZPFJSAOTEW6WRDGVBQ/,"1,189",Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKFHGCDFHI2HGKX73NI64HKDLOQ/,58,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCW7TJ67ZCMOFFXPFHAXPPXW5OQ/,62,Public
858,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEDSEMYLZTLDSLWLMGKW7DBFY5A/,135,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3OM3EF7L63UT7LBBUPW7ANDLGA/,69,Public
594,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCTV7IKYZWBT7ILD5IGDKAVHTAQ/,220,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG23NALF5JPAIA553BZMJYJGC2MA/,10,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ5O6WCRO5NUO2O5EAK25HPMCJQ/,46,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQYVBWAMZXENBCLIPIUKJXQ4RCQ/,29,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHPMS5YVT74RENJNL5DOCNSL7PA/,18,Public
74,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYOQLMPDNT26XDEJXXKIYKCFUNQ/,86,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUEXDP6HOMEO5K5WPEOJHBVDWMQ/,33,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLYT5IYSYHTOR4MM6MKVW4M5PNQ/,45,Public
256,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2ES5E2NQM3ZJ3BBYZXWPHTOI6Q/,89,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGQOBEYJIKIHVF5TMVGL7FEKXIA/,17,Public
337,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOHKEI4Y2JDU56K7TOTIAPLQMXQ/,185,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZLO5MJ36KAJBCRV2XGHOHX47VQ/,20,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPDTE24PGIBQMCQSDDUBMHHBF4A/,11,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGRVBG5FI6LAIJL52XSSN3UR5SQ/,25,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTVM6NHMURUM23UXRZ6SAFKQHDQ/,25,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHROHQVHJRS4YMKRBYGHUBLGZ7YA/,47,Public
236,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEN3OZQJAYUTNDZHAQON5E2FKM4A/,30,Public
