page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6J7323SYEWVEOA7N2T3472QRUA/?view=visitor,169173
https://www.amazon.com/profilewidget/bio/amzn1.account.AHVHOIHCH5FPJSU43FKP7VMDN57A/?view=visitor,423872
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3ZGSTPK6KVGG4EOWAFWYZGO2FA/?view=visitor,12658
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCI7ZFLYIFAP24J4GNHXROQ5CZA/?view=visitor,211268
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSNYJPPNUYOAFJHCVO4Q376GYBA/?view=visitor,408842
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOHKKD5FMZTXY3NRYYHGE54DAHQ/?view=visitor,806212
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6B7XAVXVOSDOS23WXOYDJBITJA/?view=visitor,4570580
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPQTFAHKXD5APTYBPXKZMPY65AA/?view=visitor,852535
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLCJNLM2VMX2AMUKTY67CLAYMGQ/?view=visitor,151476
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6LM4ONE2D2DGSHAAACD2MKJJBQ/?view=visitor,1097
https://www.amazon.com/profilewidget/bio/amzn1.account.AEVRVOBJA7O3BFUAL5MCJXCZUJUQ/?view=visitor,18556
https://www.amazon.com/profilewidget/bio/amzn1.account.AHK3QQPW4UKQGGJ3TDDVHKSBU42A/?view=visitor,4018874
https://www.amazon.com/profilewidget/bio/amzn1.account.AHPF736N3YSC5D6WOPYYZ6SRAYOA/?view=visitor,1891100
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNWORZRFMGVRUHD7CHRJEHIAV4A/?view=visitor,737931
https://www.amazon.com/profilewidget/bio/amzn1.account.AE75PAXDYZYO6DTSUE3HMP635SEQ/?view=visitor,3185669
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXE3H4F4R46Q3KE4KDMCEZ6NTYQ/?view=visitor,5333965
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEDI646JOOZ6OPUZU5REILOK5MQ/?view=visitor,2463608
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWS6GGWC2ZWFUKGD2CXPUXIVTQA/?view=visitor,486653
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWZWEVNQLS353VONOS45CURR3WQ/?view=visitor,131468
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKCBCUPBK6IFKOW5XQSXQNAD2RA/?view=visitor,4952171
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSDXVDRADRXBIBGJVYDDZSWWCIQ/?view=visitor,41689966
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7YUXWI42SW6SC2I2VR4TURFS4Q/?view=visitor,3735675
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2RJ6RY7GMERFEGYCLU47ETJXIA/?view=visitor,422090
https://www.amazon.com/profilewidget/bio/amzn1.account.AFU2BHHRBKT47XYFRR2ZHQW6CCXA/?view=visitor,8928680
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHKZ42IT7YX3H4QKZXMX6YQWMDQ/?view=visitor,1874829
https://www.amazon.com/profilewidget/bio/amzn1.account.AHN6AQFRMEDFU6NW4LKXFAH5BDAQ/?view=visitor,2867064
https://www.amazon.com/profilewidget/bio/amzn1.account.AFTR24DGMTKQOLIX5ZEIKPPKR6XA/?view=visitor,53058
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKH44DDWHWLD2NJBI6XT6JLOOPQ/?view=visitor,898049
https://www.amazon.com/profilewidget/bio/amzn1.account.AFHLXIHF75FHPRFQHLVLZQFD6ZPA/?view=visitor,905864
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4YBVO724V3BJUUFP4DBFQGNEHQ/?view=visitor,846
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDMUUHBHX2FHRD6WT6GHQVYBE2Q/?view=visitor,3693876
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHPEFOSUCFADXLJV6EENMLIZF4Q/?view=visitor,3401526
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYH45FOORSWLMPUE266ZWY7J3KQ/?view=visitor,1031645
https://www.amazon.com/profilewidget/bio/amzn1.account.AEX37KG32RZC4XELWY4VWKZMZFNA/?view=visitor,3141274
https://www.amazon.com/profilewidget/bio/amzn1.account.AH66IYYLYPLWRDWMXQIV6XDODAXA/?view=visitor,9830590
https://www.amazon.com/profilewidget/bio/amzn1.account.AETQ3QJWQKWGKJEYYYBJLGQMNWQQ/?view=visitor,5752110
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPRCYTSRXKQ5DVOGW7GUFC3PNEQ/?view=visitor,2228440
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJTNJXKYYYCPMRAB36R5B3HJQXQ/?view=visitor,2137089
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6CCCY26BU7FKIMFDVKRCGUOINQ/?view=visitor,444217
https://www.amazon.com/profilewidget/bio/amzn1.account.AGE2O2JUGGNMM3JLNEJ32RTA5ITQ/?view=visitor,5169187
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSSDNVMWTWJRYRXVNZOW76NE7YQ/?view=visitor,1698308
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWNBQU6IRXMYBJTYAAYRBBGT7UQ/?view=visitor,1003300
https://www.amazon.com/profilewidget/bio/amzn1.account.AFGNQF2N7APU74HOYTSD5Q5R2BSA/?view=visitor,2307128
https://www.amazon.com/profilewidget/bio/amzn1.account.AGAUVAPRM22TPKUUSSL5BVKFMKCQ/?view=visitor,259009
https://www.amazon.com/profilewidget/bio/amzn1.account.AHK2TVESQVX3MTUALX4GEUUWUWBQ/?view=visitor,7445057
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHKIKXG47HH5V7HMHDSGS6SRDAA/?view=visitor,57208
https://www.amazon.com/profilewidget/bio/amzn1.account.AEVZSULMAGIAQQIUG6FNUJIXVDHA/?view=visitor,77820
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLDRXTBA34XKFMU4C5JGUMLAT6A/?view=visitor,253876
https://www.amazon.com/profilewidget/bio/amzn1.account.AFGTWMWMFQ5K25V43JXFJOE6HQJA/?view=visitor,887005
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLBRXSSOCYWI4VPMPTQTJ2ASLJQ/?view=visitor,28591476
https://www.amazon.com/profilewidget/bio/amzn1.account.AGABA4WOZEUM67TGSXAOV6HZUA2Q/?view=visitor,196927
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJVNRF63NHRDIXON6ZERQXR7JEA/?view=visitor,39456
https://www.amazon.com/profilewidget/bio/amzn1.account.AFADXC7PUBDE7K2UP2BHECK6WRSA/?view=visitor,12924192
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJR6WE22LDFO7YYF5TZAZGD6PSA/?view=visitor,349825
https://www.amazon.com/profilewidget/bio/amzn1.account.AFHSFR6NOUJO3AQQXAC35UMAHUDA/?view=visitor,1718817
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAWGZVAHT4VTVXGOYQLLQXDGTTQ/?view=visitor,8316761
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEBLFFCCLWCMIGLTJ5GSTDLYQCQ/?view=visitor,897630
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZLVRRNMB5PEL55EV7AUSH7RC6Q/?view=visitor,4187100
https://www.amazon.com/profilewidget/bio/amzn1.account.AHR4UDPCFRL2KLGW5MAZPY2VAZQQ/?view=visitor,15505
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4PJMSK4ONKLOMCXQUWXSBRON7Q/?view=visitor,2076115
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZA45AWYEEZWXMQH34HMIAQNP6A/?view=visitor,1836479
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRXAL2PW3W7CQH2RGS2JT3BRB5Q/?view=visitor,83074480
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNNF2VTAXS2IGS2NNKGOCLNK2WA/?view=visitor,8188
https://www.amazon.com/profilewidget/bio/amzn1.account.AGX4Z24BIDEPOHOIPK5QNMIRN7FQ/?view=visitor,16747361
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFORJMMMC3HJXIJN2JWFZNBZ3VQ/?view=visitor,13322230
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRZFHOAULLTLUXLSCWSOYEONRYQ/?view=visitor,499807
https://www.amazon.com/profilewidget/bio/amzn1.account.AH34OKPBBFMGCSZHIQCSERRT3JDA/?view=visitor,330297
https://www.amazon.com/profilewidget/bio/amzn1.account.AER42E5WZD5ZNRYXEVHCNKLXQFOQ/?view=visitor,996918
https://www.amazon.com/profilewidget/bio/amzn1.account.AETD45IJ54QZ2ZETKMU6NMO5TW3Q/?view=visitor,92355
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEMNPC3J4OHOTP226LQV7DXC2SA/?view=visitor,160205
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQWJ7QFYLZ27G2NRBEA3MXUMMMQ/?view=visitor,15633575
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3GRCJPL7IXD22AJODJBC6OGZDA/?view=visitor,5223
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJ43SJNDAO5F2NBXP6IUIPOBT2A/?view=visitor,15135550
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2D2YNL7IZGZI5OFWZ342CXEJIA/?view=visitor,2984845
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKNF7HGPPJXAGGLZAOTWLX73KEA/?view=visitor,25140244
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHK5RHDNB5D5W2UNITMNR7CDF7Q/?view=visitor,1624682
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4DYZLDE6AN5DWNKR2EBZHU2FSA/?view=visitor,16958949
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCXZVOE4L4RHXQLY7OW5A37ADHQ/?view=visitor,3870729
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYWBUTX6WSS4VQMNPHPYP4CWNOA/?view=visitor,45117620
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUXVIONPX2YLPDXHE52Z6E7WWRA/?view=visitor,6711251
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLNCDVO6QQMGDHYMFOFHCSXCLRQ/?view=visitor,24933
https://www.amazon.com/profilewidget/bio/amzn1.account.AFA2URSS6OIKCOZ6UL4P4QF7OUTQ/?view=visitor,3968532
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOTSIP2FUL63ISHN6FBKBB4B3WA/?view=visitor,51139494
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3XLK6CE7YEMIIHSAZ6A5VM6JSQ/?view=visitor,339499
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBMLXRMMMJAKN7FC4CEHVY7NY3A/?view=visitor,4147465
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZ6EPRZZGHRNT5GMQA473I7J2UA/?view=visitor,1252799
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEMEB6RBRYFJW3J5QN5QJUXBAOQ/?view=visitor,6310674
https://www.amazon.com/profilewidget/bio/amzn1.account.AECG7YNTCPY672PYOHXW7ZFY3QLQ/?view=visitor,942903
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBIUR2KSVCVUUQWSIZQA5WF3MQA/?view=visitor,595781
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEC5M5AVUFFD4UPX2YFVPYWBFYQ/?view=visitor,11558438
https://www.amazon.com/profilewidget/bio/amzn1.account.AE5VRAQI4EPTO3HKKN3V5OKSW7GQ/?view=visitor,716563
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDNTVEQTPB2JATQ7ETX7YPRDF4A/?view=visitor,15436444
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3SUIRYO4AYI537ND227SHB55JQ/?view=visitor,11571917
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLFKQOWJQPWDYUW5AQLFCT5DZUQ/?view=visitor,4875262
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQILWOD3XLLRP2JBV3VJME2HWRQ/?view=visitor,8076439
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMAK6LMNOFA5AVDLW3CFPHLNG6Q/?view=visitor,739255
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3DR5M5KFCRSVWOSPQ744WYRJSQ/?view=visitor,13453984
https://www.amazon.com/profilewidget/bio/amzn1.account.AG77G7UPZYM4UEGY3PUAJJHOKSPA/?view=visitor,487536
https://www.amazon.com/profilewidget/bio/amzn1.account.AEH77YPBK3NMJC4Y4BIIHUQIRTUA/?view=visitor,34057752
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRVKPNNRBZ76BDH5GWDIJGPON5A/?view=visitor,47813
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7LBQ4L7TK4FYA4VIVVTPAE3IFA/?view=visitor,1951700
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRIGQW6BWCEPI5KF6VJNCJFF4ZQ/?view=visitor,29584
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPVJ5UXD6H3PXYRMMYELAOTKZPA/?view=visitor,8663942
https://www.amazon.com/profilewidget/bio/amzn1.account.AERZVRH2SF5WMVDZH6UFXFWUTZLQ/?view=visitor,17132293
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBNOOLC3COJ2KSYNBTQ5BF2R6BQ/?view=visitor,87037
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSWJBKL5HGB6KNZQM3KTK7QQZ4A/?view=visitor,459039
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWMFJB32T36XS7SC6K7MNRFSGFA/?view=visitor,3203
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRX2EFF376RDWWGRXNFBNE6NVHQ/?view=visitor,22431297
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIX3CFJ5ZF2SZXSBEETB2WB5KTA/?view=visitor,598992
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNYFSJPFUZJUPYT2HIOCVBL6FXQ/?view=visitor,616096
https://www.amazon.com/profilewidget/bio/amzn1.account.AEARJJMLRGDKUQIC5FVNB35DIYFA/?view=visitor,3251393
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTOPLNPV75GX5CY3QBIXFTQQNDQ/?view=visitor,343638
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3TRSMKVQM7BULKB2HVMIPIXGXA/?view=visitor,12942
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2DPLCDWAAXIUVBNCL2HSKVRUVA/?view=visitor,388112
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZB2AFTCFH27H5KOG5RBWQYKUPA/?view=visitor,7040
https://www.amazon.com/profilewidget/bio/amzn1.account.AECNC2QWLKZKLLRIKPH3ZVGRWCHQ/?view=visitor,83841966
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMAF4OVBGI5YEBOGNA36MENHQYA/?view=visitor,159355
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6DFPNFXUVBEKDPX4V3QWHE5V7Q/?view=visitor,41979
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAFF2DA2EF34YMXPHFD5UK7IDRA/?view=visitor,2698779
https://www.amazon.com/profilewidget/bio/amzn1.account.AHIGMCBFM3676424O3YQ4JWXOJBA/?view=visitor,88364
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIZI4AMJAW6KIEYLQEIURQLBNDA/?view=visitor,504252
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2LNCN4UT5HB3SPT3SZ3MH7VLKA/?view=visitor,530209
https://www.amazon.com/profilewidget/bio/amzn1.account.AEGLXPRQZ4A64E2G7TZXJJY3TSJA/?view=visitor,2576826
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUD65CZJZRIE2FAVKA72QWGKIIQ/?view=visitor,22182
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5PB5NT5ACJJ4PU35NW4Z5JLTVA/?view=visitor,5361325
https://www.amazon.com/profilewidget/bio/amzn1.account.AHA33UNFEKGGJW5ESUC67ND3TRPQ/?view=visitor,218462
https://www.amazon.com/profilewidget/bio/amzn1.account.AETRV5U66D3LZ2OOM3M4I6BFLV2A/?view=visitor,83657194
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSKWJDZIW5EQYLWJPGHBRD3RKAA/?view=visitor,1945415
https://www.amazon.com/profilewidget/bio/amzn1.account.AHIRV6XGPLAKUXVWFQH6VGP47PZQ/?view=visitor,4727822
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQPXGUO2AZ45WL577SYCO2TSALA/?view=visitor,1700
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRJAAR2UHAY7GWEFSXEO7AWRYZQ/?view=visitor,7938037
https://www.amazon.com/profilewidget/bio/amzn1.account.AGVMH67ZLP6FMTP5GJKSEJMJ4M4Q/?view=visitor,28444313
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7R46HSKYJIFFDO6FMTJEHMKBOQ/?view=visitor,298762
https://www.amazon.com/profilewidget/bio/amzn1.account.AFW2MT22IKPOKEDDMNUD4TUACEBA/?view=visitor,2288744
