helpful_votes,page_url,total_review,visibility_status
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5C5IDO6XA7JPS36X6DBBU3SZGQ/,147,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEU46H3IWJ7DHHKHSEUVTAKSMO7A/,10,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE62RV7WJ4M2KSO3FTGQOSQMI6HQ/,14,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNLDQKYHPIBDBFV5MZFH743E5GA/,16,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQUOAPABS34EUFR76SN5NAJVA3Q/,2,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNO5HDHJAZ4YHNUJDAUVMCPNQOA/,23,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYJYQPRBART4R3I53JTUJJ2YQHA/,1,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHA6WUK4J3S5NMFWGFMWNU247A3Q/,26,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ7BZJU3PJO3ZVLPMRB7DMNYMTQ/,18,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZJJWM3NIASCYJP3SSFXNWFYUFA/,1,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQUFS5TRDGOTXYOCBZ3WVOQW56A/,8,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ4FGQIILQIXP3DUKGYRSFU2FGA/,12,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWUULXFCUDWQUUUMXVE5PTECHQQ/,1,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMOH45G5O6SJHR6F7YTUU2SIHQA/,10,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCETCKYYXBAIG6AK22AE323WZAQ/,1,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFK3NDLPHQDQCYUZ366V2F6QYESQ/,8,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5U6Y35TB34JMYJIVWHDEDKXAMQ/,2,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHR753XKSPJOLR227O5F3DKLQHA/,8,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDFUEQK45UT4HBOQ2HPZQMW2LKQ/,1,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH32JXQEL6YW7CIFETZC22MGSIKQ/,5,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGWQEJ724XQFZ2SBQTNPHFABVSA/,6,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUECN4VDA3EVT2NOWXB3PGX43VA/,8,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQZVQVFTOQRJOURO633KRQM7ZFA/,1,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4NR3F6LJBPWCXH4UT7HTHXO2NA/,1,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFA3PSGF5FSJKWWEVWYQQB64LKQ/,7,Public
