author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Nick,/gp/profile/amzn1.account.AHMSM347WNNGCIIOWLKXTMNNO64A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,5.0 out of 5 stars,"I don't even remember pre-ordering this book. It just showed up in my Kindle app this morning. So I decided to read the first chapter before starting work. Four hours later, I can finally put the book down since I'm done.""The Martian"" was a great story. ""Artemis"" was a great story. This one is better than either of those. If you like science fiction with actual science, this is for you. If you like stories with interesting, well developed characters, this also has that. If you want excitement and a thrilling plot, here you go. If you want romance and sex, well, there you're completely out of luck. But if that was the kind of book you wanted I doubt you'd be reading this review anyway. Speaking of, why *are* you still reading this review? Go read the book!! It's way better than this.",Amazing. Wonderful. Excellent.,Verified Purchase,369 people found this helpful,611,45,129247,Public
Nathan Ownbey,/gp/profile/amzn1.account.AF4UD2JL5G7JLOXET4HJVHMHZ4SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,2.0 out of 5 stars,"I'm half way through the book and I'm super annoyed with two aspects of the author's approach.  First, he gets preachy about global warming, which is not a thing one does when one wants to engage an audience...""And just like that another climate denier is born.""  Can he be more condescending and dismissive?To be frank, I believe in climate change.  I believe the climate changes every three months (roughly); they're called seasons.  What I don't believe in is soft science and doomsday predictions based on data that's easily manipulated by activists to say anything they want.The second problem I have with the book so far is that it reads too much like the The Martian, but without the emotion.  There's no reason to like or dislike the characters beyond the superficial aspects of their personalities.  Everyone is two-dimensional.  The main protagonist spends his days dodging his emotions, and every supporting character on Earth is a stereotype--without enough personality for me to care about any of them.Maybe things will get better as I continue to read, but only if the author puts away his soapbox and get's back to story-telling.",No one's talking about the elephant in the room,Verified Purchase,155 people found this helpful,157,6,41083681,Public
science writer,/gp/profile/amzn1.account.AELITAGESXQRM7PR3FSQ4EKRH4BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,3.0 out of 5 stars,"Based on all the rave reviews, I had high hopes for this book. It’s certainly a couple of notches above other science fiction novels I’ve read lately (all of them with rave reviews). If Mr. Weir’s editors had leaned on him to cut 150 pages out of the text, this would have been a stronger novel.PROS:1. The characters are individualized and (mostly) likeable. It’s really nice to have a male protagonist in a sci fi book who’s compassionate, caring, and human.2.  Plot twists and turns kept me reading in spite of some long tedious sections.3. Alien life forms are creatively and imaginatively rendered.4.  A bit of humor here and there helped enliven the story.CONS:1. The author is mainly concerned with engineering solutions to survival problems–one after the other after the other. Some of these are exciting, but there were just too many.2. The plot drags on and on as one technical problem after another takes center stage. If you’ve been dealing with computer, electrical or mechanical problems in your own life, you might find the endless series of equipment disasters a bit frustrating to read about.",Three and a half stars,Verified Purchase,153 people found this helpful,1937,221,17108,Public
Mr. Doug,/gp/profile/amzn1.account.AFMG5VCVWE2C3J5DHPEF3FP77OCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,5.0 out of 5 stars,This book is simply outstanding. There you go. A 5 word review...but I’m not wrong.,I’ll keep it simple.,Verified Purchase,123 people found this helpful,202,32,390033,Public
Majst0r,/gp/profile/amzn1.account.AHQQF6TBL2AHU24V4K5FDDS6GXJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,5.0 out of 5 stars,"A spiritual sequel to The Martian that had me grinning throughout the entire book.Made my inner nerd squeal with delight on many occasions.Has everything I ever wanted in a sci-fi book, just didn't realize it until now.Read it. That is all.",Andy does it again!,Verified Purchase,80 people found this helpful,125,17,1653019,Public
DisapointedReader,/gp/profile/amzn1.account.AHKDIMIEUSE3XQ5BKIOYVNGQADKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,5.0 out of 5 stars,"A previous reviewer said: '""The Martian"" was a great story. ""Artemis"" was a great story. This one is better than either of those '.  WRONG!  This one is MUCH better than either of those!  Instant classic.If you mixed Asimov's ""The Gods Themselves"" and Heinlein's ""Citizen Of The Galaxy"" and added in a few gallons of Clarke and Niven it would be like this.  I'd write more, but I'm off to re-read the novel.","Stop reading this review.  Read ""Project Hail Mary"".",Verified Purchase,58 people found this helpful,141,25,1341396,Public
Serenity Base,/gp/profile/amzn1.account.AETU5C6RL4HRAFVMYV6WVCBYTSWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,2.0 out of 5 stars,"There is some pretty clever science here, and a lot of sophomoric fantasy about saving the world with sacrifice and universal cooperation that must have been absorbed from some over-zealous Sunday School teacher.We have this interstellar infection that eats the energy of the sun and causes it to get dimmer. We have to save the world from an imminent ice age so we scoop up some of this amazing stuff and figure out that it absorbs, and can be made to emit, incredible amounts of energy. Hey, I have an idea! Let’s use it to power a star ship to near light speed! We’ll build the ship by utilizing universal love, cooperation and sheer human ingenuity and send some suicidal humans to Tau Ceti to figure why that star isn’t getting sick, although also infected. (Well, one of them isn't suicidal but we bully him into going anyway.)Wait!! We have a source of amazing amounts of energy and we use it to send our two-and-a-half heroes off to save the world? What about using all that incredible love, cooperation, ingenuity and boundless energy to keep the earth warm while we figure out how to kill the bug? Well, that won't fit our little trolley-car moral dilemma plot, will it? Can't use that.","Well, there's some good and some not so good here",Verified Purchase,32 people found this helpful,67,19,3741786,Public
RedOneFish,/gp/profile/amzn1.account.AHOTAEKL7DX6NSUCMSPKUF6HUJNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,4.0 out of 5 stars,"I have just finished Andy Weir's newest novel Hail Mary and it certainly does not disappoint. It is a romp full of twists and dangers, with a strong main character who is facing it all, and a decent respect for the science behind it all. Nice Science Fiction with no fantasy. All that was missing was 'a maze of twisty little passages, all different.'",Great Sci-Fi Romp,Verified Purchase,26 people found this helpful,56,52,814553,Public
NXD,/gp/profile/amzn1.account.AHSV3JXT77Y3AK2HLLQ3Y4YBK3YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,2.0 out of 5 stars,"I am surprised by all the rave reviews. While I really enjoyed Andy Weir’s “The Martian”, I thought the writing in this book was very juvenile. Fun/interesting storyline, but the quality of the writing is so weak that I won’t be recommending this to any of my friends.",Juvenile,Verified Purchase,25 people found this helpful,89,80,129247,Public
Kindle Customer,/gp/profile/amzn1.account.AHHNPIBW2YPPCSSMALQQV37ZDROA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=0,5.0 out of 5 stars,"A great read, full of sound science and good characterization. finished in one sitting. Now for the next book from Weir!","A great read, I finished it in one sitting",Verified Purchase,20 people found this helpful,72,44,41083681,Public
Nick,/gp/profile/amzn1.account.AHMSM347WNNGCIIOWLKXTMNNO64A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=1,5.0 out of 5 stars,"I don't even remember pre-ordering this book. It just showed up in my Kindle app this morning. So I decided to read the first chapter before starting work. Four hours later, I can finally put the book down since I'm done.""The Martian"" was a great story. ""Artemis"" was a great story. This one is better than either of those. If you like science fiction with actual science, this is for you. If you like stories with interesting, well developed characters, this also has that. If you want excitement and a thrilling plot, here you go. If you want romance and sex, well, there you're completely out of luck. But if that was the kind of book you wanted I doubt you'd be reading this review anyway. Speaking of, why *are* you still reading this review? Go read the book!! It's way better than this.",Amazing. Wonderful. Excellent.,Verified Purchase,369 people found this helpful,611,45,17108,Public
Nathan Ownbey,/gp/profile/amzn1.account.AF4UD2JL5G7JLOXET4HJVHMHZ4SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,https://www.amazon.com/Project-Hail-Mary/product-reviews/B08GB58KD5/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageNumber=1,2.0 out of 5 stars,"I'm half way through the book and I'm super annoyed with two aspects of the author's approach.  First, he gets preachy about global warming, which is not a thing one does when one wants to engage an audience...""And just like that another climate denier is born.""  Can he be more condescending and dismissive?To be frank, I believe in climate change.  I believe the climate changes every three months (roughly); they're called seasons.  What I don't believe in is soft science and doomsday predictions based on data that's easily manipulated by activists to say anything they want.The second problem I have with the book so far is that it reads too much like the The Martian, but without the emotion.  There's no reason to like or dislike the characters beyond the superficial aspects of their personalities.  Everyone is two-dimensional.  The main protagonist spends his days dodging his emotions, and every supporting character on Earth is a stereotype--without enough personality for me to care about any of them.Maybe things will get better as I continue to read, but only if the author puts away his soapbox and get's back to story-telling.",No one's talking about the elephant in the room,Verified Purchase,155 people found this helpful,157,6,390033,Public
