helpful_votes,page_url,total_review,visibility_status
611,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMSM347WNNGCIIOWLKXTMNNO64A/,45,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4UD2JL5G7JLOXET4HJVHMHZ4SQ/,6,Public
"1,937",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELITAGESXQRM7PR3FSQ4EKRH4BQ/,221,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMG5VCVWE2C3J5DHPEF3FP77OCQ/,32,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQQF6TBL2AHU24V4K5FDDS6GXJA/,17,Public
141,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKDIMIEUSE3XQ5BKIOYVNGQADKQ/,25,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETU5C6RL4HRAFVMYV6WVCBYTSWA/,19,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOTAEKL7DX6NSUCMSPKUF6HUJNQ/,52,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSV3JXT77Y3AK2HLLQ3Y4YBK3YQ/,80,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHNPIBW2YPPCSSMALQQV37ZDROA/,44,Public
611,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMSM347WNNGCIIOWLKXTMNNO64A/,45,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4UD2JL5G7JLOXET4HJVHMHZ4SQ/,6,Public
"1,937",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELITAGESXQRM7PR3FSQ4EKRH4BQ/,221,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMG5VCVWE2C3J5DHPEF3FP77OCQ/,32,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQQF6TBL2AHU24V4K5FDDS6GXJA/,17,Public
141,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKDIMIEUSE3XQ5BKIOYVNGQADKQ/,25,Public
