helpful_votes,page_url,total_review,visibility_status
"1,494",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERY7KVJQUSWJE36UVMKPVZXWZBA/,9,Public
"1,587",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQKQKE7NORAQGVPVYWM7MJCJFTA/,18,Public
"1,120",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHVC637KOJ6J6FEQH6WYQ4YXBVQ/,37,Public
733,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSWUR2BDYLQ4PQU5NDFRAZI24AQ/,24,Public
"1,416",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF63RGZRCYCKWRSBIU3IH6OJLJ5A/,763,Public
567,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7K5AUMA3QCKFPIBSWCVJT3WGYA/,20,Public
298,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMBPY4F5RNW75YIGWPDZ47TGRJQ/,19,Public
256,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELJ5634LZ66XSU7THWXUTA6BSTA/,22,Public
281,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEJPZQO4MSPH3OGZHWQNEHSO7OA/,1,Public
262,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRGD3Z6ACQ5DDEZK65THMITPJ2Q/,32,Public
237,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFM24TQ6QDXF7427QPMDNAJTDQ5Q/,2,Public
212,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE27NVG3IJRYPLZ27C6V6WYZI6PQ/,1,Public
227,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGV5UM7KF4CWMJ4HJIC34TA6HXWQ/,22,Public
155,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3KFUGIWTPWKI2N2VSVZQ5FL5EQ/,15,Public
"8,937",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFHHZIEFIIXJZKWRCLKISPPFGWQ/,"1,206",Public
183,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSHTDZBVGY76J2I377NJVQB4YFA/,40,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ3MOIGRNFD3D6ZP6PBQXIKICVQ/,3,Public
166,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGC6UKTLL6BHI2HS2QFV4V75NAQ/,5,Public
159,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFEV46VSGZGD4OI3WZPBZO4TRJA/,11,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZPVYB3OC3PPRYQYPOZFBML7TIQ/,3,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQY3DJARK5UFKVKB3TQDH7B4ZCQ/,9,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIYMI45FFHP72VPBFRPTONWMJPQ/,1,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZFALSQ5AANKY7IGJ4EARQGSENA/,10,Public
190,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAN2PMC5I6ARR576T4ZYEBYU3MQ/,34,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5YBGA3FQHZKPGBOWGVX2L2TEEA/,3,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXBGHT6ZVNACW2MM5YACV4MVUJQ/,1,Public
296,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWO7UYDRQ7JC6EJGRS5PPBLZZ7Q/,53,Public
160,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFK63EA5WTMDFYA6N7CJ5RLDM2CA/,15,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFJEOYIO5Y7TIKTKH7ISIUZKGMA/,34,Public
205,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIEYMJNP5CBMIEGTCYXAKWTACQQ/,14,Public
