page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AERY7KVJQUSWJE36UVMKPVZXWZBA/?view=visitor,418162
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQKQKE7NORAQGVPVYWM7MJCJFTA/?view=visitor,98635
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHVC637KOJ6J6FEQH6WYQ4YXBVQ/?view=visitor,15827
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSWUR2BDYLQ4PQU5NDFRAZI24AQ/?view=visitor,59257
https://www.amazon.com/profilewidget/bio/amzn1.account.AF63RGZRCYCKWRSBIU3IH6OJLJ5A/?view=visitor,1754
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7K5AUMA3QCKFPIBSWCVJT3WGYA/?view=visitor,167801
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMBPY4F5RNW75YIGWPDZ47TGRJQ/?view=visitor,100574
https://www.amazon.com/profilewidget/bio/amzn1.account.AELJ5634LZ66XSU7THWXUTA6BSTA/?view=visitor,170605
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEJPZQO4MSPH3OGZHWQNEHSO7OA/?view=visitor,1193593
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRGD3Z6ACQ5DDEZK65THMITPJ2Q/?view=visitor,175032
https://www.amazon.com/profilewidget/bio/amzn1.account.AFM24TQ6QDXF7427QPMDNAJTDQ5Q/?view=visitor,1475741
https://www.amazon.com/profilewidget/bio/amzn1.account.AE27NVG3IJRYPLZ27C6V6WYZI6PQ/?view=visitor,1414426
https://www.amazon.com/profilewidget/bio/amzn1.account.AGV5UM7KF4CWMJ4HJIC34TA6HXWQ/?view=visitor,640323
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3KFUGIWTPWKI2N2VSVZQ5FL5EQ/?view=visitor,83036738
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFHHZIEFIIXJZKWRCLKISPPFGWQ/?view=visitor,362
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSHTDZBVGY76J2I377NJVQB4YFA/?view=visitor,262648
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZ3MOIGRNFD3D6ZP6PBQXIKICVQ/?view=visitor,1655502
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGC6UKTLL6BHI2HS2QFV4V75NAQ/?view=visitor,848056
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFEV46VSGZGD4OI3WZPBZO4TRJA/?view=visitor,288033
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZPVYB3OC3PPRYQYPOZFBML7TIQ/?view=visitor,1030185
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQY3DJARK5UFKVKB3TQDH7B4ZCQ/?view=visitor,533341
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIYMI45FFHP72VPBFRPTONWMJPQ/?view=visitor,1809502
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZFALSQ5AANKY7IGJ4EARQGSENA/?view=visitor,932338
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAN2PMC5I6ARR576T4ZYEBYU3MQ/?view=visitor,359355
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5YBGA3FQHZKPGBOWGVX2L2TEEA/?view=visitor,2010357
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXBGHT6ZVNACW2MM5YACV4MVUJQ/?view=visitor,2294384
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWO7UYDRQ7JC6EJGRS5PPBLZZ7Q/?view=visitor,158826
https://www.amazon.com/profilewidget/bio/amzn1.account.AFK63EA5WTMDFYA6N7CJ5RLDM2CA/?view=visitor,815065
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFJEOYIO5Y7TIKTKH7ISIUZKGMA/?view=visitor,278460
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIEYMJNP5CBMIEGTCYXAKWTACQQ/?view=visitor,2196087
https://www.amazon.com/profilewidget/bio/amzn1.account.AF77QY2UIMXO7JQMDPU2E7HHRCYA/?view=visitor,1038759
https://www.amazon.com/profilewidget/bio/amzn1.account.AEF6APKG3KTDLN45DWDDTFVZKVMQ/?view=visitor,156608
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBERMSB3AH3DP5NSLOJ26FVXEKQ/?view=visitor,93235
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZ6SPXDB7DXZ2UDJY3WLSQVHZJQ/?view=visitor,1234824
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLUWC3YSL5FZQXCMIJVM2KNBERQ/?view=visitor,661388
https://www.amazon.com/profilewidget/bio/amzn1.account.AHL6G6S7N4RJU7ZA5Y37AD72OISQ/?view=visitor,83432818
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXPWERJCDLJ3G5OSUXF5QNQYOXA/?view=visitor,1503061
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3UXS3VGPOF7SWEWUXA3KJ3OFNA/?view=visitor,3254001
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZDF7KRCU27WBCC25XPHCGIKANA/?view=visitor,1092675
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQ56DQM6US6GLB6ZAQ3SID6VJCQ/?view=visitor,872973
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJR5YBOWSOGAUXSGWAEARL3HY5Q/?view=visitor,3328659
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNHVFTSGECXUOLGHYZQXYLBQYIQ/?view=visitor,8661
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMQI3ONGOOFZFTVPAACJJ35CFYA/?view=visitor,1116372
https://www.amazon.com/profilewidget/bio/amzn1.account.AHABWLQ5VJMGEJWWGFQJZJ5TYP6A/?view=visitor,618292
https://www.amazon.com/profilewidget/bio/amzn1.account.AGV5HYJZITBLBHQWQ4T6PH44IBGA/?view=visitor,968652
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZHDOISI2ZRLJHC3OOAHFYVUQVQ/?view=visitor,3791044
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNUBF5WXO544ZAULILUBWCLNF3Q/?view=visitor,1253990
https://www.amazon.com/profilewidget/bio/amzn1.account.AETTMXWHGY2SG3ZQYGYFG5K3YRWQ/?view=visitor,436395
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMVUFPM2R7JOFCATFZYQCTNUE6Q/?view=visitor,128557
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXF22DLEY7PYWAMLDTLBFMP2JVA/?view=visitor,4374050
https://www.amazon.com/profilewidget/bio/amzn1.account.AGVYO2SNZCIOVZUKF2GINHA3RG7Q/?view=visitor,64969
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJDZSVTUFSED5N2F4FG3S4BH6BQ/?view=visitor,1892708
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7FFK736MSV2TV7F7YW2VG3HCGQ/?view=visitor,10074
