helpful_votes,page_url,total_review,visibility_status
"1,442",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDBWAKQKYGDUAVWTAXAE5AINLFQ/,402,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAMIZ73YF7ORBOQB72XHXD2FO5Q/,19,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQGEFQBES43JPN24RPNHVGONKDA/,2,Public
118,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4AR33536GHJGWVUPL3SPAY6Z3A/,200,Public
330,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXIVJMDXROT6ZAKWXBSXZICNZUA/,52,Public
"6,236",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLJ7GWIA6KYU5X47DCVLFQHTKGA/,"2,174",Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ5KHY5V5ZUCWQMLJVDKYMU2DQQ/,21,Public
148,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGBLTMUJLRXKE5H56VRHD6WFIRQ/,168,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2IIPCP3AUSJNS23PSUQKHURDAQ/,48,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKI6IKRGTJJUZZL6YSNFIH7LH6A/,74,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHR4BVBVH3NLPJBM3DFQA6YIWUXQ/,14,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEB6BO6SB7BAS44SUPCLY34P22A/,69,Public
946,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWXYDKTGR3JTZCWQZM7BEYNIV6Q/,336,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHESSRLMB5S5IXDZSXUB5J2QZYIQ/,26,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMKPEZBULEQYP3E7A6IAMZLDKHA/,21,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYSMHWL2SXXCMHAMRKLQH4Z7HTQ/,49,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSQPML27ZCMVNBZXVTDVVTNW4TQ/,25,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECGVJ6BGVNMZJLTF5F23FWFX6IA/,5,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSCFLY4HCWO4PBLAC4YKTDTSEBQ/,73,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRLV72DBQYBWEUVE72CSFTYM6KA/,71,Public
