author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
DENISE L,/gp/profile/amzn1.account.AHTBFSDMHVWDIWDOPOP3UECO5M5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I love reading a story that leaves you feeling that you must visit the location that the story takes place.  I would love to visit Tuscany.  Julianne’s story can make you cry and smile.  The love story between Anton and Lillian is beautiful and sad.  Lillian did the right thing and stayed with her husband Fred after his devastating accident.  Thinking that Kate is his biological daughter gave him the strength to survive.Other reviewers have revealed more of the story.  I will not do that.  Just know that you will not be disappointed.  Julianne MacLean has done it again.  I received an arc copy and I highly recommend this book.,Another beautiful story but Julianne Maclean,Verified Purchase,120 people found this helpful,135,32,Public,356237
Kindle Customer,/gp/profile/amzn1.account.AGNQ3EVH5U6KTSYAEEFVC57ROSNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"ah, another novel written about Tuscany... oh wait, all the major players are British or american. One of the wonderful things about Italy is the food. the food these people ate was decidedly un-italian, further, there was even a comment about pasta being all carbs and fattening.  So these non Italians are in Italy, and they're not eating Italian food (at least they are apparently drinking a LOT of Italian wine) and they have their little family drama which is very implausible. The perfect father, a paraplegic was actually an egocentric self serving jerk who totally starved the hopes out of his wife, the protagonist's mom, who died of cancer ten years before the story starts, while her star crossed lover, the protagonist's father languishes in his Tuscan Vineyards completely hidden from the protagonist until he dies and leaves her the whole farm.  Her unpleasant half siblings are awarded a house in England, but they aren't happy with that and when the brother threatens to fight over it, our protagonist just buys him out for her new half sister! I mean, really, that's what strangers do, right, hand over 1/2 a million (a million? who knows?) pounds so the self serving half sister won't be sad.  I was pretty darned disappointed with this book.",disingenuous,Verified Purchase,90 people found this helpful,732,163,Public,126376
kathryn,/gp/profile/amzn1.account.AGWRA2KSILWTWFFJH3EX2FJHMPTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"The author lost my interest early when she described the characters sitting on a towel at the ""beach"" in Tallahassee, Florida. Later on, the description of ""white caps"" affirmed that she had never been to Tallahassee or that she did any research. And Tallahassee is not in the ""Panhandle!"" Tallahassee is at least 40 miles from any kind of beach and farther than that from waves and white caps! Storyline was predictable, characters flat, and writing was pedestrian. at least it was free!",Need to do your research. . .,Verified Purchase,92 people found this helpful,570,29,Public,270558
Kindle Customer,/gp/profile/amzn1.account.AGYUKLDMFECBHUR4VVFUQ2OK335Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"What a awesome wonderful book. It has been twists, turns, lies, tears, love and complex stories that intertwined like vines in a vineyard. Pun intended!  It was an amazing read and it made me cry more than once but I smile more often. I was rooting for some characters and others, not the so much.  This is a book you simply must read. You won't regret it and You will always remember it. I know I will!",A beautiful book,Verified Purchase,60 people found this helpful,875,295,Public,10936
Jamie Bee,/gp/profile/amzn1.account.AGWMG5ARMSS5U2FMSSMPNML6MTNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"While the author does engage in a little too much info-dumping occasionally for my liking, she starts the book with a pivotal moment in the heroine's life, when she learns that her biological father—whom she's never met—left her an inheritance in Tuscany. This sets her world on edge, and nothing will be quite the same again. After the heroine goes to Tuscany, the author peels back the layers of the heroine's mother's life during that fateful summer in Italy in the mid-1980s as well as shows its rippling effects and consequences far into the future, including legal and emotional battles. I love well-done dual plotlines that seamlessly pirouette together, the happenings in one shedding light on the other. The author's descriptions of Italy, and particularly the food, put you right there. Fiction is a great way to armchair travel (our best travel option during this time of global crisis), and this one helps you do so while engaging you with the many tangled vines of the story. As the lies and secrets get untangled, we come to see that the story is not only about a profound love but also regret, healing, and forgiveness. A gripping and heartfelt read.I received a free copy of this book, but that did not affect my review.","Armchair Travel To Tuscany, Past and Present",,83 people found this helpful,19831,5512,Public,31
Anne R. Marshall,/gp/profile/amzn1.account.AEQLVAOSQN6B2FS7USOIKP3YYOPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"These Tangled Vines by Julianne MacClean is a soul-touching drama taking place in two time periods.  It feature Kate Bell whose mother died 12 years ago, when she was 18. At that time she took over responsibility for her father, who is a quadriplegic and needed round-the-clock care. On her deathbed, Lillian, Kate's mother, confessed that she had been fathered by a man other than her husband, Fred Bell. She also made her promise to never tell Fred: it would devastate him. So she had soldiered on, sacrificing many things that normal people had, all to care for her father. One day she got devastating news: her natural father, Anton Clark, had died and had left her property. Could she come to Italy? It turns out that he was a fabulously wealthy man. He owned multiple homes as well as this lovely vineyard near Tuscany. He had split the other things, as well as some money between his two other children, but he had left the vineyard and wine production to her, as well as a load of cash. She didn't know what to think. Her half-siblings were not happy, and really, not very nice. She still had her father to think of. What would she do with an Italian vineyard? Her half-brother, Connor, was threatening to try to break the will. There was no proof that he had really meant her to have all this, unless they could find the letters that were supposedly here somewhere, from her mother.Thirty years earlier there had been love and tragedy. Lillian had married Freddie five years earlier because she had been pregnant and then she lost the baby. He was writing a novel and promised the minute he wrote, ""The End."" They would get pregnant. It was to take place in Tuscany so she suggested they go there for the summer. She could find a job and he could write. So they did. Her life changed. She loved the winery and the vineyards and the owner. There was a brief affair but she felt so guilty: a bout cheating on Freddie and about loving Anton. She was a strong character who knew what was right and did it. Fred was the one: the weak one, who held on, thinking only of himself, before the accident and after. But they had a beautiful daughter, Kate. One they both loved with their whole hearts. He had been in that chair for over two years. The doctors had said it would only be a couple of years before an infection of some sort took him. They all: Lillian, Fred, Anton, and Kate, lived this lie for over thirty years. Now, both Lillian and Anton were dead. And Kate knew the truth. She also had a great many decisions to make, decisions that would affect her father her sibling, the employees of the vineyard. She was devastated. This book had me at the edge of tears, nose stuffed up for the last half of it. The beginning was hard because I was waiting for bad things to happen. Then they had and I could move on. Gut-wrenching, soul-stealing. What a beautiful book!I was invited to read a free e-ARC of These Tangled Vines by MacClean's ARC team and Netgalley. All thoughts and opinions are my own. #netgalley #thesetangledvines",I was angry. I cried. I blushed. What a book!,,68 people found this helpful,942,1086,Public,2663
Katherine M.,/gp/profile/amzn1.account.AH2Y6LZK3HAGUV5K2MQRVQPS53NA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,This book is well written but I do think it lost momentum and unfortunately made the antagonist too villainy. This book starts off very well with Fiona surprised to find out she’s named in a will and needs to travel to Italy to find out more. The pacing was quick and Fiona made a great character to watch the family drama unfold as her new found relatives are shocked by her inclusion at all in the will. Unfortunately the perspective then shifts between present day and flashbacks of the past. By their very nature the flashbacks have an inevitably tragic end that hangs over them. Fiona and the reader also find out who the real villain in the story is which I found to be quite appalling. It’s really an anti-love story that’s too tragic. It’s an interesting unveiling but Fiona becomes too full of platitudes about forgiveness that annoyed me as she was so unreal. I think the story lost its momentum and the characters became too one sided.,Story lost its way and characters became unbelievable.,Verified Purchase,26 people found this helpful,7328,1601,Public,226
pw reader,/gp/profile/amzn1.account.AED7BUC3JFWJXSNET7PN6O3XJLOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I doubt it is possible to read These Tangled Vines by Julianne MacLean without longing to take a trip to Tuscany. The setting of landscape, food, and drink comes vibrantly alive in this story of Fiona Bell’s journey. Just as much the emotions of the characters past and present are powerfully experienced as Fiona goes on a journey after one fateful phone call.Family secret and mistrust as well as family wobbly relationships and sibling inheritance complications become part of the journey. However, truth comes to light then forgiveness can give healing. Told in a dual time frame that makes this a captivating read.A powerful book that looks at understanding and accepting what cannot be changed while forgiveness is needed to change life for the better.  These characters and their story are unforgettable.",Truth is Needed but so is Forgiveness,Verified Purchase,21 people found this helpful,1615,2627,Public,12356
Kindle Customer,/gp/profile/amzn1.account.AF23BEMFCUIXK6TGOITMWVOGTOWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Beautifully written.  I loved this journey of lives told through two generations.  I had a hard time putting this one down.,Love,Verified Purchase,16 people found this helpful,96,174,Public,251232
Rhonda Gladden,/gp/profile/amzn1.account.AFLID762QE4H3SVDR2YMPPUF2TFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,http://amazon.com/These-Tangled-Vines-Julianne-MacLean-ebook/product-reviews/B08G1D6PKK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,Very enjoyable story to read and has quite a twist at the end which makes it not predictable.  I've never been to Tuscany so don't know if the writers description is correct or not. I do know that her description of Tallahassee is not correct since I have lived there. Tallahassee is not on a coast.  There is no beach. I am the type of reader who if I read something incorrect like that that it takes away from my enjoyment-hence one star less.,Enjoyable story but some location description incorrect.,Verified Purchase,11 people found this helpful,106,77,Public,1726998
