page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio//amzn1.account.AHLNRLG6X74OXMXZZJLA3HWFDIKQ/?view=visitor,467569,71,199,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AHZEKSH7BENGZ5SROPBEVW767GZA/?view=visitor,640037,326,166,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AGHCXMOMPGSTLZS2J2EAGECQH3HQ/?view=visitor,297880,90,53,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AHXKPPJYBC37DTVK3L5KA7373MNA/?view=visitor,7538070,0,25,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AH6CGVNLGDZKWOEH37CMQ3EGEERQ/?view=visitor,10230,321,381,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AF6MCSJBTIUPBFDHR25EK4HZC7IA/?view=visitor,2368667,6,26,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AEXRI5F4EQSWNVYSI2EGY4TW4FSQ/?view=visitor,1606191,15,69,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AEDE4FNDB3POAQ7TYLQZMXIVJJ7A/?view=visitor,6117415,5,13,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AGYG3AQZXRJYM7AJSDWTPDPSFJGQ/?view=visitor,1154836,39,162,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AFO7WIOVMFY6FTKFFDNX2RV3WTEA/?view=visitor,673776,19,114,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AHAKCS72CMSN236VILXNOVVNNHKQ/?view=visitor,106313,98,388,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AGN6PFQ64ERHWK6VU2CRGEB4V53A/?view=visitor,447074,51,295,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AHDWFNBCDYQUXQMPYDZAFYH5PC3A/?view=visitor,23842,180,247,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AG2DBY2HS3H6SR62XO5M74KP332A/?view=visitor,2873543,1,156,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AH4AB7JDDCP6XW7RV3JYRAHCTASA/?view=visitor,1625584,5,145,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AGGHQ7X3Y324VCTJCCP2BLUBLNWA/?view=visitor,1293660,11,87,Public
https://www.amazon.com/profilewidget/bio//amzn1.account.AGRZPZ2NRAXE4YOWZ25XCEK4FTAA/?view=visitor,42066,169,205,Public
