author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Anneelia,/gp/profile/amzn1.account.AEHPOMDKZ7J2C4UPZXHINWVA5Z7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 27, 2017",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Product arrived and items were already expired. Such a shame they were for the kids at a womens shelter. Glad one of the workers looked at the date because I didn't and never even thought to.,Glad one of the workers looked at the date because ...,Flavor Name: Classic MixVerified Purchase,85 people found this helpful,,673131,126,69,Public
kryscott99,/gp/profile/amzn1.account.AHNOPUC4GXKI2FQDHXR6WWSAGHZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 7, 2019",1,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I received the chips on January 5th and they expired on January 1st.  It may not be far past the expiration date, but nobody is going to eat these chips around my job with them being expired! Total waste of money!  Now I have to go out and purchase even more chips to satisfy these hungry employees.  Waste of time and money on my part.",Expired Chips,Flavor Name: Classic MixVerified Purchase,51 people found this helpful,,361039,231,130,Public
KAL,/gp/profile/amzn1.account.AEVTKKJXQAY2LYCVDI3WKL7GX5CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"This is the second time I have ordered this Frito-Lay variety pack, but will never order again.  As I am a household of one, I like the single serve packages so I have a variety of fresh ones available.  I decided to check the ""sell by"" date on this shipment and all of the items had an expiration of date of a few weeks or up to a month.  While they were not ""expired"" upon arrival - they were almost there and I would never consume 35 packs in a months time.  Now I know why I threw out a bunch from my prior order because they had expired - they expired shortly after arriving.  Unless you have a large family that is going to consume this in weeks - don't buy.",Poor Expiration date,Flavor Name: Classic MixVerified Purchase,49 people found this helpful,,416698,71,48,Public
Samantha,/gp/profile/amzn1.account.AFZNLSZTCQJB6BIXOMVRS2CWMLCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Bought these for my hospital stay to deliver my daughter so family visiting would have snacks. They were stale! We looked at the expiration date and they were days away from expiration. I didn’t expect them to expire within a month of purchasing. Kind of disappointing.,Stale!,Flavor Name: Classic MixVerified Purchase,46 people found this helpful,,1444624,64,40,Public
Mike,/gp/profile/amzn1.account.AEI6AKFCKOBEXFEGIHO6A32L7WAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 24, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,Every time I have ordered these the expiration dates for the different chips has been only a few weeks out and is quite disappointing. I would expect them to be fresher. Chips usually have a shelf life of at least 2 months when I get them at the grocery store so it makes me think these have been sitting around in the warehouse.,Disappointing,Flavor Name: Classic MixVerified Purchase,33 people found this helpful,,281584,71,71,Public
SarahK,/gp/profile/amzn1.account.AH4427FG4RE73QH67XM525O56Q4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 11, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I wish I would have read the reviews prior to purchasing this item. Like many other people, the items that I received were either expired or close to expiration. This also was not what I was expecting. It was a large Amazon box filled with tiny bags of snacks. I thought they would be in a individual box that I could take on vacation. Not at all happy with this purchase!",Expired box of snacks,Flavor Name: Classic MixVerified Purchase,33 people found this helpful,,236696,128,141,Public
kayt,/gp/profile/amzn1.account.AHA5XNZEEO7UREX3H2NGOMP6OFLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2017",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"Be mindful of the expiration date!  I bought a bunch of snacks in bulk, thinking they'd last awhile.  Many of these chips expire in a month.  A couple of them expire later, two or three months (depending on which type of chip.  If you're stocking up, not the way to go.  If you're going to consume 35 of them soon, have at it!",Be mindful of the expiration date! I bought a ...,Flavor Name: Classic MixVerified Purchase,31 people found this helpful,,260635,89,67,Public
Animated Puppets,/gp/profile/amzn1.account.AEEWXI7L6WXMZ74ESWAZSPGJQTPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,The Good: Nice variety of chips.  Very good packaging with chips filed instead of dumped in a box. Price is good.The Bad: I have them on a chip rack next to my desk (office snacks) and I can hear them calling to me... softly.  My only hope is that the others in the office will be tempted first.Overall: Happy with purchase. Along with other snacks in jars on my desk these chips complement the office snack fund.,"The Good, Bad, and Overall...",Flavor Name: Classic MixVerified Purchase,21 people found this helpful,,5726,1080,299,Public
k,/gp/profile/amzn1.account.AEMMVLOEUU4RRD3CQ4XHRV7LT5CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2018",1,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Items were delivered on 11/17/18 with aUse By Date of 12/18/18. How long have these been sitting in the warehouse?,"Quality, freshness",Flavor Name: Classic MixVerified Purchase,13 people found this helpful,,24665258,13,9,Public
A. Blandov,/gp/profile/amzn1.account.AFOIRW7FWGZCLIZKYMLUHMJJ5L2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2018",1,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Got these at the end of October for my subscribe and save: expiration date is November & December 2018. I ate a bag of cool ranch, so did my daughter- they were stale. Buyer beware!!",Stale chips. Near expiring.,Flavor Name: Classic MixVerified Purchase,9 people found this helpful,,772262,102,82,Public
FloridaRocks,/gp/profile/amzn1.account.AHTPTRZU562SGHUI37STJRJZE4SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 17, 2020",12,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Every single snack bag expired!!  Some expired June 16, 2020 and some expired June 30, 2020 (today is August 17, 2020).  DO NOT PURCHASE. I unfortunately did not read other reviews before I purchase this or else I would’ve seen that the expiration date seems to be a problem in a lot of the orders. I would not recommend this to anyone.",DO NOT PURCHASE.  EVERY SINGLE BAG WAS EXPIRED,Flavor Name: Classic MixVerified Purchase,3 people found this helpful,,84469381,22,100,Public
NJKoi,/gp/profile/amzn1.account.AFEGTJ4DEYQHDLIIVAH47GXLXNBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 9, 2019",2,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,These snacks are purchased to have on hand when people need something to snack on.  The fact that two of the 6 products have expiration dates stamped on them of one week after delivery is wasteful as it is doubtful they will be eaten in that time. They need to have expiration dates of at least one month after delivery.,Expiration in One Week,Flavor Name: Classic MixVerified Purchase,6 people found this helpful,,3567377,20,29,Public
Kimberly A Kish,/gp/profile/amzn1.account.AGQLYKJNO3BTBJEYHHH5UIJ4SJSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2019",1,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,This is the 3rd time have received nearly expired snacks fromAmazon! This is unacceptable...When buying In bulk I expect a little bit of time before the expiration. I received these 2 days before they expire!!!! Really!!!  Not going to order any Amazon food again!!! Ever...,Nearly Expired!!!,Flavor Name: Classic MixVerified Purchase,7 people found this helpful,,5202249,10,26,Public
Bobbi Deal,/gp/profile/amzn1.account.AFKD3U3PPONL75G4F6E4DMB2GG6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 9, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I am so disappointed with this order. At first I didn’t think about it when my husband said the Doritos he had were stale. Over the course of the next few weeks, as we ate things, I can say that over half of the chips were stale. The weird thing about it is that none of them were past the expiration date. I decided to write this review today because my daughter and I were watching a movie and opened 2 bags of Cheetos. One is perfect, both fresh and delicious, and the other is stale. I’m not sure if it has to do with how they are stored before shipping since they are just loose in a box, but it definitely wasn’t worth the money.","Don’t bother, buy fresh chips from the store",Flavor Name: Classic MixVerified Purchase,One person found this helpful,,5013710,18,62,Public
