page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPA4I5G3XLPMXIC42RP7IBMAICA/?view=visitor,315704,502,35,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCA64OUVM2TJGNN3IUXMEU7KF6Q/?view=visitor,1591,6453,2704,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFIX5WF37MQC5G7TPHH4MV2OBKA/?view=visitor,42162,453,114,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBGMVTXWTS4YMVMWUUF77UAH24A/?view=visitor,6798,1165,245,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFC6ZGYI63ALGBPR7N4CYQVBL3UQ/?view=visitor,274401,144,115,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQLQXFUBA6G3GPVCOFFPG5X5O4A/?view=visitor,39057,324,167,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWODG73SLTBUQIVL4EU7E4YKPHQ/?view=visitor,179183,86,178,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOAXDCLPEXS7YL3OEYR35XTKPMA/?view=visitor,85923,115,120,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNYQR4DOVADYXKBYCFUN3LHL7ZA/?view=visitor,1724030,9,34,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7ZJ7XMCMONP2MM2MNC7QGLA7PA/?view=visitor,539871,33,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOEYEAUF6WY7FD6FIFEZ3ARDIFQ/?view=visitor,892760,24,57,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOPLXWI2KTBJASPPXUNVMHXUNJQ/?view=visitor,2507867,6,28,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWU52YFRJ6KM4PAHAB4ADBCDG6Q/?view=visitor,880157,73,234,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJUO5VVT6YVYRKYOD22BOCDL7LQ/?view=visitor,1416302,100,74,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3DC4EQGNCIUGMOHWEYX2KMMTIA/?view=visitor,578582,31,133,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCPS3TMXJRIPU2JGVJVYDW263AQ/?view=visitor,2604169,7,66,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNS2L263DN2GKBBKM56SMPNUNTA/?view=visitor,40739,205,109,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIEYJYOIG7SQSUZWFLCVYHHS4XA/?view=visitor,1014689,11,44,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZGI4P5BH45K4E6SQLXSZJPNRJQ/?view=visitor,432553,62,194,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMJ2HVBKROHBFGPFJSOTXMWZE2Q/?view=visitor,919384,44,69,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEPWBAIRVPDOLSVOIKTCNQ7W3JQ/?view=visitor,941773,12,78,Public
