page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AGN6M6UUM6VCMDQH7NJXPNDSCLEA/?view=visitor,36041,444,85,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKKH6JSYL6GCKJWFOC3WVYHK7ZQ/?view=visitor,1698237,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKP6ICU44RCPL4FWK4HATZYXZYA/?view=visitor,251974,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRKLQKMCBGZPJT3352XMRQIMIOQ/?view=visitor,152846,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNOQM2FVCEVGZHACDERCOWQ2GMQ/?view=visitor,656377,91,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDITLEMTV62X2LU3NNR26EAV3AA/?view=visitor,308890,175,74,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFD7KSXTDPGICTEDXWVVLRKB7AYA/?view=visitor,1788838,82,16,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFX3WIA2EIVAX6PXOBF2NQI7B7CA/?view=visitor,518146,118,29,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGOF76GLVEN57QH4MO3C6COTFGA/?view=visitor,111789,254,182,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AETKCZ33SY2J7TEA3P7BTQNTI3IA/?view=visitor,1465011,72,28,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2CBTSOPZ7RU7LCZP4LHSDPYCBQ/?view=visitor,1079538,79,42,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHF25SCUSEQAW3GV2UOH7C5QA4MQ/?view=visitor,2399,2224,3050,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMLRBF6QQ3F6ULTSM75FR2I2D3Q/?view=visitor,3837534,60,23,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXKNW6BXCD7KMESTTBIAPESKV4Q/?view=visitor,2025210,163,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLRA7GSFSE2OMD77A2TWP4U2WPQ/?view=visitor,366204,250,93,Public
