page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBMZFQAATLK7JMHCXXIY4S53SOQ/?view=visitor,302683,97,41,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFIRAEA2RXTCGPXKABG6QBNCE2A/?view=visitor,70919,210,125,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMWOWZULPVNGMYCM2VU63NI7L5A/?view=visitor,6089968,26,11,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFUNTJPLD2IY6JZXFFOAUKHDC4FA/?view=visitor,563942,169,15,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTMGTCCD2F45YP7J7TWBUEDFQYA/?view=visitor,2678,1099,398,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFW5ML5HHJ4USW4TUIK547NIZ2TQ/?view=visitor,10291,533,287,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNSPBV7PHDGBA5BA4ZGEJNAF7CQ/?view=visitor,160,14126,5653,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTQE7QMBHZX2G4A7C344GQQMRZA/?view=visitor,3068725,101,40,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMYJ6PK472IOIXEPEY7CDVPUUKA/?view=visitor,24515,164,205,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCVBF3JHW2FAVMPACT2NRESLLWA/?view=visitor,1375508,28,47,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSJTPGMJMSCYG37O5WCR3RIGBOQ/?view=visitor,1011395,42,102,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3IKQOBNYACMKNSDZ4L2FR2UW5A/?view=visitor,579813,42,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDDCJSDB3MJET7FE3LS5JZLXT5A/?view=visitor,125878,150,211,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIFYL63WU5TMXQBM2PGHSM4ZIMQ/?view=visitor,566246,18,28,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBGV63PYLULYOIJWEW52V2OOSYA/?view=visitor,47558,351,217,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMH34JNMSDODYRIDAJQAUHFPJWQ/?view=visitor,2962579,158,120,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJF4F43CQM4IOENRKTP6ZSOWQSA/?view=visitor,124950,120,38,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFG667OLLUYVPJJLG3CMF66FYI2Q/?view=visitor,4,23527,3975,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMP7K53MU6BSMXZOKTH5XDLMWMA/?view=visitor,187415,188,67,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQMGLBTNC2XGZBHWUXJEGJEJTJQ/?view=visitor,3079730,12,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE76N7K4WBP7IMCCKX6EDN24N2CA/?view=visitor,196471,66,65,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWLU2RYONIAZY3O7MCULXTSLCDA/?view=visitor,92648,342,498,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH53BTRILJ2TXWMLGYP673KR6FQA/?view=visitor,623352,36,118,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJCTPF2KPDPQFRD7GZJDOWYGW5Q/?view=visitor,1871945,4,62,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZ2YRDTSKN2YIKYTLTKMZQT5I4Q/?view=visitor,2103379,28,58,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6UNT42BQXORCTB7TSKYRAKUZMQ/?view=visitor,3477,1739,204,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGOWZQU2INBHNTWTYWTR2FIRXVBA/?view=visitor,4521457,10,34,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKWKJDSIBSD6T3GNFDYPD3RPBOQ/?view=visitor,164411,131,79,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLQKVM2ZXHZCVUPSLHPYTDV6RXQ/?view=visitor,25948,256,295,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDZAUDE7LCAMTOAK2USMDTH7MBA/?view=visitor,5028583,1,32,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGPG3ZSFDPKEYBCB742QCIE2SX6A/?view=visitor,84289046,22,173,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHADZ27QOD4P2KCH7TCX5F3FPBA/?view=visitor,2939409,2,51,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6XOCYAHJEROXBHVSQF5RROPVWQ/?view=visitor,11478760,3,12,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFE34UVGFRALFOQHOWGOI7XVDLJA/?view=visitor,2350231,23,5,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGN464PMXERWQYCATBHSPAQTMFUA/?view=visitor,341425,36,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFY3OFUOQN7UF65WWARGWTKQ7LRQ/?view=visitor,165907,99,112,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYI4ZY7D3KDDKHWJVDWEF6MIRXQ/?view=visitor,3145098,10,22,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEGJUYLQ33YRTQUTCMCJNFRQ7SMQ/?view=visitor,58139,93,298,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEA3QMP6TVYDZDOH7ASVKPPCBSGA/?view=visitor,123815,98,328,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEA6B62BATQQXNS44UKWE76OYBIQ/?view=visitor,1012768,21,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWN7HDRKZUTCLTEW6QCXGXEZTSQ/?view=visitor,643229,28,74,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3X43JF5WNMXI4MPRLHKCGJ7WMQ/?view=visitor,227897,67,109,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFCBN3HRL3ICU56QO4V3N32JVOQ/?view=visitor,715,11632,1956,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWNWZGUZCTTTWQ5P4463SVYOCJQ/?view=visitor,2008635,182,103,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLPRZG4DSWVEOIG725ESKTAOIKA/?view=visitor,8612128,11,32,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXBHEGM4BEIHYXHWKZSV3CMMZWA/?view=visitor,11673,740,506,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF74ZQHXZXN2B2H4OVZMR2657EYQ/?view=visitor,1664321,47,95,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGISP3SHQ44QB7FHL6PL77OLWRWQ/?view=visitor,10369385,1,8,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPLUERKFDLSSVGXD63NDCHSRKGA/?view=visitor,564437,21,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUJNBRP63SAMZQXTSJ2R3JJKHXA/?view=visitor,22579,525,1187,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHYENLSLZMGATWSVOL2PW5PVDSQ/?view=visitor,118050,255,295,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMB5IMYBYJJIQLJZ2IBQ2PQBNMQ/?view=visitor,1124424,42,198,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTOOTWRE6X3HN6N7ZMIT32KIKUA/?view=visitor,237400,107,50,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEETGSOT36P6AFQGNUQHNYMJFF3A/?view=visitor,2457349,61,80,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHL45BVAKT7AIIGTI6LMFZHD22WQ/?view=visitor,739255,48,101,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZII7XRYDR7FCOSB5CROQTW7EVA/?view=visitor,608246,246,344,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHPECNZC3ATTK6ET2ABPJQMIIPGA/?view=visitor,106546,111,228,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHEKF7ALPP4RWWMYMX6V4ASQ3DXQ/?view=visitor,78810,6,49,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKFBX7OQFQ5HWZCXN2UNV5XVSEA/?view=visitor,3542928,61,232,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTAW7JE2XCZGOWTH5GRUE6UJ2ZA/?view=visitor,459573,5,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AELIXQAMQQY36ILRAUBC6TZDGYDA/?view=visitor,11848959,100,284,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFK4JUPXWBHPRI5IRVNQGFAH27MQ/?view=visitor,74901,195,288,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AERKSE4BFPFJSOZ2PWKIEGAMCCGA/?view=visitor,106143,24,167,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAJUPYZMRWTBUJ2FUI77YJCIGPQ/?view=visitor,1194743,73,214,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIGN4UTM5HLBEK72P5EEDSFEN6Q/?view=visitor,111987,207,196,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKR4KSKUY5ATLBRFCITQ7XWKOQQ/?view=visitor,55705,29,31,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIRZVLFDZQBJKG5Q7U6PHHWBCNA/?view=visitor,629092,147,241,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEW5ESL7UJYS75FUIWDD72HX5BSQ/?view=visitor,60011,12,75,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRTZHHWC5XHPZPZ5ACTTKGSSSQA/?view=visitor,84129951,22,177,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGX3KCVBWJWYYX7FRCTMJ3O7E4QA/?view=visitor,3621207,101,356,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHC76OXDHGCSLLBDE6JAT6P6P4DQ/?view=visitor,84009370,19,114,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHP5HM52XW36LDURG5YPZVR2CVYQ/?view=visitor,156495,119,149,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFO7WIOVMFY6FTKFFDNX2RV3WTEA/?view=visitor,673776,10,66,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIN5UKYTX4QADDTN4GGL6MG77JQ/?view=visitor,2045618,17,21,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYJAOBMYNSHHBOTQPJKGPBX6O4A/?view=visitor,8025608,7,56,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWU7TJIS7OIOLNO5L7LGQD5VBFA/?view=visitor,3578828,170,404,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNX5MEZFATHGHRSUJM7IVXVYQRQ/?view=visitor,23926,74,84,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFUXEG2OYZPFDEY6R35TUKJSZFQ/?view=visitor,719838,43,53,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMNEY2POEOQLNPZJ6RSZNF6JFWA/?view=visitor,1845001,20,22,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKYDCV6XO23SNUZEHQZ4IXE5DJA/?view=visitor,84398619,109,349,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLI5C2LUH6RNKPJK65UU7NCQ3FA/?view=visitor,1492923,36,138,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFERWI232BWTRB2NEK2V7DV4GZEA/?view=visitor,279875,27,198,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCNWAL4EVQ5DXBC3BNAMNVL2XNQ/?view=visitor,422410,102,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZXR45XNYI64JVHO47HQUWUZUVQ/?view=visitor,313235,44,99,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMESMJHIJWP6XRXDFYZ5XGADHEQ/?view=visitor,395749,18,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGO6RXKQMV44MDEVCDOTVBYM7AQ/?view=visitor,963489,256,256,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN4FCUQ3JVHKWB4MDPLHLUIQAFA/?view=visitor,21551,95,153,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRKHSQCC2JTQ75WVSUKLDW4E7BA/?view=visitor,84086,95,169,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEM3LFLQ6SWI463N7LNGY3B4NNXA/?view=visitor,394457,1,44,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHM5LSTDPRN7ZHK6KCPNNTXPZTHQ/?view=visitor,2368216,38,59,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBXJRP4COCKP22LPKUDVCQ7JKVQ/?view=visitor,1242,2061,1230,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUT3ZUIPO54EKGRW2ZHZ63VZ4FA/?view=visitor,84112066,132,126,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOA6CMYKT24DIJM4G676YLTQCDA/?view=visitor,160767,56,130,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBURCXYWTUW54SHIEUUVY2Q742Q/?view=visitor,1193245,15,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF45UAMGDDJSYTHHUZGDATMSCUMQ/?view=visitor,5267410,1,17,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFL6U3TOW3NTB3C5PF4RVB6OLYPA/?view=visitor,4456462,43,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHCK2ZKIZP4EIVHP4XIVUDN2S6Q/?view=visitor,1917222,55,81,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2ECRD2LIRWGRNIDQB37ORRHTDQ/?view=visitor,1916026,14,43,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5RKE2RXKOOSRMSLK6O7JV2FU3A/?view=visitor,305016,22,324,Public
