helpful_votes,page_url,total_review,visibility_status
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH45JEP3HAE4Z4EDMHMPI34ORGXQ/,37,Public
270,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4GPW6YWIK4PMX32RVMYVBWUS4A/,47,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF625PBVMMD3YHNMIPWSEDBPMMKQ/,56,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEAUCYAHJZET43LPACYXGKMPOBQ/,14,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOHT6RSCKCXAFAK4UBSKU64JRWA/,13,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMHWXG7HOXXKQKXBV4LJQIQNO5A/,11,Public
302,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHELJMJ4PE7SLXGFX37X5XRRDYMQ/,106,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDVKR2LQDY3M4HWIB3ITJTOTNBA/,90,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6P6D4WWUU7W2PTTVFX36L5NM3A/,2,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6MPXXYSNKSO75CYITGU67WSR2A/,110,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCAVULCYKY4YS3GULPSEBQBJEPQ/,208,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC4DNPI4VQEEVUM5TLVX4GICJLA/,1,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIWNQEBBWHG4M4REUDG55OR324A/,1,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJTRBXMURLHS5EGNXLUHDHIZRFQ/,58,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI4MPOMTELT5WS6L6ODYC5H6A5Q/,43,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDIP4KI52JK4QP7JUSP2MC2CZ6Q/,46,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3ZPQZI4KUSIEJXETZ2Z5KD6Q5Q/,33,Public
497,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUMPDGZFIB72BPLZDXFT35USI7A/,221,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3LTSVMGGL5FCYLSCWNMK63APRA/,11,Public
287,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEDMKBRXOU627WE3PUHOC44PFWA/,264,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBEWRGEESJLBVVYUSJFZP3YJTPQ/,69,Public
367,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQFRNPHC2GCP245ULOT5G4EZN5Q/,247,Public
109,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEM2ER3NIS7AUO7WCIA3TSFAT63Q/,32,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWFSQZM2OWMMSEDEECGIMDX3RJA/,24,Public
"10,693",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLF3H7O2PUJCERQI4557MCJRCAQ/,"6,954",Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4ABIUV7CI6NPH44GSQJUUHHR4Q/,130,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AED6QTUVRFPUZU4XINN3MRFSYLBQ/,25,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBLFVCCKQEV7ZETXW2VRM5AR42Q/,21,Public
"23,533",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZBBV2MRJCHH6OKJJWMPMGLTJ3A/,"2,092",Public
774,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSPVVKIYJCR5RHEIHO6VVS66ONQ/,257,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJXVGZYDTBWQMEZSSJLKBMQAPOQ/,42,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQTFW5QYSFQE75YQOVCQ7YHC2GA/,3,Public
