page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AH45JEP3HAE4Z4EDMHMPI34ORGXQ/?view=visitor,210682,81,37,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4GPW6YWIK4PMX32RVMYVBWUS4A/?view=visitor,410638,270,47,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF625PBVMMD3YHNMIPWSEDBPMMKQ/?view=visitor,446725,93,56,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEAUCYAHJZET43LPACYXGKMPOBQ/?view=visitor,1481020,67,14,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGOHT6RSCKCXAFAK4UBSKU64JRWA/?view=visitor,1939951,58,13,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMHWXG7HOXXKQKXBV4LJQIQNO5A/?view=visitor,2773378,43,11,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHELJMJ4PE7SLXGFX37X5XRRDYMQ/?view=visitor,475220,302,106,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDVKR2LQDY3M4HWIB3ITJTOTNBA/?view=visitor,495213,106,90,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6P6D4WWUU7W2PTTVFX36L5NM3A/?view=visitor,7131864,15,2,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6MPXXYSNKSO75CYITGU67WSR2A/?view=visitor,125598,82,110,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCAVULCYKY4YS3GULPSEBQBJEPQ/?view=visitor,103730,211,208,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEC4DNPI4VQEEVUM5TLVX4GICJLA/?view=visitor,25936028,20,1,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHIWNQEBBWHG4M4REUDG55OR324A/?view=visitor,12654510,6,1,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJTRBXMURLHS5EGNXLUHDHIZRFQ/?view=visitor,154516,106,58,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGI4MPOMTELT5WS6L6ODYC5H6A5Q/?view=visitor,2065465,30,43,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDIP4KI52JK4QP7JUSP2MC2CZ6Q/?view=visitor,2202537,59,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3ZPQZI4KUSIEJXETZ2Z5KD6Q5Q/?view=visitor,987681,27,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUMPDGZFIB72BPLZDXFT35USI7A/?view=visitor,28420,497,221,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3LTSVMGGL5FCYLSCWNMK63APRA/?view=visitor,5664280,7,11,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHEDMKBRXOU627WE3PUHOC44PFWA/?view=visitor,56620,287,264,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBEWRGEESJLBVVYUSJFZP3YJTPQ/?view=visitor,579995,20,69,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQFRNPHC2GCP245ULOT5G4EZN5Q/?view=visitor,19765,367,247,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEM2ER3NIS7AUO7WCIA3TSFAT63Q/?view=visitor,145923,109,32,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWFSQZM2OWMMSEDEECGIMDX3RJA/?view=visitor,910688,52,24,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLF3H7O2PUJCERQI4557MCJRCAQ/?view=visitor,460,10693,6954,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4ABIUV7CI6NPH44GSQJUUHHR4Q/?view=visitor,508505,35,130,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AED6QTUVRFPUZU4XINN3MRFSYLBQ/?view=visitor,1223500,12,25,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBLFVCCKQEV7ZETXW2VRM5AR42Q/?view=visitor,7252701,3,21,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZBBV2MRJCHH6OKJJWMPMGLTJ3A/?view=visitor,61,23533,2092,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSPVVKIYJCR5RHEIHO6VVS66ONQ/?view=visitor,112644,774,257,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJXVGZYDTBWQMEZSSJLKBMQAPOQ/?view=visitor,1181881,12,42,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQTFW5QYSFQE75YQOVCQ7YHC2GA/?view=visitor,34550515,1,3,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFA7MYUMYKCPOXPGX6AVTMACX6KA/?view=visitor,2584388,88,42,Public
