helpful_votes,page_url,total_review,visibility_status
152,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKJZ4IPIKVEHOGWF4HGTPPEPSQA/,140,Public
454,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJDMFNTNHAXSOEFQTYJBZ3GC3JA/,508,Public
222,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEJ525BL7V2HPSE2B3PZT6HCQBQ/,358,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERQXSCVV26P6LJJKNBGY4SHOWVQ/,37,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHW2CP65AIVXKGQPKYBYZCG4EPKQ/,22,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGXLNMFBDSAUVCOTQFKBHZZMNFA/,143,Public
289,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV3IIAWWDHQLKCRDRIFESOGFPPA/,108,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVCPOUSAAHGUE6TUS3H2AT47EOA/,61,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMOWN5XO6AOXSBICJY7JIBBO3PQ/,57,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHU3ROQXDZVSC76IB4V5V42UHCTQ/,62,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESOOM24OB6YTYKZ5FJE6UCKLQ6A/,90,Public
84,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTO23VBN6PF7VANXJ4C32AYRIHA/,140,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYF3JWOZ4JYSBNRWFTYNHOMCGLQ/,310,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI4JBA5CEE2JJBXEK5WYXMERVFQ/,64,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJTZ2UECEV664RH4X2L3YIP4YIA/,26,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERHW4VVNBXYYRYNC2QNKVMOWSBA/,122,Public
147,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2BAZJ236TJLOXO2KP25QETWF4Q/,192,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3IDLS7PGBE77CLQ7WTINM4OSYA/,23,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPOUQSVTY6Q2TTXZGAFWHNBTKIQ/,15,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEHDQQ6A74GNP2L6TIVYBPLB7VQ/,4,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBUY32KBSKL4RFWQESFSHMDDMKA/,48,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5GHAOSEKG42JJNUKRIVILVWTNA/,94,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOEVZGOFJN7W6ECMS6X4DK7XVQA/,45,Public
