helpful_votes,ids,total_review,visibility_status
,,,
917,amzn1.account.AGIKTC7KQ3FBPE2MRMNS2ABAMWXA/,7,Public
35,amzn1.account.AFSTCZSXIAGNU7E473PB3T7VGDVQ/,12,Public
"8,193",amzn1.account.AGR2Z3YZ2QQKX6I3YSGXSUXXWIUQ/,"1,054",Public
,,,
758,amzn1.account.AHODPKF6S5AJS7WK7SFDRXMKP2EQ/,24,Public
212,amzn1.account.AHXVEINVDUO3UY6WTOP3QQU3LJNA/,20,Public
"2,853",amzn1.account.AHYZMKPCW4HUBP7TZOUUAVYMMR5Q/,2,Public
682,amzn1.account.AER2WPLYMGKLYAVCU52FLA7VLGSQ/,163,Public
7,amzn1.account.AF473V2Y3YJMVYUXBZLBR62YTH7A/,11,Public
21,amzn1.account.AHGQ3VXMS53MZGFI3LPSHH2X6ECA/,20,Public
,,,
"1,367",amzn1.account.AENKN5OIN4PD77F5VUY67EZCA7WA/,218,Public
,,,
272,amzn1.account.AG6FO4B4KWRXRMWCST6FIEFK6IOA/,83,Public
401,amzn1.account.AH7X5DOK57CVWZXLCUE6GQ6MP5IA/,50,Public
61,amzn1.account.AFAUDDVIC2KBILTRISRGILEVJFJQ/,48,Public
234,amzn1.account.AG23RS5EK77WRFM6J5AUWQL7IOYQ/,60,Public
8,amzn1.account.AGI5DO432RAUEGR2QSVTTOAUDACQ/,17,Public
,,,
,,,
29,amzn1.account.AG7STFRT2HCT2ECWEMI35DBZXD3Q/,30,Public
175,amzn1.account.AF2LWRNARDOAS4LEP6O6TJ3TD5EQ/,58,Public
152,amzn1.account.AFLY6APTL6FWWJPURP5DPATM5HCQ/,75,Public
777,amzn1.account.AEUQR7236PJT2D5SVWBJS5RELYBA/,132,Public
35,amzn1.account.AHXB4YMFJSFGHVJIWC7LUWWKJB3Q/,49,Public
"1,178",amzn1.account.AFIYDQTMMA6UX7LRLB65FSXDUYRQ/,31,Public
,,,
15,amzn1.account.AEVB7ZOI3PNNTRG45RFN4ATOQERA/,5,Public
,,,
140,amzn1.account.AFGN4EKYE4GD3URFYENR6XHILQWA/,7,Public
,,,
39,amzn1.account.AHV35ISYYDXR74BZR63ZYIWN4NUA/,24,Public
,,,
,,,
,,,
517,amzn1.account.AEUDLBSVLYFBH4VADYETHKXSATHA/,129,Public
476,amzn1.account.AGB46RFQVJVDKIZU7KG6X6QAHEVA/,183,Public
479,amzn1.account.AEVDISINZJ4ZY2ERMMV2AXIDW4MA/,134,Public
,,,
,,,
518,amzn1.account.AGNKAU3YBJNB3LYEPZ6PA3GFS7PA/,151,Public
,,,
807,amzn1.account.AH32YUMQ7SG2AW3BL4FDCMYBVCRA/,193,Public
20,amzn1.account.AHRYMAM5QVDEHGLLHUOOQNOHFKJQ/,28,Public
,,,
72,amzn1.account.AFRW4JPOROGY5EB2HRRNFSLFHBUA/,41,Public
,,,
15,amzn1.account.AF3KJYZUS67R3ABRH3KDDNA2IG3A/,23,Public
,,,
,,,
,,,
,,,
23,amzn1.account.AG6GHNIZYADEW6LOYO76N6LMSHQA/,29,Public
,,,
,,,
46,amzn1.account.AERPSNRZFDFYBIUIGR5BDEB4L5LA/,50,Public
13,amzn1.account.AFRUGE4PARFP43RK3SHA6AUM5G5A/,53,Public
471,amzn1.account.AG6UEC7CDD5JQ7ES6ULPWRO6H3CA/,236,Public
,,,
6,amzn1.account.AE6DDNKFSEVBITPJ3WD3YHUNDEEA/,39,Public
13,amzn1.account.AGLHFPFVZVHSUBHRR66WC73CYITQ/,43,Public
,,,
133,amzn1.account.AE376YWMZIVF3KRAFE2S2IQZE2QQ/,116,Public
102,amzn1.account.AFE4AO3BNETVSO4DCXC4QLIQMRDQ/,211,Public
9,amzn1.account.AFLEWXM6KN2UCJ2BX3NR6H5N445A/,15,Public
90,amzn1.account.AHMIZUA67JYZDNXESP32LFFUW7QA/,87,Public
,,,
"2,283",amzn1.account.AGGY6C2RSLNRJKDSIBZBJVNHPH3A/,544,Public
,,,
,,,
58,amzn1.account.AF6XHMUF2IROEUOEFU72ODW3TIPA/,101,Public
485,amzn1.account.AE5H65NE6MBXYQXWXCJMIEY3T66Q/,23,Public
5,amzn1.account.AG76FVT55LGGLIFTEKMAZVRUQ76Q/,10,Public
