page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AGXYHIQNJHFHOZ5IGV3SV6T42WHQ/?view=visitor,2188140,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIYDQTMMA6UX7LRLB65FSXDUYRQ/?view=visitor,481074,917,7,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGR2Z3YZ2QQKX6I3YSGXSUXXWIUQ/?view=visitor,87,35,12,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZGBR43MIEXHEIQ2KUYPJ5BMEVQ/?view=visitor,1895361,8193,1054,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE5NJOOJFMYL6Q3EBGZX5WT2GDOA/?view=visitor,210478,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNKAU3YBJNB3LYEPZ6PA3GFS7PA/?view=visitor,23284,758,24,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXF77CU5CLYDQIOXCKIKYPIUO3Q/?view=visitor,791099,212,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AER2WPLYMGKLYAVCU52FLA7VLGSQ/?view=visitor,43983,2853,2,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFGN4EKYE4GD3URFYENR6XHILQWA/?view=visitor,2038023,682,163,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHODPKF6S5AJS7WK7SFDRXMKP2EQ/?view=visitor,473901,7,11,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG6FO4B4KWRXRMWCST6FIEFK6IOA/?view=visitor,80571,21,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXVEINVDUO3UY6WTOP3QQU3LJNA/?view=visitor,4114800,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIKTC7KQ3FBPE2MRMNS2ABAMWXA/?view=visitor,2894268,1367,218,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHB4E5UZDRFG2UL3SQXYVXD7OB6A/?view=visitor,368171,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AGB46RFQVJVDKIZU7KG6X6QAHEVA/?view=visitor,54527,272,83,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG23RS5EK77WRFM6J5AUWQL7IOYQ/?view=visitor,456814,401,50,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAUDDVIC2KBILTRISRGILEVJFJQ/?view=visitor,4264777,61,48,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AERYKLOOQJE4SMJ4UB6O4EFFKKZA/?view=visitor,1298328,234,60,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIWLGED2W4NIY3OC6CQ4BQ53TSA/?view=visitor,611848,8,17,Public
