page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFH7K5KVYRXWANHRPKYA2LVIC4Q/?view=visitor,51571,24,9,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHENALE25EXP3M7QWZRXIYKTTFPQ/?view=visitor,5231,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AEVXNLWQPXJH6BJ2552C7MD63NJQ/?view=visitor,1096727,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AESHVR6DTS3JFHGSCAQJ7FN4PGKQ/?view=visitor,62619,673,142,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHPPMPDBAKKYM4Z4YKHJFEJQAVDA/?view=visitor,1084213,308,87,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAFAGZIRXWGBVCE5HALNOJD6XFQ/?view=visitor,1059990,98,36,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGL55FZ4FXSIIYRT56C6AXVRC5TA/?view=visitor,1429998,124,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHR3CRYNY7BXETEWC6HTKG2LO6Q/?view=visitor,233594,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AECMUDGZ4JUIHFSC5NY2QGEAWWTA/?view=visitor,1542008,314,107,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHP7ZZUCACCPTC6W7K7CZXGQM2BQ/?view=visitor,5544240,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWZT7RIZBZ7BGWGT6UXRPJASG6Q/?view=visitor,107890,2425,525,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJCXEAVVR53NACAOW5J6U3AGCIQ/?view=visitor,190806,662,329,Public
,,704,65,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCQBRNVWETPBAF4O5G3VWG2PTZQ/?view=visitor,192018,98,31,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDES2PXUYNDMKMI4YWGWYWDZXFA/?view=visitor,8245427,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXMGZ436CRN7ZBYNHHMIS2NLV4Q/?view=visitor,1028961,279,66,Public
