author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,ranking,helpful_votes,total_review,visibility_status
Wiley,/gp/profile/amzn1.account.AHENALE25EXP3M7QWZRXIYKTTFPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 19, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I've now had a chance to see a neighbors hose with 6 months of typical use around his house. The hose had changed from day-glow green, to a muddy, black-spotted, moldy mess that rubs off on your hands. I initially missed the critical reviews that provided pictures and accurate descriptions of what I would have experienced in a few months. Additionally, I understand that the warranty for the hose will not be honored by the manufacturer if a claim is made because of the mold. Amazon needs to assess it's customers' experience with this product and the manufacturer's total lack of transparency about the mold issue.",This hose has a BIG problem that is not being addressed by the manufacturer,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",371 people found this helpful,,,51571,24,9,Public
confirmed purchaser,/gp/profile/amzn1.account.AFQW6RHGYKCRDCZLWDD6KE6JJN4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2018",1,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I almost never post reviews. Like many frequent Amazon buyers  I have to be either especially happy or unhappy to take the time to do so and there have been very few such cases. This is one of the latter.From the time I put this hose into service it seemed that my water pressure and the amount of water I was getting was much less than I had been getting from my last hose of the same dimension (nominally 5/8"" x 100'). I was at a loss to understand why, but this is a big problem for us as our water pressure is marginal to start with. When I took the hose off my hose reel to investigate I thought I found the answer. In order to attach their ""Exclusive SwivelGrip Action"" connector Flexzilla relies on an inside piece to hold the connector in place while allowing it to swivel. As you can see from the photo, this inside piece reduces the actual inside diameter from the advertised 5/8"" (which the hose I'm sure does meet) to approximately 3/8"" for the entire ""hose system"", thus significantly reducing the capacity of the hose and making it entirely useless for me.I called Legacy Manufacturing, the company which makes Flexzilla hoses and described this situation to the Customer Service person I talked to and to a technical support person they referred me to. Neither was familiar with this issue, although the tech support person thought it might have to do with the material they use to make their connectors. But whether it would impact flow rates or pressure, he had no idea. But he said he would check with someone more senior and have someone else call me. No one ever called.I've now replaced the hose with one that was half the price and will either be giving this away to someone with much better water pressure or simply throwing it away. But if you NEED a 5/8"" hose THIS HOSE IS NOT FOR YOU!","This hose functions more like a 3/8"" hose than the 5/8"" hose it claims to be!","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",267 people found this helpful,,,5231,,,
James McCloud,/gp/profile/amzn1.account.AHHR3CRYNY7BXETEWC6HTKG2LO6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"NOW THIS IS A 5 STAR PRODUCT!!!! You shouldnt take the bad reviews to heart to much like i did which caused me a bunch of wasted time cause I debated on buying this 50ft swivel grip hose for months now due to the higher price and the handful of negative 1 star reviews I've looked over so many times wondering, but finally decided to pull the trigger and spend the extra cash to get it. For me it was worth every penny and I don't say that much about stuff!!! I have to admit I'm very surprised with this wonderful thought and made hose! And so happy I bought it. I have no idea where all the 1 and 2 or even 3 star review's came from because I have not experienced or noticed any of them problems and suspect some of them may be due to either not knowing what they were doing or just bad luck but my hose as of now is 100% perfect!!! Knock on wood lol...I didn't even experience any trouble unrolling the first time, I mean sure it tried to twist a few times but using the grips the hose spun right into shape and didn't slow it down a bit and that was before it had pressure! After hooking up to faucet I was amazed how nice the grips made it in tightening onto spicket or faucet and also installing sprayer end. They don't seem to cheaply made to me like I read and work awesome. I can cracking them by over tightening them like all plastic ends would do but these are thicker then others I've seen! Also I can just walk anywhere with hose following behind and not twisting or kinking at all. Simply amazing just like their air hose I've had for years!!! I'll keep an udate going as the next few weeks to a month pass by as I will have this in my hand at least twice a day this summer plus the wife kids will be using it also. But right now I'm extremely happy and seems to be well worth the money,and if all stays good will be buying a couple more for the rest the propertyUPDATE 5/14/19: This hose is still my best hose I've ever owned and it's still held up with rough use and not stored in the Indiana winter. Didn't bust, crack, leak or anything and I'm back to daily use again. It's never kinked on me, never leaked and is just an amazing hose. Imy ordering 2 more just like it later this week! So my advice is to buy it if u need something reliable and unbreakable!!!",Best Garden Hose out there!!! Swivel grips make all the difference!!!,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",104 people found this helpful,,,1096727,,,
Andy,/gp/profile/amzn1.account.AECMUDGZ4JUIHFSC5NY2QGEAWWTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I really wanted to like my new hose.  It seemed really cool, lightweight, and different than any hose I've ever had prior.  That's about the extent of it.  This leaked from the swivel grip the first time i tightened it to my hose bib. I've tried Teflon tape for the threads even and its leaking below that - where the hose connects hose end at the swivel. I'm left wondering why this hose is so expensive when its really this terrible - i could have spent half as much and been less disappointed.","Very expensive, and i'm not sure why! Leaked immediately.","Size: 5/8"" (inches) x 25' (feet)Style: HoseVerified Purchase",110 people found this helpful,,,62619,673,142,Public
KMP,/gp/profile/amzn1.account.AFFH7K5KVYRXWANHRPKYA2LVIC4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 25, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"It's a lot of money...it is...and you're wondering if it's worth the investment. Well...it is. My first week of using it I must have said to my husband ""I'm so glad we got this"" a hundred times, because it's made my life so much easier. I wear my baby on my back in the baby carrier whilst I water and garden, so I can't carry the weight of him and a standard hose that weighs a million pounds. So I got this zilla hose and it's super light...like crazy light for a 100ft hose. It wraps so easily,  the swively nozzles are amazing, the connections are well made and don't leak...and we've put it through some tough yard abuse and it's held up great so far. My mom just bought a wannabe version of this hose and it's so cheap and pathetic. Spend the money.  Get the hose. Also...the people complaining about it coming out of the box tangled...:::facepalm::: honestly. All you gotta do is just take it out by length. It straightens out fine, and perfectly when water is in it. It's not complicated people.",Love it...freals.,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",72 people found this helpful,,,1084213,308,87,Public
Bruce Labitt,/gp/profile/amzn1.account.AFGH2WQ7K5VJ2N2RIZ3OKJD5ILLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2019",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I bought this to replace an aging hose on a hose reel..  The cheap vinyl hose had oozed plasticizer onto the reel. This gunk took a long time to scrape off and clean.  I thought this hose would be a decent replacement.  I was wrong.Although this is marketed as a 5/8"" hose, the female end of the hose is restricted to 0.432"", as measured by a Starrett dial vernier caliper.  (Measured in both x and y axis)  This is really small in diameter.  Actually, the area of the hose is 2.09 times bigger than the area of the restriction.  Yes, that means the area of the restriction is less than 1/2 of the main hose.  Come on, Flexilla, you can do better than that!For me this means that a standard spring meant for a rotating hose reel which is 0.450"" in diameter cannot be used.  The spring is to prevent the hose from collapsing when it makes a tight radius turn in the hose reel.  The spring cannot fit through the restriction.  The hose is not fit for the purpose that I bought it for.  I suppose I could cut off the end and put on a ""real"" hose end.  On a brand new hose?  Kind of crappy to have to fix a design defect on a new product.You would think buying a hose would be easy.  I never even thought I'd have to watch out for ""cheating"" undersized hose ends.  Just looking at a few descriptions of hoses, they never mention hose end diameters, either here on Amazon, or elsewhere.  Why is that?  THAT'S BECAUSE THE HOSE ENDS ARE SUPPOSED TO BE THE SAME DIAMETER AS THE HOSE!  Or at least close.  0.430"" is a long way from 0.625"", the specified ID.  Even the cheapo drain hose that I bought for a dehumidifier measures 0.530"" on a rated 1/2"" ID hose hose.  Flexilla is just trying to save a buck and foisting inferior and substandard product to unsuspecting buyers.Not recommended.",Hose end design is undersized can't use anti-kink spring in hose reel,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",36 people found this helpful,,,1059990,98,36,Public
L. Mckee,/gp/profile/amzn1.account.AGIXRGUOVYOTX5FTECCIOMULOZTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Hose fell apart on the faucet side after only a few uses. Past the normal return date cause with all the rain we've had, haven't had to use it much. Amazon did make an exception for this hose though. I just wouldn't expect a $37 hose to fall apart so easily.8/162018 Update - Second hose fell apart. What a terrible waste of money and Amazon won't take this one back. You DON'T get what you pay for here.",Fragile,"Size: 5/8"" (inches) x 25' (feet)Style: HoseVerified Purchase",46 people found this helpful,,,1429998,124,20,Public
zdog,/gp/profile/amzn1.account.AEU76XKHYBK4I4Y5QBNZ6CVQNHCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 12, 2019",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I use these for watering with a traveling sprinkler. The light weight and flexibility make them excellent for this purpose. Their strength is adequate for sustaining the pressure when the sprinklers automatically shut off.But, the hoses come with aluminum ends. The aluminum ends corrode to brass fittings on your sprinklers and to the hose bibs on your house. This requires replacement of the hose bibs (aka plumbing bill) on your house. If you are lucky you can remove them with a die grinder, hammer and chisel. In order to prevent this, one must remove the aluminum ends and replace them with plastic or brass ones. The manufacturer should equip these excellent hoses with brass ends instead of the CHEAP aluminum ones.",CAUTION CAUTION CAUTION CAUTION,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",18 people found this helpful,,,233594,,,
Grohappy,/gp/profile/amzn1.account.AEVXNLWQPXJH6BJ2552C7MD63NJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 17, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"After only a few months of service, the grip end popped off, rendering the hose useless and releasing gallons of water. What a disappointment because I really liked this flexible hose despite its relative expensiveness. I now won’t be able to trust my remaining Flexilla hoses and regret my investment in them.",Untrustworthy connector,"Size: 5/8"" (inches) x 25' (feet)Style: HoseVerified Purchase",33 people found this helpful,,,1542008,314,107,Public
Mamma Manda,/gp/profile/amzn1.account.AFB3KH4ZJDZRVGGOBRGYN5AKV4QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2019",4,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"So let’s just say unboxing this thing was a beast.  It appears this hose is very prone to being knotted! I did get the hundred foot length, which makes it harder, but there was so many tangles and kinks everywhere!  I also will admit that in the front I don’t have the highest water pressure, it’s not dismal but it’s definitely not the highest.I do like how the handles swivel I think that does help, but I think that super doesn’t kink affect only comes from the shorter hoses.  I will say I like this better than the expanding hoses, but so far I can’t say that it’s worth 80 bucks! I do like that its supposedly safe for drinking water.I will update this with my review as time progresses, so far I like it and I will keep the hose. But it definitely still kinks!  The positive point is that it doesn’t seem to remember where it kinked before like my other old hoses, but it still kinks hundred percent!","Still kinks! Doesn’t remember where it came to before, decent hose though so far.","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",15 people found this helpful,,,5544240,,,
