ids,ranking
amzn1.account.AEL6P4F4F63VA3UBOXO3N3VMPQ5Q/,19579
amzn1.account.AGXIN3RXFYHVJVSZGBJLRIXF2CEQ/,1004280
amzn1.account.AFHKYMETPYMG5T3CDBMCL6THAFEA/,724936
amzn1.account.AGZQVE7TNAIFEUPM4ITALZGWPNSQ/,506002
amzn1.account.AHOJPMVBUQQ73GYRCHH7TUR35GMQ/,84294092
amzn1.account.AEMQKEOTJJE45UOW3NKI3WVGDXXA/,2452301
,
,
amzn1.account.AHDKTJW7UQN7BFRRDA4H574BSWDQ/,360336
amzn1.account.AGLFSXRZP2JE6DSBY6Z7AVZVA2VA/,26635
amzn1.account.AFFBH3VWQHJ7X3LHOVZMR7PZ5BMQ/,8804
amzn1.account.AHKORKN7EAGIW75LOT6Y67BT5B3Q/,5233485
amzn1.account.AE3M2VXO4NDDML2FABXHMD6LGBQA/,170437
amzn1.account.AELRI3LRX2V7PSQY4UNVBLHQD2PA/,241031
amzn1.account.AEC47TPLAGQ7SWQPNMHNTAGMMGRQ/,2777699
amzn1.account.AGCRZC4MBBMFPBU75VHY3JIQYRWA/,1700460
amzn1.account.AGCSS4G54KQRHHJDLJ2VEGRNNDKA/,458451
amzn1.account.AFB3RBVITWO627F2GTNXQUFDDUFA/,2494
amzn1.account.AFRCRMWEQIJH57BO3BG4AKLDIYAA/,150837
amzn1.account.AGOYGWUPC67HFIWBG5PW5K5HLDRQ/,18361
amzn1.account.AF5JONQCQLWOEPTP3TRIXG6G2ZDQ/,1185839
amzn1.account.AGAASUFJNV3AH2OMGQK5L2YGWXAQ/,4176
amzn1.account.AGINMVJA4MG77XG3W6H4GQRTISBA/,184113
amzn1.account.AG5PL6BFJ5DOZLL2Z63YLEBIANCA/,1573439
amzn1.account.AFRCTS24BPFW64UN53JX7JKFQ5KQ/,4255599
amzn1.account.AHVB7RIZBO4C5UJQDFXK2JKEXKFQ/,13449825
amzn1.account.AG6GJDFFYCAVOSHPHS26FCTHVLFQ/,77228
amzn1.account.AH23CNZURCZPYDCGLCZ7TVE5L23A/,3631853
amzn1.account.AEKOPYJATWUS3Y46NGGYK4VTQS7Q/,240130
amzn1.account.AGXCG557AY3CPRCD2B7WITP76MDQ/,84390629
amzn1.account.AHM4CI62U6SOOY7EAW3EDLVTKIOQ/,2467901
amzn1.account.AE7CXBZHMSRPMLZZY7NAENC4OTWQ/,3433516
amzn1.account.AFHEVUSIIRNMO3HSPKFQPGOQEOFQ/,1826312
amzn1.account.AHOL4ZU7Q57FZYBIUUME3L45IREQ/,83618639
amzn1.account.AGMSDSHI4PE6OPDU77Y564OUTDCA/,83891806
amzn1.account.AH5ETNUNLFGZHGLRNHTUZ2D3LGNA/,96148
amzn1.account.AFIA6TV4XLJYKJ3H2BQVIBEG2M3A/,84405175
