ids,ranking
amzn1.account.AHJ7DXFRHHX7RHGUY7PX2RLVF7JQ/,304387
amzn1.account.AGVAOPADS6EH2KIJ4235F4RMRBSA/,134640
amzn1.account.AHFNIMZB6235FCVNOA2XOBJUO4XA/,896570
amzn1.account.AGTOQEOYH4KU2UE6MFKMEBHNFX4Q/,10444
amzn1.account.AHIC2WWTN3MF3WHFHG435N6FSQJA/,6936717
amzn1.account.AH2YJP5KR57VW7QUGOXUCUPKGZKQ/,26529
amzn1.account.AFMFXUSFUH47TLVHNUMJG5WRQRBA/,56430
amzn1.account.AFHHXTLGUW43F52O5IFOQZX5343A/,462502
amzn1.account.AF45HQR22RVTQ6B7WZIMBJFKUJ3A/,1359677
amzn1.account.AH63TIL45QDJTZHAQYISCYUYTSWA/,1231002
amzn1.account.AGFFBSZBEULJETTFIHGIDUWNHUEA/,58631
amzn1.account.AEGBQSRF22PHJ3TATSX73I4YDNKA/,2822066
amzn1.account.AEON7FRF26TZNAFJKBTMOA27ZYGA/,55387
amzn1.account.AFTXRZEMPAW34G5KMDZSI4IK6KBQ/,3422
amzn1.account.AHVTJXJGPIJY4VTKQSKR3G7GOSWQ/,7122501
amzn1.account.AHKI7LLWJLOJZDQYTJ6I3JYNZGVA/,1215
amzn1.account.AFRP43GZX4EUCDPPFJJHZ27A4MMA/,301448
amzn1.account.AHIRON4PGQFQA45VFQM4SGH32LJA/,2085055
amzn1.account.AHXC36UAOPZU35SMDADP3EIUYYEQ/,39779
amzn1.account.AHEGKAJTTUVI6ZQDES743VTYJ7PQ/,1739
amzn1.account.AFODHP3KQ6YXJCTMCO2GCZY25QFA/,333219
amzn1.account.AFHKSU5O57S4EVED764OATJYNG7Q/,30188
amzn1.account.AGDEXTZIV4WBZFWYQKCMRTZ5C2QQ/,339417
amzn1.account.AGNFODWSVDWF3RKTU4M6TFXRQIAA/,3590937
amzn1.account.AH46KHPXBFHCXB2XOHBZ35ZV6PKQ/,246317
amzn1.account.AHKNVAQXY55DGL52OLSGAYT23CYA/,2516648
amzn1.account.AF4VSI7BFEWJHBLYQW7NMV6ROKRQ/,153714
amzn1.account.AGEUZJU6FDEFDFSR6YQUVU33O3NA/,304911
amzn1.account.AETWRDSUAOZG2OFKZL2DT6OTBWNA/,84276245
amzn1.account.AHCML7BPLRFXQN4YVGQGM552JKIQ/,83923755
amzn1.account.AFNVGQDMKXEFHVXHCHCKIO5MT3PQ/,551795
amzn1.account.AGCZBLU5JV26YIVIYKCLXHDRFBRQ/,509943
amzn1.account.AHS7YSMXKB7NONL67B6NQZLYBXZQ/,9238
amzn1.account.AEGAQAND6D65RM7KWIMJ4MEB6F4Q/,82391
amzn1.account.AEM2TNTB7B4VKHGCS7L3LTBW4DHA/,159370
amzn1.account.AHSX23V66PRJLAR3T55JC553XZOA/,20962
