author,ids,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Phil in Magnolia,amzn1.account.AGS6HKYNXMJR7UT6XFJGZJUGSGTQ/,"Reviewed in the United States on May 25, 2019",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Aprilaire offers four filter versions for my particular home HVAC system. I have now purchased and am in the process of using (for comparison) three of the four styles available (the two 213 rated versions, and the 216), two ordered from Amazon (the 213CBN and 216). (My own home had the model 210 originally installed. My HVAC service company installed the 213 model when service was most recently performed, and I have now decided to upgrade to the 213CBN and 216 models and have purchased them from Amazon).As stated above my personal choice is to use either the 213CBN, or the 216 version. The 216 has the ability to remove significantly more particles of all sizes down to 0.3 μm. The 213CBN includes activated carbon filter material for better removal of odors and VOCs. Both are quite a bit more expensive than either the 210 or 213, and have potentially shorter life (6 mo vs 12 mo). I feel that the added cost is well worthwhile - my home requires only one of these filters, and if I have to replace them somewhat more frequently in order to ensure the best possible filtration for air in my home, I consider that to be money well spent.The key difference between these filters from my point of view is this - any of the filters rated at MERV 13 or greater is going to provide a very high level of filtration, and the MERV 16 rated filter is really superior filtration. According to the EPA paper I reference below, anything above MERV 16 is considered to be a HEPA filter. Residential filters are only required to provide an efficiency of MERV 6 or greater (per ANSI/ASHRAE Standard 62.2-2007).The filters that I received from purchasing here on Amazon were authentic OEM Aprilaire products in the proper packaging. I purchased from Amazon itself, not one of the third party sellers.Below are more details of the various models available, to help explain the differences:- 210 Clean Air Filter for Aprilaire Whole-Home Air Purifiers, MERV 11, For Dust--- least expensive (MSRP 52.99)--- described by Aprilaire as effective for removing airborne particles including dust, pollen, mold spores, bacteria, and pet dander--- rated MERV 11--- filter life stated by Aprilaire as 'up to 12 months'--- MERV 9-12 typical applications** described as: ""Superior residential, Better commercial buildings, Hospital laboratories""--- MERV 11 particle removal efficiency is not rated for particle sizes 0.3 to 1 μm, 65-80% for 1 to 3 μm, >85% for 3 to 10 μm (see reference below for source of this information)- 213 Healthy Home Air Filter for Aprilaire Whole-Home Air Purifiers, MERV 13, for Most Common Allergens--- slightly more expensive (MSRP 59.99)--- described by Aprilaire as effective for removing common airborne allergens including dust, pollen, mold spores, bacteria, pet dander and dust mites--- rated MERV 13--- filter life stated by Aprilaire as 'up to 12 months'--- MERV 13-16 typical applications include: ""Superior commercial buildings, Hospital inpatient care, General surgery""--- MERV 13 particle removal efficiency is <75% for particle sizes 0.3 to 1 μm, > 90% for 1 to 10 μm (see reference below for source of this information)- 213CBN Odor Reduction Air Filter for Aprilaire Whole-Home Air Purifiers, MERV 13, for Odors and Most Common Allergens--- most expensive (MSRP 94.99)--- described by Aprilaire as effective for removing common airborne allergens + odors, including dust, pollen, mold spores, bacteria, pet dander, dust mites, pet and cooking odors, and VOCs--- rated MERV 13 (plus activated Carbon for odor and VOC reduction)--- filter life stated by Aprilaire as 'up to 6 months'--- MERV 13-16 typical applications include: ""Superior commercial buildings, Hospital inpatient care, General surgery""--- MERV 13 particle removal efficiency is <75% for particle sizes 0.3 to 1 μm, > 90% for 1 to 10 μm (see reference below for source of this information)- 216 Allergy and Asthma Air Filter for Aprilaire Whole-Home Air Purifiers, MERV 16, for Allergy and Asthma Triggers--- most expensive (MSRP 94.99)--- described by Aprilaire as effective for removing up to 99% of allergy and asthma triggers, including dust, pollen, mold spores, bacteria, pet dander, dust mites, viruses, and the airborne particulates associated with tobacco smoke and smog--- rated MERV 16--- filter life stated by Aprilaire as 'up to 6 months'--- MERV 13-16 typical applications include: ""Superior commercial buildings, Hospital inpatient care, General surgery""--- MERV 16 particle removal efficiency is > 95% for particle sizes 0.3 to 10 μm (see reference below for source of this information)** Ref: US EPA publication EPA 402-F-09-002, revised August 2009, ""Residential Air Cleaners, second edition, A Summary of Available Information""(VOC = volatile organic compounds, organic chemicals such as formaldehyde that are released from paint and plastics into the air)",OEM Aprilaire Replacement Filters - Model Differences Explained,"Style: 216 ALLERGY, ASTHMA, & VIRUSSize: Single Pack (1)Verified Purchase",196 people found this helpful
The LEGO Guy,amzn1.account.AHWJK2MIJCNJIRL2LPATMKAU4IRQ/,"Reviewed in the United States on May 21, 2018",5,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Works great at a great price.A little over a year ago, we purchased a new AC/heating system. As part of this installation, we now need these new larger accordion style filters. When the installation team showed us the new filter, they told us we would need to replace the filter every quarter. I then asked what the price is and where I could purchase these filters and was told I could purchase them directly from the installer at a rate of around $60. Initially I didn't think much of it... I mean, we just spent a ton of money on a new AC/heating system, so what's $60 at this point. I luckily decided to hold off on purchasing any extra filters at that time.Later that day I checked Amazon and was able to find the exact same filter for far less, thus I've purchased a couple filters directly from Amazon.The filter is easy to switch out and does a great job. To be honest, I was actually quite surprised at how easy and how quickly I was able to make the switch. I've also discovered that there is no need to replace the air filter every 4 months (every quarter). In fact, we waited an entire year before replacing our filter and the air filter still looked in great shape. We also have a yellow lab dog and two kids, so I think you'll be in good shape delaying replacement unless you're doing a lot of construction work in your house.Lastly and most importantly, we've noticed a decrease in dust and allergens in our house and have been breathing much better since the switch to our new system.I definitely recommend this air filter and think you'll be hard-pressed to find this filter for cheaper than what you can find it on Amazon.If you found my review helpful, please let me know below. Thank you for taking the time to read.",Great price for a great filter,Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,171 people found this helpful
Amazon Customer,amzn1.account.AFAVZ4AZR4JNADEHFZGLLLM67R4A/,"Reviewed in the United States on August 4, 2017",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"These appear to be original OEM filters.  But based on feedback I got from the tech who did my annual service, be careful you aren't getting old stock.  The fabric used to be glued to the plastic frame, but after a while, especially in high heat, the fabric would separate and would not longer function correctly.  This happened to be twice with filters I purchased through amazon.The newer versions are stabled together to prevent separating.  If you get one that isn't stabled together, consider returning it.  But if it is stabled, then you should be good.",Watch out for older stock,Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,133 people found this helpful
Tom.d'Frog,amzn1.account.AF7FPPLQOJ5ITF22AEOFKKJTWYSA/,"Reviewed in the United States on July 6, 2018",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Was skeptical, but let me just say...OMG this filter is excellent.  It really does stop the permeation of smells throughout the house.  I can no longer wake up to the smell of coffee brewing as this filter stops the smells from the kitchen being passed through the house.  Also, I can no longer draw sleepy heads out of bed with the smell of bacon!  Our small house is loving this filter.  Cook fish for dinner, no worries.  Towels at the other end of the house will not smell like fish or curry or anything else you cook.  Been 2 days since you scooped the litter, no worries, the house is not going to smell like a litter box.  Now to see how long the Carbon can keep the air clean...?",It works!  It really really WORKS!,Verified Purchase,44 people found this helpful
Claveman,amzn1.account.AH6254TYJ3FKABYHVPVE5EDGEDJA/,"Reviewed in the United States on July 18, 2020",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"In short these filters (216) work well - trapping anything that goes through your system bigger than a few microns (pollen, cat hair, etc).  Consider these important points Aprilaire may not tell you about the Aprilaire 216 modelI don't see anyone discussing the last two hereAprilaire 216 Specific problems1.  Problem: Clogging.  Replace these often.  Mine is 70% clogged after six weeks of Spring/Summer and totally clogged after twelve.2.  Problem: Water condensation.  Humid outside?  A/C running all the time in that Summer heat wave?  Look out for water buildup on the wall of the coil section of your unit (above the flame usually).  My HVAC technician was standing there and pointed out water droplets forming up on the surface of my new Carrier central air system where the coil is located.  Water was slowly dripping.  ""That water buildup is not normal. It is caused by that filter.  It is not letting air pass by the coils at a rate the unit is designed for"" .  It's harmless but be aware"".  I put a towel down.3. Problem?  Furnace fire hazard.  When you inevitably forget to change the 216 filter it will clog up to a dangerous level. In Winter, when the furnace is running longer, the air can't get through the heat exchanger fast enough.  Too much heat can lead to a house fire. Lookup the anatomy of a forced air furnace.  One of the components is the ""heat exchanger"". The flames push their heat into the heat exchanger.  The exchanger gets extremely hot.  The only reason it doesn't start a dangerous situation (like a fire) is the giant blower nearby ""forces"" the air throughout your home.  With that 216 filter, inevitably neglected and clogged, you might as well not have a fan.  This alone is probably why my HVAC manual does not mention the Apriiaire 216 even though it is designed to accept this series.I use the Aprilaire 216 filter in the Spring and Summer (putting up with the water buildup)",Three Important Considerations,"Style: 216 ALLERGY, ASTHMA, & VIRUSSize: Value Pack (2)Verified Purchase",16 people found this helpful
Cis,amzn1.account.AEK32C5KMGXS6FM4TAWN6RUY3B7Q/,"Reviewed in the United States on July 19, 2018",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"The filters work excellent in our Carrier Air Conditioner which is 12 years old.  I credit our 6 month maintenance plan and these filters for us not having any problems.  An HVAC this old usually begins to have problems or has to be replaced.  We feel very fortunate that we learned in the Military to take care of your HVAC with mainenance every 6 months and use good filters.These filters are recommended by our HV/AC company as being the latest and best.We have allergies and have to change every 6 months.They are also cheaper on Amazon than anywhere else we have looked.They are worth every penny.,",Aprilaire 213 Healthy Home Air Filter f,Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,17 people found this helpful
John Caramagna,amzn1.account.AGQ5YPFJQWACE3JHYESJMCTEGQSQ/,"Reviewed in the United States on May 29, 2017",4,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"What's not to like? Aprilaire filters do the job. We have been using the Aprilaire system for 12 years and it really works to maintain the air quality through the air conditioner return.  The older style has a plastic frame where the filter was permanently attached. The newer version has a reusable metal frame, as shown. The filter opens like an accordion and slides into a track on the frame. This purchase was for the filter part only. See installation photos attached,",What's not to like? Aprilaire filters do the job,Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,23 people found this helpful
Lumberjack,amzn1.account.AEYIH2MWU2SBIOW73RWULYOJG3CA/,"Reviewed in the United States on April 28, 2018",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"This item was as expected and a perfect fit for my Aprilaire unit.  However the seller shipped the filters in only the original packaging which is non-corrugated cardboard.  The boxes were in very bad shape when the filters arrived and I almost returned them.  There is not a lot to damage on the filters, but the ends near the box openings were scuffed and dirty.  These should have been packed in a corrugated box for shipment.","Great item,",Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,17 people found this helpful
Surfer Shopper,amzn1.account.AFS43PH6M5DUPLY5MLH7XK3M2BZA/,"Reviewed in the United States on May 27, 2019",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"My bad - I just recently discovered that I received 3 (not 4) filters, months after purchase, having removed filters from the box one at a time, as needed.  Packaging material I thought was hiding the 4th filter wasn't hiding anything - just packaging material.  Lesson learned - next time I won't assume the order received was as advertised and will count items immediately upon receipt.","Only Received 3 (not 4) filters, but paid for 4",Style: 213 HEALTHY HOMESize: Super Value Pack (4)Verified Purchase,8 people found this helpful
Marina,amzn1.account.AEGGKKJ33RMHJ2TS4Z2LOH4QGE7Q/,"Reviewed in the United States on December 11, 2020",0,,https://www.amazon.com/Aprilaire-210-Filter-Whole-Purifiers/product-reviews/B005AIN8YW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Amazon needs to box this product, AprilAire Media 213 home furnace filter, so that when it arrives, the manufacturer's box is not damaged. Also, the manufacturer's box had the Amazon label affixed to it.  When I removed the shipping label to affix a return label, part of the packing came off with the adhesive of the original label. So, I am returning an unopened product, with a marred box that has instructions.  Amazon, you need to do better with your packaging decisions. Thanks for listeningI had to rate this product, I gave it only 1 star because somewhere in the Amazon description it should say that it must be used with AprilAire module.  My understanding is that this is a 5 star product, but if it can not be installed in one's home furnace, what good is it.",Amazon should not put shipping labels directly on manufacturer's boxes,Style: 213 HEALTHY HOMESize: Single Pack (1)Verified Purchase,One person found this helpful
