helpful_votes,page_url,total_review,visibility_status
122,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHO2BERPIL3MDICA7NBQBGAAAGLQ/,75,Public
315,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMZJZBIN44CMNMUORB7CTA2GUDQ/,53,Public
70,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETR53F75K5AUIXNHRMNUIYHZUJA/,20,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEM7ESGVE4AFFNNDDKKGMOEAFNWA/,9,Public
84,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZ3MS3F64UQ5NVIDDU6VVP5CBBQ/,40,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIDTY3DJQTHXRDCBPMRK5EA5WZQ/,27,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2QCSO2SSPJF4NL7LFCXA2XZK4A/,42,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6IQOALDL7TVXGGH3XZMB4QZITA/,207,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2CIJMW5LPDD5AHQ73RCY66FVCQ/,39,Public
220,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAW2FHDAB7M7NJTC6J535HMPCWQ/,41,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZRCBXP5VAGEDCJALNJU7ZOJB2A/,20,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWSGLUGXQEDC7GXKRYOHNWZQ4GQ/,3,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET2KOCAHCVKKVIFI4CTVSB4PUTA/,30,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDICOQ64SMADH6ZRT5RBFRY4IJA/,16,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDDEJSLBLII7CKQFZ22IJEMW5HQ/,68,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQDN4H7VHXWUTLJLUDSPIFS2XRQ/,39,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4V54LNU6AAUG7DIUXNX7YFTZUQ/,26,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB6RRYF3O23DDDTGLTU7KEQ2BTA/,32,Public
"4,086",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3N7PCWWFV5HZ5T2MI4FLY5JYLQ/,609,Public
427,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHREYHOXT2GDLLHUXTGO6BOB7EOA/,192,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELJYAT7KJORQMLO3DH7OIVG7TWQ/,11,Public
