page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AHO2BERPIL3MDICA7NBQBGAAAGLQ/?view=visitor,153531,122,75,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMZJZBIN44CMNMUORB7CTA2GUDQ/?view=visitor,110309,315,53,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AETR53F75K5AUIXNHRMNUIYHZUJA/?view=visitor,856914,70,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEM7ESGVE4AFFNNDDKKGMOEAFNWA/?view=visitor,1642914,45,9,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZ3MS3F64UQ5NVIDDU6VVP5CBBQ/?view=visitor,873387,84,40,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIDTY3DJQTHXRDCBPMRK5EA5WZQ/?view=visitor,663054,71,27,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2QCSO2SSPJF4NL7LFCXA2XZK4A/?view=visitor,359316,62,42,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6IQOALDL7TVXGGH3XZMB4QZITA/?view=visitor,493678,211,207,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2CIJMW5LPDD5AHQ73RCY66FVCQ/?view=visitor,729308,21,39,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAW2FHDAB7M7NJTC6J535HMPCWQ/?view=visitor,145945,220,41,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZRCBXP5VAGEDCJALNJU7ZOJB2A/?view=visitor,7452124,24,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWSGLUGXQEDC7GXKRYOHNWZQ4GQ/?view=visitor,10625265,42,3,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AET2KOCAHCVKKVIFI4CTVSB4PUTA/?view=visitor,1580233,27,30,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDICOQ64SMADH6ZRT5RBFRY4IJA/?view=visitor,5444506,10,16,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDDEJSLBLII7CKQFZ22IJEMW5HQ/?view=visitor,83977504,43,68,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQDN4H7VHXWUTLJLUDSPIFS2XRQ/?view=visitor,84133153,19,39,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4V54LNU6AAUG7DIUXNX7YFTZUQ/?view=visitor,811431,15,26,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHB6RRYF3O23DDDTGLTU7KEQ2BTA/?view=visitor,2389555,39,32,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3N7PCWWFV5HZ5T2MI4FLY5JYLQ/?view=visitor,871,4086,609,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHREYHOXT2GDLLHUXTGO6BOB7EOA/?view=visitor,8224,427,192,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AELJYAT7KJORQMLO3DH7OIVG7TWQ/?view=visitor,13769414,11,11,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUODKD4YABZ5PI4GEND5O3IMWCQ/?view=visitor,291186,55,43,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBMRJQ3OGJRCKZUYIIGBDMC3P6Q/?view=visitor,2020477,7,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFKJR2ARZD4AXSR3XZDY3PJRFBMA/?view=visitor,1363843,42,72,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AETDOX4QNGDGNYBGSCB53VTZR6WA/?view=visitor,3103177,18,48,Public
