helpful_votes,page_url,total_review,visibility_status
292,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBBBHZWUPAV545WHZZXPRRAPUWQ/,11,Public
222,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDEFG7QRHZJRHBUFCYPRLOQZ4ZQ/,63,Public
112,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEFHYMYTLLNNQSMLMRSCA2BWDGA/,1,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHETEU7LK7KSWWCNKUCJM5KCEBFQ/,16,Public
421,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYXVNK4YCOYWZMM6U5CW7KW6W5A/,39,Public
293,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUV6AQJCTBDUXTL5CWQ6ZB7VE5Q/,163,Public
311,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEGGIYU2P5K5PLNKFH7W3GJEYMA/,191,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2C2NB7F6SSYM2XN4YOXYOYDPAA/,33,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBNEUFCEURFNCQO5O2I2ESIE6VA/,18,Public
368,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFM4LFQMCCZPZEYFJ5XP3VMJIMQQ/,196,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXO6XHZ6QIGVKOJNTYNZLZY4YTQ/,9,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOT7SNPNKVX4FMVISQLD5L2VJAQ/,50,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2STTJOSVO4UNF56D6NF4EPD4PA/,7,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6JWEMJ5EFIE3YRDV73SJYQL2NQ/,20,Public
