author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Brittany Burrahm,/gp/profile/amzn1.account.AGBBBHZWUPAV545WHZZXPRRAPUWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 18, 2018",1,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"The best necklace I’ve ever had!!! It’s the perfect size and length, so dainty and flattering! I was worried about the gold fading (because it’s so wonderfully affordable) but it hasn’t- not even a little bit!!! I’ve worn it every single day for about a month now, even accidentally wore it in a clorinated pool for a little bit but nothing happened and it’s never been damaged! Has become such a staple for me and my everyday outfit, don’t feel complete without it anymore. Would highly recommend and will be buying another if this one ever breaks!!",AMAZING quality- flattering and lovely!!!,Style: LVerified Purchase,225 people found this helpful,,234906,292,11,Public
Barbie,/gp/profile/amzn1.account.AFDEFG7QRHZJRHBUFCYPRLOQZ4ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 18, 2019",0,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I would highly recommend this item. The price is more than fair for the quality. I bought this as a birthday gift for my daughter in November. She is still wearing it today. She takes showers with it, she plays while wearing it, she sleeps wearing it. It is dainty looking, but it has lasted a few months on my daughter, and I am very pleased. There are no signs of rusting or breaking. It is so nice to have an inexpensive but quality piece available to the public.",Perfect for my 9 year old daughter,Style: MVerified Purchase,133 people found this helpful,,183625,222,63,Public
Elizabeth Pina,/gp/profile/amzn1.account.AFEFHYMYTLLNNQSMLMRSCA2BWDGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 25, 2018",3,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I love this very cute necklace! It’s small and very simple. I waited longer than plannened, but it wasn’t the sellers fault. This necklace feels like pretty nice quality for only paying a small price. The little charm is small, but description wasn’t misleading.",Cute!,Style: LVerified Purchase,112 people found this helpful,,8944176,112,1,Public
Amy,/gp/profile/amzn1.account.AHETEU7LK7KSWWCNKUCJM5KCEBFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2018",1,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I love this necklace. It's soooo dainty but the chains feels very strong and secure. It doesn't break easily as it looks. RECOMMENDED ❤,SUPER CUTE AND DAINTY!,Style: AVerified Purchase,89 people found this helpful,,1231955,94,16,Public
Dori in SF,/gp/profile/amzn1.account.AEYXVNK4YCOYWZMM6U5CW7KW6W5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2020",0,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"This product was listed at the top of my Amazon search as a Valentine's Day gift for girls. I bought it for my 7-year-old daughter as a gift, thinking that with nearly 5 out of 5 stars and 2000+ reviews it  was a no-brainer. Well, the item came and it's unacceptably tiny - even for a 7-year-old. It's the cheapest of costume jewelry and I'm ashamed. I could have gotten something at the corner discount store for $5 that would have been so much nicer. No one would GUESS they were ordering something like this unless they looked at ALL the pictures. They need to put the pics with people wearing the item as the first picture to avoid disappointing customers, as a necklace this size is just something you would never encounter. There should also be a more descriptive product title, e.g. ""miniature heart necklace."" Now reading these reviews I can that on top of the tiny size I see many, many people complaining that the necklace either breaks or discolors terrible in the first couple of weeks. This is dishonest. How is this rated so highly? Something smells fishy here.",So cheaply made and TINY - even for a child,Style: MVerified Purchase,22 people found this helpful,,913909,421,39,Public
xoxoxo,/gp/profile/amzn1.account.AEUV6AQJCTBDUXTL5CWQ6ZB7VE5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 9, 2018",0,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This tiny necklace is perfect for a little something on an everyday basis. It’s small, simple, minimalistic, but elegant. Initial is clearly imprinted. Worn almost everyday since I received it and no discoloration either on my neck or the necklace. Doesn’t get caught in my hair either so it works great!",Perfect for everyday,Style: CVerified Purchase,56 people found this helpful,,40444,293,163,Public
Michelle S,/gp/profile/amzn1.account.AFEGGIYU2P5K5PLNKFH7W3GJEYMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2019",3,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I got these for both  my kids (boy and girl, 1 &3 year old) it’s very cute....very tiny (definitely not for a teen or older)It fits good not too much length so I’m not concerned about it getting caught on anythingI’m happy with the purchase..::perfect size for little one, very prettyOnly the clasp in the back kinda bother me for the boy  cause it had a littl Stone but it’s nothing serious",Pretty and pettie .....,Style: NVerified Purchase,43 people found this helpful,,24732,311,191,Public
JS,/gp/profile/amzn1.account.AH2C2NB7F6SSYM2XN4YOXYOYDPAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2019",0,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,We sent these to our granddaughters for Valentines Day.  They were thrilled.  The chain size was perfect for a 6 and 9 year old.  The 9 year old said she was going to wear it forever!  My daughter said that the quality was quite nice and was surprised that they were so inexpensive.,Granddaughters loved their necklaces,Style: PVerified Purchase,39 people found this helpful,,492868,72,33,Public
Samantha,/gp/profile/amzn1.account.AGBNEUFCEURFNCQO5O2I2ESIE6VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 25, 2019",0,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,This necklace is so dang small you might as well just get a circle because you can't tell what it is until you get up close and personal.  You can't even see the heart shape let alone the engraved letter on it.  This was supposed to be a present for my flower girl.  I can't even give it to her because it's so awful.,HORRIBLE,Style: AVerified Purchase,17 people found this helpful,,2345235,44,18,Public
Abe kap,/gp/profile/amzn1.account.AFM4LFQMCCZPZEYFJ5XP3VMJIMQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2020",7,,https://www.amazon.com/Initial-Necklace-14K-Handmade-Personalized-Necklace/product-reviews/B07DG1W26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"First Impression of this TINY heart necklace is , lIt looked nicer online .It was a gift for a friend but I might not give her since I am not so impressed with the quality of this piece of jewelry. It does not look neat , which reflects the price . Gold plating has an orangish tint , tooo tooo bright for my liking .Packaging is impressive, it comes in a bright pink cardboard box . The written message on the card is altogether a different story ;)The charm is cute but too tiny for an adult person to wear . Overall it might be a good piece of jewelry for a kid .Edit to add - this is a CHEAP piece of crap jewelry . I will change my rating from 3 stars to 1 star . Wish I could give negative rating . The chain broke without me pulling or even touching  ..I mean how is this possible .",BROKE,Style: RVerified Purchase,6 people found this helpful,,7558,368,196,Public
