helpful_votes,page_url,total_review,visibility_status
419,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB53SNFMN37YVTWJEMHWQUX52DA/,8,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVS6TTSUB7DTBFTH2KGHTPNI5LA/,73,Public
634,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGILK4LU46H5MZFA27AKC5DO3VAA/,91,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQMTA7YQGKCY7YAN7B7FJHNG5UA/,7,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD3T6RIL464A64Z44BZDLMPELXQ/,2,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJZWAVTTQS2E2B3HJ4EWZIXGHLQ/,36,Public
84,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELXWHXSEYTVQEM6FYKBTHBKHV7A/,98,Public
304,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELQU4Y6RVN2T6XBTC7J4KDROQDQ/,178,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3JZRDO2I3QQ7RZG426MPD7YLEA/,30,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLZ7TP6TUVPD4LRH7HWR7CK6MXQ/,8,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPIGLBBU4UYDR4J2ZO7HNIYN24Q/,34,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEB7DPTC4XL2BJ5LQ5WJAAMF6FFA/,142,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHX5MRAJICQYJYR3Y33U5A2D7QA/,40,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIEOWHE2L5SOP5TKU2KX7RC3DZQ/,53,Public
273,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIVWIGXAM7DD4F5AKC5OCYO42JA/,187,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGPIB77SZNKCNNADHP3BE7TLOYQ/,29,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ3TUFDCEURM6SECBWL6GUJJXVQ/,27,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETNX5QK2LR6W5DFGI6LP3SUPXBA/,7,Public
404,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMGFNEFO6N5X6VRRI2ZWAWNLJ2Q/,73,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5MVTPSUSVOA4IT3PLMIURMAQ4Q/,9,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW5VWICHVVXWDNBUEJC4OP5JATA/,10,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHOFOJX3CRW4JBXOVFCLDOVNNYA/,22,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFFU32FAEGNWUPUZWLRZJXDKCDQ/,33,Public
465,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3BE5TTGNKYF3VXVFFDXB5L3CPQ/,71,Public
899,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEE5UGWFLCI5ODJS5CZFJAZLKSTQ/,577,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUKZ2IFPSFUEQLJ2SSAGZEBYC7A/,39,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGWEBVW2UNSYN4SUHSQILPRMQVA/,30,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF574ZAB72JO3TODUBHKXV3YKUKQ/,74,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTYZSFJ74Y3PWGWE5FXDQQGFFJA/,95,Public
738,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLSRNDVR6NHLVDMGW5Q3JJF5FCQ/,73,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECVQ3NB4RN4GM3UHJIGIXCOMMMA/,32,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWHV6JKJBJ225GUUPDQ2L7AEDPQ/,69,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPIM4JONLPJCTRAOVOORGN735SA/,7,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6QYD53DHN76TKT42QTGNCC7TDA/,37,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5MOP5BMK3B5GJLC2MJSGSQPYPQ/,23,Public
154,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2PTUXLKDZWHXPHJJHSKXHJ3UXA/,72,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEAYVLVTCWW56QQUIVZQKLJD3IQ/,29,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJGH6QFOWLUG4EIHNE3XNMKQL7Q/,1,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEG6LC2LVSV6ZVMOUTJ2TWTCW5Q/,38,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIFAPTWV4WE5564V6DRZQZDLMDQ/,39,Public
219,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVMSJSMJJN3O4DNSWURRHUITPUA/,59,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKVNJN5MAAWIIU7QVU3ZSEKPRXA/,28,Public
