helpful_votes,page_url,total_review,visibility_status
103,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXICKG7KL4K5R7AOEPC7VSOEWKA/,47,Public
88,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNOQJB3AQ4JBUD5MMOTESNX4COQ/,20,Public
191,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSSFXOYXYTBJJ56IS72GUYC2T2A/,107,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7TZG2X2HAJ5T76E6U5HXN7TA6A/,113,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCW7QJO53VRLPMS5I6BLZJDP46A/,14,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOBLWO6UEL6RN6V5LRM6Y7XGLSA/,20,Public
338,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCCSLLVN5VI2KUQFYDBENWAIDYQ/,241,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJ6KFYL7DKHFMJJZ5AKM2EW33SQ/,15,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMUGAE6HAR7PEVGQTC7ZIOHJVQA/,45,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGD7XYY5UCNVN7DET2TDBHREQQ2A/,40,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETBPSOE6M3KLCM5CW2S6F26AYKA/,14,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJP75NKSXTF5W66Y6XBBBAEM7AA/,41,Public
103,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFE76QAQL2KKN5L3LSEATGNCTRQ/,137,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNDUW36R6PRQHVHVLQ7SETBGX4A/,55,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7I325JUZ5RZTPQXIZNWFG3MUZQ/,30,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTTSNRPJ5RLA4QO3KRYCGIMPGPQ/,42,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ5SZD7YGHTJPQEJTVUVV3CI2AQ/,188,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYRBJ3VVVITAX3E2VAZLZFUALKQ/,35,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMCMEAU7QHHT6MP5JAF6E2VURMQ/,28,Public
155,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYXDU5WZVPXWG5A5YG6YWHKN5MA/,149,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOUBBQHXDK5M7FY7LBPAA46OKTA/,18,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF67MBDECK44XU6TXVZPYIIBHBGQ/,23,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHONLU7RVMDIMOQFGWTGJSFHIRRQ/,57,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHCS7FMCAWUFJPPYBDNSQTDHHKQ/,9,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKPV346ZLUMR6MLUVTWARLDSN5Q/,17,Public
70,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQRZOMFSLHA6VEJJ4PMR53IXX3A/,142,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKSSHY2UASCGZ66ZNLAGYJQ3UQQ/,52,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIPD5IIZQJA55O4M2IPQTJDA3YQ/,32,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ6JYWREBVWIKFOLXFL66MB2XBQ/,15,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOLDKKU62VRT5RMLZ5A7Z55TD2Q/,18,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET4W2ISOT4PO5EJY5RVVTR3K3VA/,31,Public
163,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJVQVFFWZYWBWUPIHDA2NUDWFA/,38,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4O3SEEHZTUGVKTLNM3ZODK2UTQ/,184,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHAJXONQY2TVNUGQ2MDYCK3SA2ZQ/,32,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHI4HKUICTTFVRX2QIEA4Q3RH2A/,72,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFN23SUKGXYYQRHSKIZHATHF2TYA/,34,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQ6IGDTLU3LNWL6KQQ3ISDH3YZA/,29,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDGABFYAACL3SYVDVQFD2ALCRTA/,23,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE34T3FQHJW6K3UMYLYXX4FHB2RA/,84,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7LIJHTJND53W4HMTBZAS333VUA/,12,Public
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGG5QSGMSOZXJM7ZYGUSIIRTWWBA/,133,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7S3TAHU63NPR6FFKOMO556WYHA/,21,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2XDJYBOJ4OBRJJ3YYF26KUSSVA/,26,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZFZGO3JWJ4M7LWLI5E4L5WWNHA/,25,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTP4TGV74II6R6U2Q5X3YLSGVTA/,25,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJ74S7WOVPW2NOPF3VGFZ7K4QMQ/,25,Public
279,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOXB5IWEO4PMWQRCEWQ2O547T4Q/,38,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPEK7257QKHBJVORRX7F4CTK6IQ/,22,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4PANIGQVSF3Z2POHUFAGHI6DEQ/,21,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTPA5RNAPD5BJYOLRAOJJ2YW2HQ/,21,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUJCDK6GI4PB2EQS7LSZTLK6DNQ/,20,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXIOXKNJCOMKZN756SYZ5SGJ7LQ/,178,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXV5BWCG5FSBM2BRIB3IJY7QEBQ/,35,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4TEYTZIGOMVZ6T4EV6JKUEKIPQ/,80,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJB4U2GMQZQHSBA66O4HOFR3EWA/,22,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3WSXPGQXVOD3AQAKRKMEMPROPA/,152,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBJTDXQELPUYQUGXRVE77KPVARQ/,37,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRBEKQJDBMOYW74M36NBOWVVSGQ/,21,Public
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZVO4NVK3NSDI3R4XSNZNKZQDVA/,54,Public
99,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIWP7Q6AIRSSHIMOS5Y5Q6K7FOQ/,71,Public
246,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7F6LUNTXN7XEJILNHOQEPOVXEA/,63,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWTC22VOVQIR7Q5OUGTAXLEQPYA/,20,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMA62H7QR6UDOVLZMGA4PVJX4SA/,34,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVRCOKMTY4GQR3GRCIC72UUFEHQ/,28,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWXRTL5UAKVWUC2J2YUBZPE2ZIQ/,129,Public
88,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKOX57EELE53326XBUU3AYPWNMA/,202,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5JIORHXU4ECOX4KI7FL6SYBKAQ/,117,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSQAB77HBXNUY3V2ZMTVVLCJGGA/,9,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHIMXANCFJX7BY3GHCZUGUE5KYA/,34,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGINW7S3322ITZBETD4EIXUKVVGQ/,13,Public
139,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG246OKHXJZBLPAISFDQROQGESFQ/,63,Public
180,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQEG6DHQJACYPOTPO6XSABTJWLA/,103,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHETR7SWBVJ7NAD3ZVU5MHQTUQ5Q/,60,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGM7EYNYD64EVYJBNBV6PIEZDTRQ/,54,Public
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGR4QSAT6WBZVFISHLH5CKGNKCA/,46,Public
65,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF26V5LRVNZBVTR4TUEE7DWNQTNQ/,105,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHEVIAJ3VIM4LH4QEBJQJ5YK77A/,47,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENV3OGSQK4XRARYTLCUUVVNJVEQ/,69,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHL6AKXE4W4A443FXQHNMGMY7KQ/,35,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELCFKQ2QAKGPVJETPUCJV4WJO6Q/,25,Public
