page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCCSLLVN5VI2KUQFYDBENWAIDYQ/?view=visitor,1567586,103,47,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJ6KFYL7DKHFMJJZ5AKM2EW33SQ/?view=visitor,2909805,88,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGD7XYY5UCNVN7DET2TDBHREQQ2A/?view=visitor,5755047,191,107,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYRBJ3VVVITAX3E2VAZLZFUALKQ/?view=visitor,2443745,100,113,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOUBBQHXDK5M7FY7LBPAA46OKTA/?view=visitor,3681519,69,14,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMCMEAU7QHHT6MP5JAF6E2VURMQ/?view=visitor,2200714,73,20,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOBLWO6UEL6RN6V5LRM6Y7XGLSA/?view=visitor,296031,338,241,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7I325JUZ5RZTPQXIZNWFG3MUZQ/?view=visitor,406628,15,15,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF67MBDECK44XU6TXVZPYIIBHBGQ/?view=visitor,3705254,73,45,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIPD5IIZQJA55O4M2IPQTJDA3YQ/?view=visitor,4017695,15,40,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZ6JYWREBVWIKFOLXFL66MB2XBQ/?view=visitor,4098955,24,14,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSSFXOYXYTBJJ56IS72GUYC2T2A/?view=visitor,156345,95,41,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHONLU7RVMDIMOQFGWTGJSFHIRRQ/?view=visitor,84172,103,137,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4O3SEEHZTUGVKTLNM3ZODK2UTQ/?view=visitor,84001525,100,55,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHAJXONQY2TVNUGQ2MDYCK3SA2ZQ/?view=visitor,2542361,100,30,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHI4HKUICTTFVRX2QIEA4Q3RH2A/?view=visitor,338057,37,42,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCW7QJO53VRLPMS5I6BLZJDP46A/?view=visitor,977223,169,188,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AETBPSOE6M3KLCM5CW2S6F26AYKA/?view=visitor,2245542,17,35,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJP75NKSXTF5W66Y6XBBBAEM7AA/?view=visitor,316896,13,28,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE34T3FQHJW6K3UMYLYXX4FHB2RA/?view=visitor,11927660,155,149,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNDUW36R6PRQHVHVLQ7SETBGX4A/?view=visitor,232172,2,18,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGG5QSGMSOZXJM7ZYGUSIIRTWWBA/?view=visitor,270049,14,23,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7TZG2X2HAJ5T76E6U5HXN7TA6A/?view=visitor,128979,97,57,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKSSHY2UASCGZ66ZNLAGYJQ3UQQ/?view=visitor,298184,4,9,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZFZGO3JWJ4M7LWLI5E4L5WWNHA/?view=visitor,84093070,15,17,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2XDJYBOJ4OBRJJ3YYF26KUSSVA/?view=visitor,2642246,70,142,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AET4W2ISOT4PO5EJY5RVVTR3K3VA/?view=visitor,464529,46,52,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOXB5IWEO4PMWQRCEWQ2O547T4Q/?view=visitor,2613317,4,32,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGPEK7257QKHBJVORRX7F4CTK6IQ/?view=visitor,1138163,3,15,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4PANIGQVSF3Z2POHUFAGHI6DEQ/?view=visitor,1917189,7,18,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOLDKKU62VRT5RMLZ5A7Z55TD2Q/?view=visitor,83399905,27,31,Public
