author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Angie SKYHH,/gp/profile/amzn1.account.AGXICKG7KL4K5R7AOEPC7VSOEWKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 15, 2019",1,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Love love love this necklace. It makes me feel extra sexy when wearing it. It's comfortable and hasn't faded or tarnished yet. I wear this at least once a week and I’m still in love with it!,Sexy necklace,Verified Purchase,72 people found this helpful,,1567586,103,47,Public
shaundrajoy,/gp/profile/amzn1.account.AFNOQJB3AQ4JBUD5MMOTESNX4COQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 27, 2020",1,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I wear this necklace almost everyday! It’s the perfect delicate accessory to almost everything I wear. I tend to wear the crossbar piece by itself A LOT but I LOVE how you can do any of the pieces together and separate! I initially didn’t know if I would like that only because I have several layered necklaces that are all one piece and they are convenient to put on, but I am loving this option! All pieces are very light weight and do not rub or pull on the neck and the clasp is easy to latch. One small thing is the longest necklace tends to slide around showing the clasp throughout the day and I have to keep making sure it’s not showing. Otherwise great necklace and I will buy again to make sure I keep an extra on hand for myself or a gift.",Simple and beautiful!,"Style: ""3PCS - Two Circles&Bar&Hammered DiscVerified Purchase",44 people found this helpful,,2909805,88,20,Public
Fit4Fifty,/gp/profile/amzn1.account.AFSSFXOYXYTBJJ56IS72GUYC2T2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 22, 2020",3,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Absolutely love these tiny delicate necklaces.  They are well made and so pretty on! Also the pearls are real! I didn’t think they would be but they are - pleasantly surprised.  This is one of the two diferente sets and I love them both! Love love love them! I wonder if they have them in silver as well??  Wyd definitely buy them too! ,) you will not be disappointed!,Love these!!!,Verified Purchase,47 people found this helpful,5755047,191,107,Public
Shawanda Owens,/gp/profile/amzn1.account.AG7TZG2X2HAJ5T76E6U5HXN7TA6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2020",1,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,The.4 layered was much nicer than I expected.  Looked very expensive.  I saw the one bad review and was confused on what the person was speaking on because what I received in the mail was pretty nice. I am going to wear my set for date nights only which is why I purchased. It def doesnt look like the cheap cosmetic jewelry you would purchase at a clothing store. FyI....I played dress up just so I could take this pick in my new set. Sexyyyyyy mama!,Dont wait....buy it!!,"Style: ""4PCS - Bead&Bar&Hammered Disc&RodVerified Purchase",35 people found this helpful,,2443745,100,113,Public
Sarah P.,/gp/profile/amzn1.account.AFCW7QJO53VRLPMS5I6BLZJDP46A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 3, 2019",2,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Its actually two separate necklaces! From the pictures I assumed the necklaces were attached but they are not which I am very excited about! Now I can wear them either as both or one or the other. I havent wore them yet so I'm sure about anything else but they look really good and were packaged nicely. 2 necklaces for the price of 1! can't beat that! I will probably be buy another set. I originally ordered these to wear with a black dress. These necklaces compliment the dress really well.,Its actually two separate necklaces! :),Style: 2PCS - Small Disc&DiscVerified Purchase,17 people found this helpful,,3681519,69,14,Public
Skye,/gp/profile/amzn1.account.AHOBLWO6UEL6RN6V5LRM6Y7XGLSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 28, 2020",1,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Such cute little necklaces! They come separate, so you can mix and match (wear 1, 2 or all 3) which is great for matching different outfits. When all three are layered, they are dainty enough to still look nice. Smallest necklace fits like a loose choker, and longest necklace lands right about cleavage (I am 5’5”).",Love these cute necklaces!,"Style: ""3PCS - Pearls&Bar&Hammered DiscVerified Purchase",15 people found this helpful,,2200714,73,20,Public
contractswriter,/gp/profile/amzn1.account.AGCCSLLVN5VI2KUQFYDBENWAIDYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 8, 2020",0,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"When you buy cheap jewelry it usually shows. This set of necklaces are really cute. I have no idea if the material will tarnish, fade, turn purple lol, but if you only wear it occasionally I can see this lasting. Obviously the chains are cheap but they truly don't look as cheap as others I've seen and bought.Having 4 separate necklaces is a pain, you have to clasp each one on, but it's also good because you can adjust as needed. I really like these. The packaging was very nice, all 4 came separately packaged and all inside a little black velvet drawstring bag. While I appreciate that little bag, if I had the choice to pay a little less, they could have kept the bag for someone else. But i'll repurpose and regift the little bag.",Much prettier than I expected,"Style: ""4PCS - Bead&Bar&Hammered Disc&RodVerified Purchase",9 people found this helpful,,296031,338,241,Public
June,/gp/profile/amzn1.account.AEJ6KFYL7DKHFMJJZ5AKM2EW33SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2020",0,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I am honestly shocked at the quality of this necklace set! For the price I really wasn't expecting much. It is very beautiful and a solid piece of jewelry. The gold bar necklace is heavy and feels very sturdy. Not so heavy where it's uncomfortable but it isn't flimsy. I have purchased similar necklace sets from other sellers and this one is a much higher quality it seems. I've only worn it one day so I can't say how it will stand up against daily wear and I hope it doesn't fade or change colors but with this price I wouldn't be upset if it does.,Beautiful and great price!,"Style: ""3PCS - Two Circles&Bar&Hammered DiscVerified Purchase",8 people found this helpful,,406628,15,15,Public
Deanna P.,/gp/profile/amzn1.account.AGMUGAE6HAR7PEVGQTC7ZIOHJVQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2020",0,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Bought this set 2 months ago and I’m really not exaggerating when I say I think I’ve worn one or more of them almost every day since. They are super versatile, a very nice shade of gold, don’t look cheap and I get compliments on them a lot! So far there is zero sign of tarnish. Just wish they offered this exact necklace in silver, I’d buy it in a heartbeat.",Love these necklaces!,"Style: ""4PCS - Bead&Bar&Hammered Disc&RodVerified Purchase",7 people found this helpful,,3705254,73,45,Public
Amy H,/gp/profile/amzn1.account.AGD7XYY5UCNVN7DET2TDBHREQQ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 28, 2020",0,,https://www.amazon.com/Turandoss-Layering-Necklace-Hammered-Pendant/product-reviews/B07YCQB3NJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"They come as 3 separate necklaces. I am unhappy with the purchase because of how long they are. They look terrible on me layered because each necklace is way too long, even clasped at the shortest length. Imnot sure how anyone layers these to make them look good when chains are so long. Other than that, they are cute and I would wear them no problem.",Chains are way too long,"Style: ""3PCS - Pearls&Bar&Hammered DiscVerified Purchase",2 people found this helpful,,4017695,15,40,Public
