helpful_votes,page_url,total_review,visibility_status
126,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHPOMDKZ7J2C4UPZXHINWVA5Z7A/,69,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNOPUC4GXKI2FQDHXR6WWSAGHZA/,130,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVTKKJXQAY2LYCVDI3WKL7GX5CQ/,48,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZNLSZTCQJB6BIXOMVRS2CWMLCA/,40,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEI6AKFCKOBEXFEGIHO6A32L7WAQ/,71,Public
128,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4427FG4RE73QH67XM525O56Q4Q/,141,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHA5XNZEEO7UREX3H2NGOMP6OFLA/,67,Public
"1,080",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEWXI7L6WXMZ74ESWAZSPGJQTPQ/,299,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMMVLOEUU4RRD3CQ4XHRV7LT5CQ/,9,Public
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOIRW7FWGZCLIZKYMLUHMJJ5L2Q/,82,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTPTRZU562SGHUI37STJRJZE4SQ/,100,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEGTJ4DEYQHDLIIVAH47GXLXNBA/,29,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQLYKJNO3BTBJEYHHH5UIJ4SJSA/,26,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKD3U3PPONL75G4F6E4DMB2GG6Q/,62,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGADMAPKQTXG2OMPIK2247MGWCTQ/,83,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYGI7HYKRO2WVUZPEUU7L7HURNQ/,48,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBG4XINSOKDQZDNOQNMV74WQ5LA/,9,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEY22SEW7XFHZVKGZAD4A7J3M4ZQ/,49,Public
