helpful_votes,page_url,total_review,visibility_status
502,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPA4I5G3XLPMXIC42RP7IBMAICA/,35,Public
"6,453",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCA64OUVM2TJGNN3IUXMEU7KF6Q/,"2,704",Public
453,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFIX5WF37MQC5G7TPHH4MV2OBKA/,114,Public
"1,165",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBGMVTXWTS4YMVMWUUF77UAH24A/,245,Public
144,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFC6ZGYI63ALGBPR7N4CYQVBL3UQ/,115,Public
324,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQLQXFUBA6G3GPVCOFFPG5X5O4A/,167,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWODG73SLTBUQIVL4EU7E4YKPHQ/,178,Public
115,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOAXDCLPEXS7YL3OEYR35XTKPMA/,120,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNYQR4DOVADYXKBYCFUN3LHL7ZA/,34,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7ZJ7XMCMONP2MM2MNC7QGLA7PA/,33,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOEYEAUF6WY7FD6FIFEZ3ARDIFQ/,57,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOPLXWI2KTBJASPPXUNVMHXUNJQ/,28,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWU52YFRJ6KM4PAHAB4ADBCDG6Q/,234,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJUO5VVT6YVYRKYOD22BOCDL7LQ/,74,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3DC4EQGNCIUGMOHWEYX2KMMTIA/,133,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCPS3TMXJRIPU2JGVJVYDW263AQ/,66,Public
205,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNS2L263DN2GKBBKM56SMPNUNTA/,109,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIEYJYOIG7SQSUZWFLCVYHHS4XA/,44,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZGI4P5BH45K4E6SQLXSZJPNRJQ/,194,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMJ2HVBKROHBFGPFJSOTXMWZE2Q/,69,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEPWBAIRVPDOLSVOIKTCNQ7W3JQ/,78,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTOOTWRE6X3HN6N7ZMIT32KIKUA/,149,Public
312,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF625BBEJE4HDHDPS56BDVLYBEXQ/,268,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5RRMT532TTH2S22JCLCWFSOMEA/,24,Public
278,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH42H7ZHRJCQXUVJZVIZLP77EE7Q/,107,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLKDDHAKB24QHFH5TKFR2X67AMA/,64,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZMY6QMHQC6RHKK752CBBN7THFA/,64,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPMDCW7WPGG4L3Y3R53LJI6CF2A/,30,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF37XVVSYSCMEH4ATMJERB4OBIWA/,76,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENSVO7IDPTEN4ESZHXM24CUTP4Q/,77,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVKZ4UTJEHS66CDQU3Z4T4FASHQ/,97,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGC7BGWHAL5WRRJMU3HSRTRI64ZQ/,36,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET6RY4UPOVZGK6T6N7JCRG6JDQQ/,120,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECSCQQEJBY5E4FQJ6XBBALSU5PQ/,66,Public
330,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2XTH3V2CG3WXNJXDPBQJZKHIIA/,373,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXJUK7EDZKQUCMJMALJMDS3NVCA/,54,Public
937,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYGIFWQDAAK7QUANZKCVRC5VPXQ/,184,Public
456,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNJ5MS6FJSJZDNTUQVJ7EAKBMHA/,278,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4VKI364MSKMG2EGIHUWF3Z4GJA/,31,Public
409,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPPKMOIZLXBUUFR3UOHNRSLLL6A/,594,Public
468,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOCNUCC7EHDLTV4SGLOK3TBMPWQ/,115,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELEUBWR2Q5BTC4VKTXXBE5FU4CQ/,22,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBBPZCV5XSUXGH2D3QZ77YTA5OA/,37,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVSW7B5WZZKAQ5UBY45UNHT34DQ/,60,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET4KA5MU3MPZYV2GBOBZN6N5M7Q/,27,Public
263,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFXF5KNQHBJHMJXL37SQFVHMFQQ/,282,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXVRTJXY3VFKFXBBV675BHSTFEQ/,39,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3FLHR5R2RFQK357HE43ZOTJRDQ/,26,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIGTFNLRXFKQBV47CGMYDPCJEGA/,52,Public
144,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHF6UFEYEFNYIB6NKQDK76ZHZFRA/,87,Public
