page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPA4I5G3XLPMXIC42RP7IBMAICA/?view=visitor,315704
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCA64OUVM2TJGNN3IUXMEU7KF6Q/?view=visitor,1591
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFIX5WF37MQC5G7TPHH4MV2OBKA/?view=visitor,42162
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBGMVTXWTS4YMVMWUUF77UAH24A/?view=visitor,6798
https://www.amazon.com/profilewidget/bio/amzn1.account.AFC6ZGYI63ALGBPR7N4CYQVBL3UQ/?view=visitor,274401
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQLQXFUBA6G3GPVCOFFPG5X5O4A/?view=visitor,39057
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWODG73SLTBUQIVL4EU7E4YKPHQ/?view=visitor,179183
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOAXDCLPEXS7YL3OEYR35XTKPMA/?view=visitor,85923
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNYQR4DOVADYXKBYCFUN3LHL7ZA/?view=visitor,1724030
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7ZJ7XMCMONP2MM2MNC7QGLA7PA/?view=visitor,539871
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOEYEAUF6WY7FD6FIFEZ3ARDIFQ/?view=visitor,892760
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOPLXWI2KTBJASPPXUNVMHXUNJQ/?view=visitor,2507867
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWU52YFRJ6KM4PAHAB4ADBCDG6Q/?view=visitor,880157
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJUO5VVT6YVYRKYOD22BOCDL7LQ/?view=visitor,1416302
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3DC4EQGNCIUGMOHWEYX2KMMTIA/?view=visitor,578582
