helpful_votes,page_url,total_review,visibility_status
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBMZFQAATLK7JMHCXXIY4S53SOQ/,41,Public
210,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFIRAEA2RXTCGPXKABG6QBNCE2A/,125,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMWOWZULPVNGMYCM2VU63NI7L5A/,11,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUNTJPLD2IY6JZXFFOAUKHDC4FA/,15,Public
"1,099",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTMGTCCD2F45YP7J7TWBUEDFQYA/,398,Public
533,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW5ML5HHJ4USW4TUIK547NIZ2TQ/,287,Public
"14,126",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNSPBV7PHDGBA5BA4ZGEJNAF7CQ/,"5,653",Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTQE7QMBHZX2G4A7C344GQQMRZA/,40,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMYJ6PK472IOIXEPEY7CDVPUUKA/,205,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCVBF3JHW2FAVMPACT2NRESLLWA/,47,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSJTPGMJMSCYG37O5WCR3RIGBOQ/,102,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3IKQOBNYACMKNSDZ4L2FR2UW5A/,36,Public
150,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDDCJSDB3MJET7FE3LS5JZLXT5A/,211,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIFYL63WU5TMXQBM2PGHSM4ZIMQ/,28,Public
351,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBGV63PYLULYOIJWEW52V2OOSYA/,217,Public
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMH34JNMSDODYRIDAJQAUHFPJWQ/,120,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJF4F43CQM4IOENRKTP6ZSOWQSA/,38,Public
"23,527",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFG667OLLUYVPJJLG3CMF66FYI2Q/,"3,975",Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMP7K53MU6BSMXZOKTH5XDLMWMA/,67,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQMGLBTNC2XGZBHWUXJEGJEJTJQ/,33,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE76N7K4WBP7IMCCKX6EDN24N2CA/,65,Public
342,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWLU2RYONIAZY3O7MCULXTSLCDA/,498,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH53BTRILJ2TXWMLGYP673KR6FQA/,118,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJCTPF2KPDPQFRD7GZJDOWYGW5Q/,62,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ2YRDTSKN2YIKYTLTKMZQT5I4Q/,58,Public
"1,739",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6UNT42BQXORCTB7TSKYRAKUZMQ/,204,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOWZQU2INBHNTWTYWTR2FIRXVBA/,34,Public
