helpful_votes,page_url,total_review,visibility_status
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFECZBONMCCKKCCK63UCEANA4E3A,16,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAWNQCKVG4THJDYJMLDXVHXYB3A,63,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4BIQ26I7FCKNT33WUJ6SBPFZRA,147,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5IPVRH5EAIUI367XTHAT54WHWQ,26,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2NRARONGCQM3O7WGVWD7XULINA,7,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4W4Q5WNWZQTORKKTVBUOEKZZPQ,15,Public
112,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCCWPVEZBK7L2AWGHFVRT5WVJ6Q,27,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVQAQ5L5GFABOWLIRU5GKY3Z7UQ,46,Public
112,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUV5VU7WJALOU2ZDN7RYB2JZ6JQ,51,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFBCESK74AKCCYP2UTUEWI3PBDA,10,Public
110,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWFE4NXKM62J2DLPJJDR56FZ3QA,20,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE47GBKFUUZI6XSXIWQX7TB4IMQ,46,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6SYGOWRZNXNRS4A6JYOXOG5WCA,110,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQK7TAYNHEMZ5ETX3BQJTSA3GTA,32,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGE7OLKQZXVE6EPJTWUMJ7JTNIJQ,137,Public
344,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGE5K7EAEMUMGEQOWO3J6T2YLKBA,48,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELCFR5XBBMJANLHQVHOTQYABSNA,4,Public
247,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGADK473KEKO65JBJ3W5RIGGFILA,120,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK2FCOY5OZ6KG4U23CFQZSHDKBA,81,Public
797,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVVOLBF222J74TIHQCKNSUHCQZA,125,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4MER2KXB5Y55OW5RXGRPQ3SOXQ,7,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA72KD3SEJ6ARH36AHRKTJOEV3Q,11,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH5XG4JFZDV65ZUQQ5VY6SORG5A,41,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCKZGZLQQTQO6DYU2X3KSJBEMRA,26,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETH7UHFYSHQS2BMSYDQUJVLIACA,32,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5K5WJ5YHZLIGSKADOL6QQJCHWA,30,Public
"1,105",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTT45F7ECBD72O4TMHYZJUTDF3Q,319,Public
319,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESXGQCSY4HMOSNO4EBQQPBWWODA,332,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWSFM6JWRMRF6TRQFV5WZGGWN5Q,37,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKJDJBMORGJXAAOWL45JJ6HI6DA,11,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7HGBVXLQVGIKXEFM3HRA6W7W3A,2,Public
78,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBR2BWXTY4A6KZCNXH7PGUSOOKA,24,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGT4H2I6IE7XQLU7IO22KUIIQKFA,19,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6NIR7WECMNV7EBQQPIBBOJYLSA,19,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHAWZ45VSGM46KV22FSLXPQIKFQ,9,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDQUNB4KPTD6KNX3NAABKYKZ5IA,83,Public
85,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZYHYHYZIQXRJIUJNTYGGELS3BQ,374,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLVOMDMU6UXFGOE2N7HYEA47FVQ,43,Public
230,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHO4A5E6M2SJXURLZQL3EIZFPVLQ,159,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDJRBUN4GRDYKQCZGA3O4SHXENA,39,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHVHXFOIXHMVJR7NA4OTR6KYGXA,22,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWNOMSV23ABPIJG7IIVO3UHB2HQ,77,Public
175,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQ3T2IFOJPZAEFAA6GSMU677X3A,55,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELVF7SJ7ZRCRUH6QHQ2BDVGG72A,12,Public
395,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHDZQAQGVKLQKCU4QPBAQ2OLNKA,128,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSIN7W56G67J2UPAOQVN3JOIXKQ,28,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOHUC5LEXUDXWUYBKS636QLHMHQ,42,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK57USFY3DGA6GRR4ULSI2RK5HQ,30,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEK3O2HLYRXDQTCCZV6NLE3VN6HA,53,Public
372,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXRFZSX7TCBV6EM57FEUNRR254A,114,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJULGCYUJLE7IVFE6IEWDMQZP6A,50,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRRSIWMIFFEXXPTBPLYSS4IGZBQ,57,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLAOQECN7IGUEJSU7N5HZBPYDBQ,16,Public
115,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGDF4HEKIPWJGUISXJQUX5SVNEA,27,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTOTAKAWMRZXXE3YCLH26UVENEQ,24,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEF2YUELRU4FKBRZ2NLRC7YEEUOQ,67,Public
236,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF47R5IZPVVAUFKIA5QPH56ETOSA,41,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETTTPY4B7JZGOPOWS3X2YKTV5LQ,28,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQCJFUHPDXR35NK4FENQUFTPCDA,27,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKTS3TBGWMIACLX3YBOVBLH2Y7A,13,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4ENTJQHE63AJWPPSDHVSV76WAQ,83,Public
65,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHNVT3YWSNT3OE2MPBLMDVDPWHQ,84,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMJANHWWKLNSB3BAD5VTZFQNDDQ,99,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMMQ2XHF2H6KDQ4NW44THGFJWHQ,29,Public
806,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDWPE3R7EIA3BYD7WQXDTJB5NQA,174,Public
122,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMD76GM2JT7JKC6TQSUFQMXT63Q,122,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3CGFM4KJ43AIB2ELXU6CQUCMGA,10,Public
