helpful_votes,page_url,total_review,visibility_status
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3OTNWR3FKIHB4UULWPPMYH3K2Q/,60,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6QS3J4BN3DQHRBO5H4K7IFM3ZQ/,194,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFO7WIOVMFY6FTKFFDNX2RV3WTEA/,114,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF33TLJFBUCWFC3AO6I5EXD5UDKQ/,53,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6KPT4O7PCYQIIPKTNZMI3XLD3Q/,40,Public
189,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD5W6XKCNMQZ6V4EEGH6D7CCSQA/,177,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQK2IVRVVA6XONIRVA2R4LZFJPQ/,81,Public
196,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFI62GDIA7FXO7GDNJXGLLKUC6BA/,277,Public
515,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBJHYKM7JXEB3KL4L2MXJRP6WSA/,218,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHRVUUF6YQIPPLIRDGDJQP4D43Q/,289,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSOFZNJ5EOZVPAOOL3TOYFDFJEA/,6,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHARWJWRYICBYQBSMP2CPTKFODJA/,11,Public
352,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGTILNM4QMYUNHHATID6W2XC42Q/,424,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5PE2OYGUSGZYQSRECTRIAOOCBA/,57,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERE335SQZ3ISFPFDLEMLFYM2HQA/,39,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI5E5JDWA2SLAPYBFGGHO4RO7AQ/,63,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFB4NNCMNYOV2OVI33XPQWNRJPHA/,26,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAOHAXLABALE5VMEYM6PMFHTT6Q/,83,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJOY65KUADNQYDKE7I42MWMRDUQ/,29,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSDKFWWCZJXWEZSPIQPV4FCYHKA/,123,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBLDOQDHPITNO4F74QHTMDHVGEA/,29,Public
152,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGF76JMPUNSQCDFBIIG4PXAZRZQ/,30,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVPUR3FYBEIAHFRUFBOFCZKI5QA/,55,Public
"1,059",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFOIQDVOEQCML6IQ5DSX3KUYK2A/,695,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQF2EZJZZ6QMUOOVAC66A6YBTWA/,45,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN6PFQ64ERHWK6VU2CRGEB4V53A/,295,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5MYK3TWDRM3P7EVGEUJK5LVIOA/,17,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIVIQXVSYKUPTFXDLBHY7HBQHIA/,29,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFNTVXPE7RUQAVB2Y5VDSCQDRRA/,43,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDWD3XB54SRAERVUUQ5NJMC7RZQ/,4,Public
212,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCUAVRBYSBQDUUOOPZCT2F7UG4Q/,100,Public
604,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2B7FPCYGJITQC4SKC3CC5Z3R4Q/,"1,570",Public
167,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOCFVTQL6FPQTRRFVZ3UPLZMFYA/,315,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNELT7LFMIONLKTB6X4VDV7XLNA/,59,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHRPYPOWI5CHK72RFXLJDOWN36Q/,36,Public
245,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHU74CLTCPLN2OK4K25VR64762AQ/,86,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUNO5OSSNUI5PIPTH2TBFLR7QNQ/,26,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERKMCEDAUSC3RQUSXCKPK45YBEQ/,121,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4ZAUOX2RJARXSY5PFXBMBNVNSA/,42,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6Z3M2CFHTGDV4D3DXGP2MHOPYQ/,44,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAYL4KZKCVVHMKGLP7S37GJ4VOQ/,90,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVGKEUZC64V7IVU5W66PH7MHBZQ/,144,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEO6DVQEPAFKHEWKO5VWJPXV5JUQ/,41,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2XDY4VE6XMNMWCT5QIKWG35EJA/,152,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOKC37OI2SUK7GY5CSXXKHKYLWQ/,25,Public
509,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEB7PR5ZKA7OLF2YBVAZJTS6VFQ/,258,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHGJ2NCED2M7KSUNYERH34AAHFQ/,85,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDGP2KOQFBRW6GO6DQIQYEFZXYQ/,31,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3CSPWHSNMHR27HGFVFQFQQVSRQ/,26,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7RI2ZF2E5DZ64RTNJNCECKKQIA/,56,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGXR6JCXNEQMLRMNP6WF6IOPFCQ/,23,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5TRQO53JWTUXBFAOIHDX3LQ75Q/,63,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQZCP7Y2K7II3OGAACKBKDS4TCQ/,42,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW6CZKLUX5QTKYZRCY43VURMR3Q/,212,Public
173,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXROQXQAS43AURY6MNMB4PNPYEA/,132,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPQ5CVCVX26F2EK555R6E3HCEOQ/,107,Public
286,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOWRVC7HE2BQRC4JHKTLOKRCUTA/,57,Public
571,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5D546WQ46GQHQ3SB7PWBTBOOBQ/,647,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHCNFAVFLGBWQRXCMUMRQSAEY7Q/,119,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEN4MFRKNPTXDKXUBBBY3P6277SQ/,164,Public
245,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRFLQBQASBJTBWQJLTK6AEVJLKQ/,331,Public
110,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBJNBMKHZT2FYTJRHYTSNC566IA/,121,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHORTSSMI6ZZFUFWMPT4UFR2ISUQ/,119,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6LMS3IJ5QIPR4HLM4NCLGJBGJQ/,88,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG54R2YZYTJXYNJBA4JZV3AKIXMQ/,19,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSHLQPAV5MYY2O54ML5BLOAZABQ/,103,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJHE4C72JSBANJU54DU6QE6OYTQ/,47,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFN3H5B63O7VXYEAXRBRM5LCH44Q/,36,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJNSDA34H4ADYBALH467ARTGAKQ/,24,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE34GOGTLSKRZTGPIQXDT7OHVBYA/,199,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWKK6AX7XNT6Y6CBIYZFT23OLSA/,68,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDSYWWBSYHS3CPXYO3RQ7CG7CYQ/,34,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAJDKSKG4ESURBWPUYIF74CNDHQ/,379,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHNZKNCV6H5MTBAWZVTNXAYLNFQ/,15,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFYE4YUYZBYSR4OKYWURQMVYQNQ/,26,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKAKVGII77QM4V6BQ72UJ7UGJLA/,92,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFC5ZLWDUWGC72UI3F6C4DJYSAQ/,43,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIU3SF2ZQJUTPN7SGETLCIQZU4Q/,210,Public
