author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Toro Hill,amzn1.account.AF3MDTNN2TQXH5ZYWH5JGTSTJFPA,"Reviewed in the United States on November 7, 2018",0,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I have bought multiple pairs of these exact socks from various different stores in the past. As far as I can tell these socks (https://www.amazon.com/dp/B0016CL88E) are not genuine Balega socks.* The weave of the fabric is not as tight.* The fit of the socks is not they same (they come higher on the ankle).* The lettering on top of the socks does not match my other Balega socks.* There are simple spelling mistakes on the packaging (eg. pereormance instead of performance).* The printed cardboard packaging says made in South Africa, but there is sticker on the outside of the package that says made in China.The socks I bought were sold by ALXMJ SPORT BAND (https://www.amazon.com/sp?seller=A3OCO0GGZLIM0G).",Not genuine Balega,Size: LargeColor: WhiteVerified Purchase,588 people found this helpful,589,1,Public,5373178
clinster,amzn1.account.AFWC57EVTKAABNUI5LQB6VZN3AMQ,"Reviewed in the United States on December 16, 2018",4,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"These are comfortable, but not like any Belega I own.  I believe I received counterfeit socks.  Packaging says, ""Made in China."" Balega manufactures in South Africa and North Carolina only.  Some wording on the packaging is ""off."" Logo embroidery on the socks is larger, and the elastic band around the ankle is missing.",Likely counterfeit item. ☹️,Size: LargeColor: Mid Grey / CarbonVerified Purchase,512 people found this helpful,515,31,Public,130930
GuidoFamily,amzn1.account.AH45RPEBHK4IM4VR3AXW7M2NP5PA,"Reviewed in the United States on July 26, 2016",0,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I have a number of pairs of Balega socks which I've worn for running, and the Soft Tread is my favorite overall. Here's a few comparative thoughts.I've bought five different types of Balega socks in total:Balega Soft Tread No Show (  Balega Soft Tread No Show - Royal BAL8926          )Balega Ultralight No Show (  Balega Ultralight No Show Socks - Royal Blue/White - Small          )Balega Hidden Contour (  Balega Hidden Contour Socks, Black/Yellow, Large          )Balega Hidden Comfort -- THIS PRODUCTBalega Blister Resist No Show (  Balega Blister Resist No Show Socks, White, Large          )The Balega Ultralight are very thin and rather smaller--especially in comparison to the other models. I've bought size Large in every sock, and they vary quite a bit. (For reference, I normally wear a men's 10, though I wear 11s for running.) If you like thin small socks, you may like the ultralight. Or go a size big if you want them to fit more comfortably.On the other hand, the Blister Resist were way too thick and large. They had so much excess material that they felt horrible and my feet moved around in them. They are very hot. The material on the top of the foot is actually very thin, but the bottom makes up for it. That said, They make a comfortable sock to walk around in on my wood floors in the winter. Since I won't run in them, I give them use around the house.The Hidden Contour and Hidden Comfort are similar. The Hidden Comfort are a tad thicker. They are both a bit thicker and larger than the Soft Tread socks, but they are comfortable and nicer for winter weather, when I tend to wear them running. If I were buying more, I'd go for the Hidden Comfort. Mine have stayed superbly comfortable longer than the Hidden Contour and still feel more padded.I like the Soft Tread best (for running) because they are thick enough to be padded and comfortable, but I have to pull them snug on my feet so there is no room for my feet to move against the sock. Also, they are not so thick that I feel my feet get hot -- and I run in 100 degree Texas summer weather. Finally, the Soft Tread are made R and L foot specific, which I've found to be helpful for fit. The Ultralights are as well, but not the other three models, if I recall correctly. Though the Hidden Comfort came with an L on each sock, that stands for ""Large"", not ""Left"". Also, the heel tabs on a lot of these sock models, including this one, are great and do a lot to make sure the sock stays in place.Hopefully this review helps a few folks decide what Balega sock might be best for them if they're looking to purchase. If you have questions, comment and I'll try to answer them.",Comparative review of five Balega sock models,Size: LargeColor: CharcoalVerified Purchase,995 people found this helpful,"3,160",203,Public,90932
Dockens,amzn1.account.AENGSBLTYEDODKRYXFZD3YQ4EG7Q,"Reviewed in the United States on January 24, 2020",3,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"These are not authentic socks. I have purchased several pairs this year and finally after seeing a few reviews about authenticity I bought a few pars from the company. So here is the deal, Balega makes socks in two locations, South Africa and North Carolina, not in China, none in China!!!! These socks I get from Amazon are made in China, the ones I get from Balega are made in South Africa. I have included a few pictures, the sock on the right is Authentic and made in South Africa, the sock on the left is Amazon, same sock, different colors, so they should be the same, minus color. You will see that the authentic sock is much more plush, the ankle fusion is actually very soft and thick, and they have not fallen a part. My Amazon ones have already started to show holes in the forefoot. Last image is the packaging showing the location where the socks are made, on the front!!Once again, why buy counterfeit socks for the same price? This has been a well documented problem on Amazon, fake Chinese knockoffs for the same price and Amazon turns a blind eye since they made a nice profit.Want to know more about the company, visit their site before you buy here!",Not Authentic and Amazon refuses to listen...,Size: X-LargeColor: CharcoalVerified Purchase,228 people found this helpful,236,21,Public,740930
foqus,amzn1.account.AH6HGUKXN3TOKMTJSD6NYELDT6ZQ,"Reviewed in the United States on September 26, 2017",1,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I discovered the Balega brand after an internet search of running blogs.  For the gym and running, I have always just purchased whatever white ankle socks happened to be on sale at Target or Sears.  Finally, after years and years of suffering with socks that both stretch and thin out after a very short while, I decided to practice the ""you get what you pay for"" method and splurge on some nicer socks.I am extremely happy that I did, and now I own five pairs.  The are extremely comfortable, and since I have followed the washing instructions (no hot water, no bleach, no hot setting on dryer), they have not lost a bit of their fit, color, or comfort!  A few days ago, due to procrastination, I had to search around and find some of my old socks (most are in the garage to use as rags now).  It was such a disappointingly big difference that I almost used the excuse of not having my Balegas as a reason for me not to go run!  Yes, they're that good.I have taken a photo of one inside-out so you can see the stitching for the extra padding for the toes and sole.  There is also a small tab in the back that helps to prevent the heel of these socks from being sucked down into your gym/running shoes.  Balega Hidden Comfort Athletic No Show Running Socks for Men and Women with Seamless Toe, (Medium) - Charcoal",Excellent find...what a difference!,Size: MediumColor: CharcoalVerified Purchase,79 people found this helpful,163,50,Public,843279
AaronJ,amzn1.account.AHBIDMDCQK2KU6HBH7CGRRS3P2EA,"Reviewed in the United States on May 30, 2015",1,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,The socks are not too thin nor too thick. Just perfect. I played basketball with it as well as train for a 10k run with it. My feet always felt cool while just having enough protection from blisters. I wear a sz 9 shoes and the M fits like a glove.,Most comfortable socks I've ever worn,Size: LargeColor: BlackVerified Purchase,201 people found this helpful,220,8,Public,7639672
LMS1115,amzn1.account.AECD2ISWKRK6IHZI5XLTX2T5GKKQ,"Reviewed in the United States on February 27, 2016",1,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"I went by the sizes in the product description and ordered a medium, since I am a female with a size 8 shoe. When I received them, I noticed the sizing on the product was different: according to the company, I should've ordered a small.  They seemed ok when I put them on, so I thought it would still work - it was just half a size off, right? I wore them for the first time this morning when I ran 5.5 miles and I felt like I had two blisters coming up on my toes. The only thing I can think of is that they're slightly big, so they were rubbing more than they would normally.  They seem to be great socks though, and I might consider ordering a small next time.  Just wanted everyone to be aware.",SIZES ARE DIFFERENT ON PRODUCT!,Size: MediumColor: BlackVerified Purchase,107 people found this helpful,170,38,Public,1521409
P. Stevenson,amzn1.account.AESYJOESAGX6BZURFASXA24U7HFQ,"Reviewed in the United States on August 6, 2012",0,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I love these. I just wish they came in tan!,great exercise sock,Size: MediumColor: CharcoalVerified Purchase,827 people found this helpful,"1,499",127,Public,163803
StephenC,amzn1.account.AES4VOGPOPBJ6JVKWI6SYQHH2S3A,"Reviewed in the United States on March 25, 2019",1,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I bought three brands of running socks to try them out (Balega, Rockay, and TSLA). Of the three, the Balega would be the one I would not buy again. It is an acceptable running sock with a tab in the back that keeps it from riding down into the heel. You can buy six pair of TSLA running socks for less than one pair of Balega. I found the TSLA more supportive and reduced friction more than the Balega. If you need arch support then I would go with the Rockay even though it cost more. UPDATE: In less than two months and fewer than ten uses, the toe section shredded. I have worn the other running socks I bought the same amount of times and all of them show no sign of wear. I went for a six mile run and this was what I saw at the end. Nothing was in the shoe to cause this kind of wear and my toenails are nicely trimmed with no sharp corners or rough edges. Poor quality product.",Expensive sock shredded in less than ten uses,Size: LargeColor: Neon BlueVerified Purchase,21 people found this helpful,149,86,Public,808740
JRW,amzn1.account.AHWAC5S2J557QX7FZH5D6FZIGVVA,"Reviewed in the United States on July 2, 2020",3,,https://www.amazon.com/Balega-Hidden-Comfort-No-Show-Running/product-reviews/B0016CJIZO/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I got the electric pink and they are not the same as the other colors I have. They are so thin and I ended my run with blisters today. The packaging looks legit so I don’t know if Balega changed the design or these are fake, but they are terrible.  I felt the difference as soon as I put them on.You can see in the picture that they are much bigger than my other balega and also much thinner. The blue is a size medium that I’ve had and worn and are AMAZING. Soft and comfy, unlike the pink I purchased here.I wish I hadn’t worn them so I could return them. Because they’re going straight to the trash can.","Fake or changed design? Either way, don’t buy the electric pink",Size: MediumColor: Electric Pink/Sherbet PinkVerified Purchase,9 people found this helpful,135,62,Public,385271
