author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Cristopher Boyer,amzn1.account.AEZHF6LRP2OCYZ67Z2JB76DWW4EA,"Reviewed in the United States on December 6, 2017",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"While it may sound backhanded to say that this is the best Mario game since Galaxy, it's not intended as such. Odyssey is spectacular. I've been playing Mario games since the very beginning, so I like to think I know a thing or two about them. Super Mario Odyssey may well be the best 3D Mario game ever made, and it's in my personal top 3 Mario games of all time.As you might've seen advertised, the big new feature is Mario's sentient hat companion Cappy, who lets him possess many of the denizens of the various kingdoms you visit in this adventure. While the highlight of many Super Mario games throughout the years has always been the various suits and power-ups players can get their hands on, being able to outright become many of the creatures you come across is a twist on that formula that lets players do all kinds of new and sometimes unexpected things.While the game is - as expected - family friendly, it provides layers of challenges for players of all ages. Some of the (optional) tasks in the game are outright hair-tearing, for only the most skilled players, but that's part of what achievement is all about! However, while the game is designed to appeal to everyone, Nintendo took the time to add some extra nods to long-time fans, not only in the worlds and the critters/characters you happen across, but through setpieces and a spectacular mid-game musical number that old-timers like me have to appreciate.If you have a Switch, get this game. If you don't have a Switch, get one, and then get this game. Whether you're a new Mario fan or an old one, this is the definitive 3D Super Mario experience.",Nintendo hits a real homer with this Odyssey,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,272 people found this helpful,295,21,Public,1983973.0
Harrison Whitebread,amzn1.account.AETPARPSBO7IF27YPLOAO64S6F3Q,"Reviewed in the United States on February 13, 2018",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This is our first Switch game - my little sister and I have squeezed many hours of co-op as both Mario and Cappy, with many more to go. Such a creative game with such accessible puzzles for all ages, even adults. The music is so wonderful and the environments are spectacular. The controls couldn't be simpler and you know, playing with another person gives you more moves to do with Mario and Cappy. I cannot remember the last time I played a game where playing co-op gave you an advantage other than replacing a buggy AI with a human player. It makes so much sense! There's a true motivation to play with someone else - and not ONLINE.I must say the graphics in Odyssey are gorgeous, far beyond anything out of PS4 or Xbox One. Seriously. It's colorful, vibrant, and deep. Rich hues supplant dullness, even when in areas portrayed to be mysterious or cold. It's just short of inducing synesthesia.I'm so glad Nintendo is finally back! This is the way gaming is supposed to be - light, endlessly fun and inspiring! Too many games on the ""Big Bad Consoles"" are so dark or filled with such negativity - it brings you down without realizing it. Even the ""fun"" titles are just uninspired - they just lack character & development. This Odyssey is such a breath of fresh air - it makes me want to just JUMP UP and go get Breath of the Wild next. Actually, it makes me and my sister just excited about everything, even when we aren't playing the game. We're happier individuals for playing Odyssey, no joke.Nintendo, you've nailed it with the Switch and brought back the joys of gaming to a faithful 90's kid while giving the up and coming younger generation the discovery of something that has been missing from gaming for over 20 years - true, genuine inspiration.","True, Genuine Inspiration",Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,127 people found this helpful,988,77,Public,35365.0
Jennifer Lynn Ross,amzn1.account.AGVYWVD3CUHJTFJS4YDOU5KYMWNQ,"Reviewed in the United States on January 11, 2019",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Don’t purchase digital codes from Amazon for Nintendo Switch games. What they don’t tell you is that it will take at least 4 hours to get the code (usually longer).  Even though you pay for it instantly, you do not get the code instantly. It makes absolutely no sense, just buy it in the Nintendo  eShop.",STOP!,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: DigitalVerified Purchase,94 people found this helpful,102,20,Public,2342886.0
J. Bradford,amzn1.account.AHXT7HF2TQLZTIDAWLVMPLV3KLPA,"Reviewed in the United States on October 27, 2017",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"My review is from the ""father of a toddler"" perspective.  For those of you who have a child on the younger side, and you still enjoy Mario, don't hesitate to buy this game!  My son can sit and watch this as if it is a cartoon and remains entertained the entire time.  Sometimes he will say ""make Mario do this"" and is excited when it happens on screen.  As someone who is a bit older but still enjoys games, it is a treat to find a game that entertains my son while I play.",Fun for the Family,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,523 people found this helpful,653,22,Public,2561152.0
TheCyberQuake,amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,"Reviewed in the United States on November 2, 2017",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Honestly this is my favorite console title to date. Very few games make me want to sit and play for hours on end. Even with Breath of the Wild, I haven't beaten it and can't get myself to play for extended periods of time.But this game is glorious.I'll leave this review spoiler free for the sake of those looking into purchasing this awesome title.It took me about 4 days to beat the main story. This included getting 8 hours of sleep and a work/school schedule. But that was using all of my free time playing this fantastic game. And even after that, there is still a LOT to do after the main story, so I've been playing it still.This is a console quality mario game. In my opinion it's the best 3d open-world mario title to date. Mario 64 will always have that nostaliga spot for me, but this is the new winner in my eyes. Not only because of the gameplay, but with the nature of the switch it's also a portable title. I played this while waiting at campus for a class to start. Almost was late to class because I lost track of time.And the mechanics are great. Even after beating the main story, I find myself learning new advanced moves that make previously tall walls easy to get over.The music is also good. Not all of it is super memorable, but there are several songs in there that I would pay to have downloaded on my phone.I highly recommend anyone who is even remotely considering this game to pick it up. I wasn't even super excited to get it, but decided to give it a go and now it's my new gaming addiction.",Honestly you need this game,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,117 people found this helpful,508,200,Public,75930.0
review by a cat,amzn1.account.AG55TGF2ABTAE2MQ6XKJZJNBT75Q,"Reviewed in the United States on November 27, 2017",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Mario Odyssey is pretty fantastic; it's easily the best Mario game that has come out since the Mario Galaxy series. But it's a little more than that.The gimmick in this one is that you can throw a mind-control hat that allows you to forcefully rule the bodies of other people and creatures; this is probably why Nintendo released the game so close to Halloween in 2017. Mario invades the host like a pathogen and directly controls their motor skills. It's kind of like those parasitic worms that force ants to drown themselves; except you are the worm.Goombas can scream only internally as you force them to smash their heads against blocks for your profit. After your hapless victim is no longer needed, they can be discarded by commanding them to walk off a cliff, right as you return Mario to the physical plane.There's also minigames; such as racing a toy car. But you don't simply throw your hat onto the RC car; oh no. You throw your hat onto a FULLY-GROWN MAN, control his mind, and force his fingers to work the controller in his shaking hands.While mechanically pleasing, I fear that the power given to Mario in this game is too great; and that his character may be crumbl- WAHOO! WAHOO! LETSA GO!-Mario",I for one love possessing other living beings,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,53 people found this helpful,"1,028",21,Public,1995376.0
Mariofan105,amzn1.account.AGPS74J2JVQMHLPGYKT2RESYV6NA,"Reviewed in the United States on April 2, 2019",3,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"What can I say, I grew up playing Mario games & to this day no series of games gets me more excited than the Super Mario series. Super Mario Odyssey was the first true 3D Mario game we received since 2010 when Super Mario Galaxy 2 released. 3D Land & 3D World were both fun, but they didn't capture the feeling of a true 3D Mario game. In 2017 though we received Super Mario Odyssey!Even though the Switch had been out for less than a year, here we had a game that was hyped up great, but could it live up to the hype? For me that answer is a mega YES! Super Mario Odyssey had everything that I had hoped for.Quick Review:-Amazing, creative, & ultra fun gameplay-Power Moons are everywhere making it feel like the action never stops in Odyssey-The different Kingdoms are almost all a blast to explore-Epic soundtrack-All of the different outfits Mario can wear in the game-The final boss battle (the final boss battle, & ending had me so happy as a Mario fan that I had some water in my eyes)Cons:-Beach volleyball (if you played this game you will understand)All in all this has become my all time favorite video game. Just the whole game made me happy (wife & kids enjoyed it a lot also), but for me it was just pure joy to play this game. Truly a magical game for me, I can't say enough good things about it. The Mario series has been a big part of my life, & has helped me through some rough times in my life, so just seeing how far Mario has come over the years with a game like this just makes me feel like a kid again. If you own a Nintendo Switch, this game is a must have.",This game is a true gift to gamers from Nintendo!,Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,31 people found this helpful,"1,118",214,Public,24433.0
Nort Thalem,amzn1.account.AEK3Y7BPE2HRXVFMXLH57SBHVH4A,"Reviewed in the United States on April 28, 2018",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"This edition of Super Mario combines some old and new elements, but takes a big part of it's inspiration from Super Mario 64's star collection and combines it with Korok seed hunting from Breath Of The Wild, giving you over 800 ""Power Moons"" to collect. The story portion is fairly short, and you will practically trip over a power moon every 10 feet to progress to the next kingdom. The game goes on after the theatrics of the story, and it's real content and hours of gameplay depend on if your willing to hunt down the remaining power moons in each kingdom, and thankfully only requires about 600 to unlock the last major challenge and a unique item for beating it.Collecting every last moon however will often force you to complete some incredibly frustrating challenges that had me questioning that this was actually a game and not some attempt to put me in the hospital with a rage induced aneurysm. In particular, the jump rope challenge in New Donk city. Some challenges will require research into advanced jumping maneuvers the game doesn't explain. I wound up refusing to bother with the end-game moon collection until I had the hardest challenges out of the way, since I reasoned it would be wasting time on the rest for game if I knew I'd forever be two moons short of total completion.","Plenty to do if you put the time into it, short on story content.",Hardware Platform: Nintendo SwitchEdition: StandardMedia format: DigitalVerified Purchase,24 people found this helpful,541,78,Public,166144.0
MadHatter,amzn1.account.AGT55FVUVG64BTMGGZ2LZGX7NNZA,"Reviewed in the United States on October 18, 2019",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I bought the game for my 6 year old son.  Its the one game he wanted more than any other on the switch.  We went with the digital code because there are no cartridges to break/lose (our oldest broke his Nintendo 2ds a couple days after he got it because of the cartridge issue, wasnt chancing it).He absolutely loves it.  Its challenging for him, but not impossible.  I can hear him getting mad at something, working out how to beat it, and being so proud/happy/excited when he does.  What makes it better is that he does it on his own.  He doesnt feel so overwhelmed that he has to ask for help.I cant tell you from a personal standpoint what the game is like, or even about.  I can tell you my 6 year old loves it.  Preferred it to Yoshis Crafted world and others.","6 year old LOVES it, and doesnt need help to play!",Hardware Platform: Nintendo SwitchEdition: StandardMedia format: DigitalVerified Purchase,12 people found this helpful,58,18,Public,3153077.0
Grumbo,amzn1.account.AFT4N7Z5HHCHOPIXFEX5DTI6QOFA,"Reviewed in the United States on January 19, 2018",0,,https://www.amazon.com/Super-Mario-Odyssey-Nintendo-Switch/product-reviews/B01MY7GHKJ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This game has a lot of similarities from Mario 64. That's great news because I loved that game!Bowser is back at it again with a white suit this time!Mario and his newly donned friend cappy, set out on an adventure to rescue the princess!Instead of collecting Stars, you now collect Moons.Instead of jumping into paintings you use your Moon powered spaceship to fly to different worldsAnd while it all feels similar there is so much that makes this game addicting and new. Every world you explore is rich in detail, with so many things to do that you are going to have a hard time completing everything! Any enemy without a hat on can now be controlled. Each enemy that you control has its own abilities and really helps create a dynamic world that allows you to explore, and accomplish the same goal multiple different ways.What i really like is once the main story line is complete, there are still more worlds to discover and keep the game play going! This is a game that we will be playing for a long time to come!","If you liked Mario 64, you're going to Love Odyssey!",Hardware Platform: Nintendo SwitchEdition: StandardMedia format: PhysicalVerified Purchase,20 people found this helpful,"4,676",137,Public,66558.0
