author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Gail Luanne,amzn1.account.AH27QVL7N35XH67MFLSLRLFPZZ2A,"Reviewed in the United States on January 9, 2021",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"I purchased a Turbo Tax Deluxe 2020 Download today. I was able to download it. When I ran install, it installed Turbo Tax, ran updates, and then asked if we should run Turbo Tax. I said yes, the Activate screen came on and it froze. I deleted and reinstalled it, several times.I have a brand new Dell Inspiron. When I went online for help, I saw many complaints the same as mine. And half of those said they had a new pc. So I tried installing Turbo Tax 2019, which I used last year, on my old laptop, with no issues. I did the same thing.My wise husband began looking for what was different. After hours of fussing, he changed the Windows display resolution from 1920x1080 to the same as my old machine, 1366x768. I retried the activation and was then successful.  Once activated I changed my display resolution  back to default and now it works.  I hope this helps others as well.I'm a 15 year user of Turbo Tax and I love it. They do need help with their support though.",Possible resolution to problems loading with new laptops,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,85 people found this helpful,127,55,Public,213391
J-Alan,amzn1.account.AGW5QXFNP3QCB7WKOIJL4A6BCKQQ,"Reviewed in the United States on December 30, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,2.0 out of 5 stars,"I've used TT for years............ many years............I purchased online from Amazon.  Have a key, or ID that was supplied by them.Install for W10 went fine.  I began to use it, and all was fine.Now, I go to do the state info.........it downloads the state (NJ), all seems fine.  Then, it brings me right back to asking me if I want to contact Intuit Sales and Service.  What a joke.  A bunch of automated prompts, and then finished with a text linking me to ""how to install"".  I feel I am dealing with China.If the NJ state is broke, then TELL me............. don't keep asking me to pay for it and looping me to death!I am quite annoyed.  Right now, I would not advise getting this software.Update 1/1/2021:Well, I ordered the CD version..........  and now...........I still have the same state issue.After more investigation, I get no where.  There is a 'fix' for a state problem, and I ran the program, however, this fix is for 2019!!!!  It still did not fix my issue.I now think that the state - is JUST NOT AVAILABLE yet.  It frustrates the hell out of me, that if that is the reason.........why..........why...........why..... wouldn't TurboTax just TELL YOU THAT when you went to get the download?This CD version is returnable until Jan 31, so I will wait.............  The download version is not returnable, and, was the same price.  If this does not work, I will have to choose another software,",State is in a loop.  No support.  VERY frustrating.,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,43 people found this helpful,494,155,Public,419655
PS54,amzn1.account.AFQJQWAGXAWOME6VIQGJFBCVRJAA,"Reviewed in the United States on December 21, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I've tried everything I've found online to fix this, but it still locks up on the activation screen so I cant enter my license #.  My son warned me not to order this from Amazon. now I know why.  And I can't seem to figure out how to get a refund for a defective item....I want to switch to the disc version I've used for years.  Any ideas???",Amazon download not working on a brand new windows 10 PC,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,40 people found this helpful,42,9,Public,2733033
Daniel Mueller,amzn1.account.AFV6DBEHRLSVMGCIJW74J3EPNL2A,"Reviewed in the United States on January 19, 2021",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"This TurboTax download is a stinking hot pile of terrible programming. A lot of people here haven't been able to get to activation screen to work.Here's how to do it:Set the resolution on your screen to 800x600.Open TurboTax.Activation Screen should appear.Once activated, revert to normal screen resolution and get to work.",HOW TO GET THE ACTIVATION SCREEN TO APPEAR,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,31 people found this helpful,53,23,Public,1168998
Dan J,amzn1.account.AHE4Y3CYTBEOUE2ZFKSHQBXX4EHA,"Reviewed in the United States on November 4, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"January 8, 2021 Update:I finally got my STATE today (was released January 7, 2021) according to the notes. Better late than never (probably because of the pandemic). I should be able to file my return once I get the W-2 which usually arrives by the end of January, but I can double-check my tax liability ahead of the Jan Quarterly Estimate. I had been using the 2019 version for this and will now see how close that estimate was.November 4, 2020 Original Review:I bought this on the 4th of November 2020. Download was a breeze as was installation. I tested in on a Windows 8.1 Pro PC, as well as on a Windows 10 Pro Version 1909 (OS Build 18363.592) PC. No issues at all on either platforms. Note:  It will not run on Windows 7.The software requires an activation key as it did last year. You can find the key this way:1) Under ""Account & Lists"", select Account2) Click on ""Digital Games and Software""3) You should see a link to download the software:TurboTax Deluxe 2020 Desktop Tax Software, Federal and State Returns + Federal E-file (State E-file Additional) [Amazon Exclusive] [PC Download]4) And under the item you should see a 16-digital alphanumeric sequenceI was able to enter all my data into the tax return but since there are many forms which are not yet available, have to wait until the end of January 2021 to complete my taxes.I had used the 2019 TurboTax program to estimate my taxes for 2020 and 2021, and now will use the 2020 TurboTax program to make sure I am on track for 2020 and after I file my taxes next year, use the 2020 program to estimate 2021 and 2022 since all the forms will have been finalized by then.Unlike prior years I had no issue with the download or installation.",It's early and many forms are missing as expected,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,25 people found this helpful,"2,474",853,Public,1600
James P. Malone,amzn1.account.AGE57QCBZ4AB7ITBQCITMZXVFCCQ,"Reviewed in the United States on December 10, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I have always used TurboTax since before it was owned by Intuit (Originally Parsons' ) and I have never been sorry. This year might be the exception if it really costs extra to eFile the state. Since you can only file NY electronically this seems like an unnecessary cost burden on  the consumer. I guess this might not be Intuits fault. I did read somewhere if you file before 3/15/2020 eFile is free and I always try to file before then. I like to beat the scammers...,"TurboTax Deluxe 2020 Desktop Tax Software, Federal and State Returns + Federal E-file (State E-file",Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,16 people found this helpful,461,297,Public,40099
T. Miller,amzn1.account.AHO3NIRJJAZBDCC4XYHA65YZ2B3A,"Reviewed in the United States on November 6, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"I have tried installing on two different windows 10 systems. It installs fine, but the application itself does not startup properly. It dies with an error: © TurboTax Deluxe 2020 - Activation X This XML file does not appear to have any style information associated with it. The document tree isshown below.▼ <Error><Code>AccessDenied</Code> <Message>Access Denied</Hessage> <RequestId>3C3851D470362B05</Requestld>▼ <HostId> dnB00QoxdoR5hZccft5FK5kCGFHRYTmrujLKjl6jzSvPmeOMWQDcZlgKMdSzBpm4piEAViGMTg9o=</HostId> </Error>I have tried to contact intuit, but have been unable to get past the screening process on the phone.",this current download is broken - two days later it got fixed.,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,18 people found this helpful,28,22,Public,5414664
lxflxf,amzn1.account.AHDQEBCONNWHS5ZM5STID5FEREGQ,"Reviewed in the United States on November 6, 2020",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"The software is downloaded and installed smoothly. However, when installing the state tax part, it doesn't given warning while not showing up. Called Turbotax customer support and they said the state part is not available yet. If that's the case, the software should tell the user directly rather than just quietly doing nothing. Hopefully the state part could be downloaded in December. Other than that, it looks pretty much like the preceding versions.",Waiting for the state form,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,11 people found this helpful,118,31,Public,2518242
Ms. X,amzn1.account.AHUG2AFDDS6K7J2UVGAPJJHGZCLA,"Reviewed in the United States on February 11, 2021",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I've used the CD version of TurboTax for many years with no problems. This year I decided to try the download version. It didn't even occur to me to check the reviews. Turns out, many people are having problems with the download, and apparently customer service will not help. I spent SEVEN HOURS yesterday trying in vain to download TT 2020 Deluxe to my new laptop. I uninstalled/reinstalled several times, checked security/firewall and even changed the display resolution like a couple of reviewers suggested. Nothing worked, so I just paid $43 for 7 hours of aggravation, and worthless tax software. That is the last money that TurboTax will ever get from me!Another thing someone mentioned in the reviews- TurboTax has lobbyists whose goal is to keep our tax code as complicated as possible. I don't know if that's true, but it certainly makes sense that they'd want to do whatever they can to keep taxpayers in the dark and needing costly tax software every year. So...now I get to go purchase another tax software version, probably H&R Block. They probably have lobbyists too, but maybe their freaking software will actually work. And I'm getting the CD version, not the download.I REALLY WISH I HAD READ THE REVIEWS on this software download. I wouldn't have purchased it! The only good that may come of my mistake is that maybe someone out there will read my review and think twice before purchasing this garbage. Also remember, downloadable software is NON REFUNDABLE.",DO NOT BUY THE DOWNLOAD!!,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,11 people found this helpful,11,1,Public,10955179
FilipsFamily,amzn1.account.AE6C6D6ECEL6BO7HTMIHDTOFU4EA,"Reviewed in the United States on January 3, 2021",2,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Apparently, my brand new machine with 16GB of RAM doesn't have enough RAM to meet the 2GB requirement???Amazon, turbotax, make this right.I have used turbotax for years, This is ridiculous.EDIT: After 15 minutes, it spontaneously launched the installer.I thought I was in the clear... nope.As I enter information, my return should be growing as we nail down deductions, the child tax credit, ect.... but it is stuck at $674. Nothing I do changes this.I tried the 'repair' utility, and it encountered a fatal error. See image.AMAZON, I insist on a refund. I have used turbotax for years, this year it is garbage for some reason. I have NO confidence in this program, and I will not rely on it for something as important as my taxes.","Program won't reliably run, when it does it is BUGGY",Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,9 people found this helpful,45,14,Public,2975633
KeithV,amzn1.account.AEOEZMAE3HWAF273F5Q6CHMGOAUA,"Reviewed in the United States on February 1, 2021",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Turbotax's use of information from the federal return to automatically complete the state return is highly suspect.  Upon completing the interview for my federal return, the software automatically moved on to ""analyzing"" the state return (Illinois) and asking a few follow-up questions (e.g., county of residence).  I was never given an option to go through each state-level income/deduction category but was instead funneled straight through to the page to finalize and submit my federal and state returns.  Fortunately, I recognized that I had not been prompted to enter information about contributions to a 529 plan (which are tax deductible in Illinois).  After significant effort, I managed to get into the full self-service interview for my state return (honestly, I couldn't even tell you how I got there) and enter that information.  I also realized at that point that the software had skipped the state property tax credit (even though all of my property tax info was entered in the federal interview) and a smaller credit for teacher expenses (even though this information was also included in the federal interview).  All told, Turbotax 2020 almost cost me nearly $1,000.  And now I have to go back and review previous years' returns completed with Turbotax, hoping that this is a one-time glitch.",Substantial missed deductions on state return,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,6 people found this helpful,31,19,Public,4519847
Leopold Boeckl,amzn1.account.AFZMSPWF5FH7CEU2URUDSSTTDFNQ,"Reviewed in the United States on February 7, 2021",0,,https://www.amazon.com/TurboTax-Desktop-Software-Exclusive-Download/product-reviews/B08HSKNTCM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,I had previously stopped using Turbo tax 5ish years ago but thought I would give them a try this year.  (1) Was stunned when it hit with me $60 in fees for my refund at the very end of the entire process. (2) The program repeatedly said it would get me the best refund but did not calculate the impact of going with the standard deduction vs my actual deductions. I went back to this software because I assumed the other cut rate I tax software did not calculate this for me because it was cheaper and TurboTax would - ahh that was a big fat no!  In the end I just dove in blind and just chose to change my deduction to actual without any help from the software. (3) Finally despite the gozillion commercials - when the program asked for things to be changed upon review - which I had not input - I couldn't find anyone to call and further reduced my refunds as a result just to get the software to finally just freakin file the taxes. All the commercials with those desks with the Turbotax helper standing ready to answer questions - I sure couldn't find them inside of my deluxe edition anywhere and online their site just said give us more $$. For those of you who have filed yet - print the forms and mail them in. TurboTax gouges you for $60 bucks for direct deposit. Won't make that mistake next year.  So using this software I paid over $100 just for the privilege to file with Turbo TAx. And no - it didn't ask me anywhere how much it cost me so I didn't get to deduct that $100 and I used the guided walk me through it approach.  Given all the errors which the program input into the worksheets - I have no idea how much more TurboTax cost me . . . not a great feeling when spending over $100.........,Hidden fees ($60) and dumb as a box a rocks,Platform: PC DownloadEdition: Deluxe + StateVerified Purchase,5 people found this helpful,229,21,Public,8133759
