author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Magnum,amzn1.account.AFQSPUMI37HKDM3OGGVNYMYBINQA,"Reviewed in the United States on October 10, 2020",1,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I ordered this excited to get some relief from the pain. Once I opened the box I saw the warnings label. Well, I am over 60, have heart disease and have had stomach ulcers, and bleeding. I would guess the majority of people suffering from arthritis are 60 or older. Had I the opportunity to read the label I would never have ordered this. I am returning it, but wanted to warn people there could be medical complications using this. Voltaren should include a picture of the label.","This could be dangerous, read the label",Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,511 people found this helpful,"1,356",431,Public,2638
M. Reid,amzn1.account.AFJLSUUPHQVCMEWOFERHSUCQNSSQ,"Reviewed in the United States on May 27, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"My podiatrist prescribed this for me years ago for pain in my feet.  I have osteo arthritis and found it worked on pain places other than my feet as well - hands, shoulders, leg cramps, knees and more.  I only found out two days ago that I didn't need to get a prescription for it any longer when I saw a commercial on tv.  If you didn't have insurance or hadn't met your co-pay it could cost up to $80 per tube.  This stuff works - not for everything but it helps keep me going at 72 - I use it before working out, before yoga, before Pilates.  It is odor free, doesn't stain clothes, is absorbed very quickly and my doctor said I could use it up to 4 times a day.  It eliminates the need to take Ibuprofen or Alleve by mouth which I found upset my stomach.  It is really terrific at dealing with many kinds of pain.  I live in a state with legal medical marijuana and found those lotions didn't work as well as the Voltaren Gel on my aches and pains.  My only problem is if my dog is around when I first put it on she will try and lick it.",Been getting it by prescription for years and it works!,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2),611 people found this helpful,614,2,Public,2190199
mpenni,amzn1.account.AHPAAHRTIYJMDDIQBYLJT7EXDMSQ,"Reviewed in the United States on October 17, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I've battled fibromyalgia, degenerative disc, bone spurs, old back fractures, arthritis,  now a broken leg 2 months ago. I'm very used to physical pain daily. I don't remember what it felt like to NOT hurt. It's mainly my lower back, sciatica, spine down through legs. Gabapentin is my miracle medicine for extreme restless leg syndrome. I was on strong pain meds for about 14 years...over 120-140 a month, and it still hurt not to mention my body was addicted to the medication. I wasn't an addict, like we all think of, but the pain was more intense if I tried to stop. After a pain management took me through a month of morphine, which im obviously allergic to, because had horrible headaches and threw up. I took it back to be counted and flushed. Oxycodone or oxycontin...I don't remember, did nothing. Then he wanted me on methadone!!! Ive always believed that is what addicts are given to get off heroin and such. I walked out and haven't been back. February will be 3 years of no pain meds. Damn right it was rough. I knew it was what I had to do, though, because meds were getting stronger, and I still hurt terribly. I even had the nerve injections in my lower back. The first one was wonderful,  the next 2 were a waste of money. I decided I'd try to just bow up and walk it off with hot Epsom salt soaks, icy hot, icy hot with lidocaine (which a doc discovered I couldn't take) I tried otc patches, every spray, every cream. THEN, my husband's best friend told me about VOLTAREN!!! OMG!!! If only I'd had this years ago!! Obviously  I was skeptical. But, I went to CVS about 8:30 one night because I was just hurt too bad. I put about a nickle/quarter size squirter in my hand....rubbed my lower back, and within 20-30 minutes, I realized,  omgoodness!!! I'm not in that pain anymore!! I could not believe it!! I hit Amazon and ordered 4 more large tubes!! I will never be without this amazing cream. THANK YOU for helping me function better and enjoy a better quality of life with my family. It absolutely still blows my mind how well it works!! My daughter tried it and was like 😳 exactly!! We are fans for life! Sorry this is so long, but I felt it was important to explain how extreme my pain has been close to 2 decades and trying every prescribed medication, otc meds, patches, sprays, injections, and creams. Next step was going to be to the new medical Marijuana clinic. Now, I'm happy with VOLTAREN 😀 thanks for listening! Marilyn P.","The ONLY thing that has EVER worked, and it works fast!!",Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,471 people found this helpful,494,33,Public,41564
Quinn,amzn1.account.AFA3AXHGDTQZEP7BUR7B5ZVLAT3A,"Reviewed in the United States on June 12, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"I've been prescribed this for several years. With my prescription and insurance, my out of pocket was still $80/tube.  It works well for me for inflammation, swelling and arthritis. It is not like Biofreeze or Bengay. It is not for immediate pain relief. You have to use it for 5-7 days before you see results. Works fairly well for swelling and joint inflammation. It is a topical NSAID, not an Icy Hot type product.",Glad that it's now OTC,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,344 people found this helpful,466,53,Public,36109
Stephanie Gross,amzn1.account.AHBPRDGUF233AOLDC2MVMUVIEKSQ,"Reviewed in the United States on May 29, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,Don't waste your time or money.Go to aspercreme with lidocaine!It is the best.I used voltaren for years....but the lidocaine is much much better!,Voltaren - NOT,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2),339 people found this helpful,345,15,Public,196324
Nancy Kolb,amzn1.account.AHBP6MZVXCBBDKAKHONTDVFX4Q3Q,"Reviewed in the United States on June 8, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I had high hopes that this would help my knee pain. Followed the directions exactly.  Much to my surprise, it made my pain even worse after 2 weeks. Continued use for 4 more days but I could hardly walk because of such severe pain.Disappointed!",Didn’t work for me,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,164 people found this helpful,172,17,Public,273217
duckdog,amzn1.account.AFJTR55HABQW4IWNZ253H2SC2P2A,"Reviewed in the United States on June 3, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,It is about time them put this over the counter.  This is by far the best deal I have found yet.  I was paying a lot more as a prescription for this same product.  Very good on all of my aches and pains.,Very good deal!,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,159 people found this helpful,237,103,Public,204128
Mark T.,amzn1.account.AGJI7TTSMMLW3BN24IVQGAGZD25A,"Reviewed in the United States on June 7, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I was given the prescription-strength years ago and found it took the pain away from my hands and knees. Voltaren is the same thing right down to the volume of the tube. My arthritis doctor said I could use it along with Celebrex.,Exact same strength as prescription,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,150 people found this helpful,157,10,Public,781866
AmazEveon Customer,amzn1.account.AFO5YPOLM7PAGRGZD7XQFL3HNT4Q,"Reviewed in the United States on June 14, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,Love it I have lowback arthritis..and I was in pain due to I'm a healthcare worker . I put this on and it relief my pain . Felt brand new the next day. Good to have. Love it,Any one with arthritis this ointment comes in handy,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,114 people found this helpful,119,57,Public,196700
Fluffy,amzn1.account.AH6JIGSGK5WYGKAB3BPY3BFXDBJQ,"Reviewed in the United States on June 7, 2020",0,,https://www.amazon.com/Voltaren-Topical-Arthritis-Relief-Ounce/product-reviews/B084ZMMVQS/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I was prescribed this a number of years ago by an orthopedic doctor after a severe fall and injury.  At that time it was a prescription, and my co-pay was $80.  Insurance notified me that they would not pay for it again.  So glad that it's over the counter now because it really gives deep pain relief to injuries and arthritis pains.",Super Pain Relief Cream,Flavor Name: UnflavouredSize: 3.5 Ounce (Pack of 2)Verified Purchase,102 people found this helpful,320,190,Public,62519
