badges,page_url,ranking
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHKV64PN45MRQNX3IGSD7KABOQCQ/?view=visitor,1407841
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHBE5RN4277GTZIFVXZWSAOYPGVQ/?view=visitor,912686
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEZXPWSJFOENYUSRUCJHW5JB75RA/?view=visitor,6949
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGDU7W75GSHSDQ2ZA56YSC6K2ZSA/?view=visitor,438160
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEXJYWYM7SIIJSZNOZMXX2NFJUCQ/?view=visitor,765562
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEDDWMIRI7PUNDWE2TUM5X4ZGOBQ/?view=visitor,105288
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHV4IXIADLCUH7JMK33MLJYY4X4Q/?view=visitor,2516206
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ3W6QCMVJRSTYPSF3DMXQ5CYDQ/?view=visitor,572
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AETPLHGLWQYCL44LW5RFXFNN23NQ/?view=visitor,1326628
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AELNV4K6FMGWJ2IX3O4YMR6DHD7Q/?view=visitor,1723419
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFKI4OYHJDTNOV3DCBABQCVMIBJA/?view=visitor,110282
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH5STJ4Y7JH5V4RCZ575RGZHRRXQ/?view=visitor,266289
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHHLKTYTNM7CUZXKS6DE6SV64ZOQ/?view=visitor,603167
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHABE5L3GLNAJTKJU2Y2JDW5GIYQ/?view=visitor,6141708
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHDPIZTUGHOKXRCYDYYLAQLUOXOA/?view=visitor,3828427
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFXLBKY7G4BZ4RPF72Q4D6ZWZMZA/?view=visitor,2943111
