helpful_votes,page_url,total_review,visibility_status
170,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTVNDN2QZZDHMMWU3GY57M6DPZA,31,Public
115,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWQJ26L3ZTPPD4YAQSJSD4CGKFA,38,Public
932,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLJUYGVOHKVDB7B5XEND6UIZUNA,119,Public
109,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4I4VPECZJQBHYJCIUJAMV5DGFA,26,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXYSOD3MRXI3JOAYP4MB5XZ4MMQ,37,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6KDG4SXZFAQ6TYWPH526FRGIAQ,94,Public
210,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQXSSLPZME42EZS4G3VXLUKGPLQ,113,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELX744C4N3JNTW42LOACDVH4LJA,26,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMDKQ2BMRRCTR7FJRAOY2YRO2ZQ,85,Public
,,,
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHF4XR2DHZT6PPM5Z7CF66IYFKGQ,56,Public
527,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLJDAVAL4RQBGCQ6KC73EWIONCA,229,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC4MTFDJ2ITUYSC74T7PQQB64MQ,19,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCK3WVFEBUIPXHQHQ2GEUUW62WQ,48,Public
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6BBI7UCMYQ75VIFMN6WUOZK63Q,68,Public
664,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFM5MHTJKTAI5JOB4D45XE6X5PCA,187,Public
196,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4AWLMBUIPZUDYGYUW7CKPMPL3A,60,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGF6PSDVWVFRAKUHK4LBTVH2D5YQ,25,Public
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYEDJF2GFK6SY7ODWBK2IXCZ2CQ,7,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWCPVPJT2GA4XDRX3VV6X5JPKJQ,24,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKAFJCETRKDDT64WI6SZWEEUXUQ,76,Public
402,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIUCDSXZIHND3XM6KZKHLRVZ2WA,267,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFI2HJSEQZ2A5G7UGTYYXKXC3D3Q,23,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGY6V6S5CC4DTXJAJMLV7DUTHNA,62,Public
280,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESDPFQJFRSZ4HQ6GBVNCIBSIXKA,144,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLNKPLFDHHNBVQM2XVO6HY2OF5A,76,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDP23JWDWVY4LPVXHE6BCOQT4GQ,6,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZLV53UMB6EVG4KW5ZUXSSFVR5A,23,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQNKQJRFMSES5XJUKJGOOS7GK4Q,188,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5FKVIFQMBSVS4SEGCJQBUHVNYQ,86,Public
559,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFPJCG2UQKTAZXL37QLLL5MQHHQ,112,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWQZW6JT2REFM7VTEIFMBKCAXHA,101,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELA5SPCXNGU4SPRNUJIGKOFI3TQ,60,Public
103,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7UTAQGPFUB4SRNKSOPAB5INJYQ,82,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUACGMCKSZVL6ZXBVU6ISEH4EIQ,11,Public
200,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIWKQFKBOJS4NMLFADPOSOINXDA,297,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWJREUZT7KZ47RUKUAFMEP3HH6A,165,Public
"1,428",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHD4VWC75OAVZCUZACJGYVEZINA,263,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENSSCPSWMZ5LPOSD62YWOUWVCHQ,19,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2TNRWI3GPOFPLQW7P3YF5I6MGQ,65,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEJA3VNLSIMDT3GTHUEIZ7MIHVQ,22,Public
319,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMBYZT5OEUIBM3TEWHIEUUKO5QA,160,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3PMEYONDLBUJ7S4CCEZNOLKZIQ,27,Public
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE25TQV5EWLSFOU3N6GZOX5P2EOQ,92,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTKSMCI6L77ZV5AG3ZLYEFEYHWQ,111,Public
734,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDH5GT4FUQIMSQTS4D4NXB6XADA,"1,480",Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRUPNCFGIA5HCMO44DI6JEPI5VA,21,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUDBYJ5YAHWP76LZWHWO2O4PIUA,70,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3WYQN72EILYJYNSK4FIG6OOKJA,28,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ3APGDWGORRCDXAC35LBE3A3BA,42,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFICSB7DMQWNWPED6HFO7AVEGKA,56,Public
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEE67GVFFHOG4ZIB2VWMPUYB6WA,245,Public
114,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHJZOIKDRLKOMGJJEXEOKNBBVZQ,79,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXDGWGGNT6G2BGXQ7RP6CGX74PA,53,Public
156,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFE5L4LQ6HXFEPN3RZMYONSOAJKA,102,Public
