helpful_votes,page_url,total_review,visibility_status
333,,25,Public
550,,49,Public
135,,28,Public
174,,72,Public
80,,37,Public
447,,127,Public
119,,56,Public
108,,105,Public
78,,121,Public
44,,80,Public
40,,10,Public
"1,725",,392,Public
32,,22,Public
553,,119,Public
153,,110,Public
"2,533",,842,Public
513,,119,Public
9,,24,Public
110,,78,Public
599,,208,Public
56,,31,Public
53,,63,Public
"6,510",,"3,293",Public
156,,179,Public
124,,65,Public
640,,80,Public
124,,89,Public
966,,235,Public
322,,131,Public
18,,1,Public
36,,43,Public
196,,57,Public
10,,12,Public
37,,92,Public
27,,68,Public
120,,130,Public
393,,112,Public
"1,086",,143,Public
165,,126,Public
63,,84,Public
"1,393",,607,Public
125,,48,Public
137,,111,Public
42,,61,Public
49,,25,Public
688,,463,Public
19,,18,Public
"1,106",,599,Public
0,,9,Public
97,,48,Public
24,,28,Public
451,,173,Public
227,,211,Public
276,,75,Public
65,,55,Public
"1,037",,204,Public
10,,84,Public
"6,187",,"1,466",Public
13,,19,Public
67,,30,Public
148,,86,Public
368,,198,Public
15,,28,Public
23,,63,Public
75,,143,Public
126,,91,Public
50,,27,Public
59,,50,Public
,,,
5,,13,Public
77,,63,Public
79,,51,Public
"1,127",,616,Public
340,,187,Public
151,,114,Public
56,,170,Public
259,,359,Public
1,,16,Public
3,,7,Public
141,,196,Public
7,,41,Public
24,,69,Public
13,,44,Public
281,,176,Public
82,,90,Public
103,,39,Public
496,,736,Public
43,,44,Public
7,,20,Public
63,,106,Public
5,,71,Public
41,,28,Public
20,,34,Public
91,,127,Public
209,,238,Public
17,,46,Public
49,,45,Public
405,,209,Public
187,,29,Public
42,,55,Public
10,,57,Public
6,,43,Public
178,,46,Public
163,,178,Public
40,,26,Public
107,,400,Public
55,,27,Public
46,,57,Public
45,,74,Public
15,,12,Public
75,,156,Public
81,,85,Public
0,,0,Public
5,,19,Public
0,,7,Public
443,,124,Public
12,,24,Public
59,,71,Public
34,,20,Public
35,,36,Public
150,,115,Public
"1,600",,139,Public
184,,143,Public
42,,71,Public
249,,153,Public
1,,2,Public
0,,0,Public
185,,342,Public
76,,55,Public
,,,
27,,52,Public
224,,90,Public
540,,164,Public
105,,52,Public
39,,114,Public
60,,65,Public
1,,31,Public
18,,42,Public
336,,293,Public
10,,53,Public
39,,103,Public
60,,75,Public
"6,525",,468,Public
71,,29,Public
0,,12,Public
8,,22,Public
61,,105,Public
6,,34,Public
7,,73,Public
99,,135,Public
449,,405,Public
43,,28,Public
0,,10,Public
9,,28,Public
74,,132,Public
167,,91,Public
45,,131,Public
97,,195,Public
23,,100,Public
18,,43,Public
39,,43,Public
241,,72,Public
15,,107,Public
814,,101,Public
35,,45,Public
32,,41,Public
197,,142,Public
6,,39,Public
195,,54,Public
45,,59,Public
364,,41,Public
36,,86,Public
4,,11,Public
715,,292,Public
12,,40,Public
216,,69,Public
412,,676,Public
17,,29,Public
59,,158,Public
6,,17,Public
533,,286,Public
11,,32,Public
304,,47,Public
38,,62,Public
149,,68,Public
98,,66,Public
37,,87,Public
13,,21,Public
5,,13,Public
88,,71,Public
96,,119,Public
30,,56,Public
586,,164,Public
552,,124,Public
610,,386,Public
21,,51,Public
17,,67,Public
185,,142,Public
14,,4,Public
26,,42,Public
449,,398,Public
89,,96,Public
136,,101,Public
232,,337,Public
0,,27,Public
140,,26,Public
20,,29,Public
42,,3,Public
72,,66,Public
712,,232,Public
150,,189,Public
0,,27,Public
0,,0,Public
48,,100,Public
17,,68,Public
41,,50,Public
6,,47,Public
46,,13,Public
9,,113,Public
442,,97,Public
10,,28,Public
35,,54,Public
2,,15,Public
0,,8,Public
4,,30,Public
