author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Amazon Customer,/gp/profile/amzn1.account.AGZU7C2U7CQUH5SHFAFZ5LGE7MEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 10, 2018",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"These sheets are super soft and very nice.And honestly you can't beat the price.And I know If I went to the store today.I couldn't find any to beat these anyway.$30 and a good night's sleep.Yeah, I think these, I might just keep.Flat sheet, fitted sheet, pillowcases for you.Just go ahead and treat yourself to some too.And If you're reading this review,I hope you enjoyed my rap.Now brb I'm going have a quick nap.Yeah thats right, Im gonna lay on my sheetsTake a deep breath and discover some beats.And if you're looking for me?You might just find me pressing the key""Buy now"" immediately""Your new sheets are on their way""Thank you, have a nice day.",just a college student procrastinating,Size: QueenColor: Royal BlueVerified Purchase,"4,955 people found this helpful"
Jillian M,/gp/profile/amzn1.account.AFMG2BM5ETWRQTCVJQPDWYK2WLAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 20, 2018",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"These might be ok if you have no other sheets to compare them to. I am unsure if I just have a bad set, need to wash them more, or if I am just too high maintenance in the sheet department.With nearly 43,000 reviews and a few Blog posts, I was convinced these 100% polyester sheets would be awesome and they are not. I’ve washed them 4 times and slept on them 5 nights, here are my findings:-Color: these are a much darker grey print than the photo, very pretty but not The intended color.-Fit: they appear to fit our king size bed ok, but I have woken up with a stray corner under me twice.-Feel: it feels like I’m sleeping under a $10 bagged Halloween costume. The texture is soft in some areas and like a raincoat in others. They wrinkle much more than the 800 tc ones I have.-Temperature: These are the hottest sheets I have ever slept under. They are so warm I’ve woken up covered in sweat during/after each use. (We keep our house 67* in the summer, this hardly ever happens with the others)-Construction- they appear to be well put together.Overall I would recommend these for a dorm room, kids room or a guest room to torcher your mother in law. I wish we could return them but we threw out the packing and have washed them too many times hoping for a “breaking them in” miracle. They’ll look good on instagram though!",Don’t Buy These If You Already Have Nice Sheets,Size: KingColor: Quatrefoil Silver - GrayVerified Purchase,"2,646 people found this helpful"
Pragmatic Knee,/gp/profile/amzn1.account.AHOMQGJB2G5EAKNJUN6VJW4CDLKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 8, 2017",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I have a hard time finding sheets I like. They tend to be too rough for me. Doesn't matter what the thread count, not that I'm even sure what that means or that it's relevant to what I need. Anyway, I tend to stick with soft flannel but need a thinner sheet for summer.I tried some different brands that were always too rough for me, and I was about to go over the top and order a $250 set from Boll and Branch thinking that maybe that was what I had to do.Fortunately, B and R didn't have the color I wanted—at that price you can't settle for anything other than what you want—but I needed a pair of sheets. I saw these and all the positive reviews and gave them a shot. Excellent. And for the price: fanf-ingtastick. Really soft, no scratching or rough feel. These sheets did not require several washes to soften and have held up well to washing. They seem like they may not last forever, and I have noticed a slight run after several months that could turn into a tear, but at the price, I feel like a shorter lifespan can be forgiven.Lots of times the products that come highly recommended on Amazon are just the cheapest thing that a bunch of Walmart regulars thought was a great buy. But these sheets were perfect for me and half the price of the cheapest ones I had tried yet.Recommended.","Holy sheet, what a surprise.",Verified Purchase,"1,471 people found this helpful"
Amazon Customer,/gp/profile/amzn1.account.AG5XCCLXAXJYBSTKOBUU2RXIMJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 19, 2018",2,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"We purchased two sets of twin XL for our king split bed. What I like is the feel of the fabric - very soft and providing a little warmth, which is what I was looking for in new sheets for colder weather. What I didn't like: (1) The color of one set does not match the color of the other set, (2) there is a 4"" seam opening on one of the pillowcases which I will have to sew closed (3) the pillowcase does not fully cover the pillow because the flap just falls open (4) the stitching detail on the pillowcases is only on one side (5) the fabric feels so incredibly flimsy that I can't imagine these sheets will last through multiple washings (6) I washed this product with a double rinse and a heavy dose of Tide because  there was a strong odor, and that didn't fully remove the odor. I am hoping these sheets last a season, and I will never buy them again. Also, I am wondering why there are so many five-star reviews of these sheets. Yes, the price is terrific, but that's not the only thing to consider about sheets, especially when you spend many hours wrapped up in them every night.",Low quality product,Size: Twin XLColor: Light GrayVerified Purchase,"1,074 people found this helpful"
D. T. Miller,/gp/profile/amzn1.account.AEV66FG7T7TY2MI6C7FWALZV2BKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2018",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Despite a highly positive recommendation from a friend, I resisted trying microfiber sheets.  Since they are a synthetic fiber, I feared microfiber sheets would be hot in the summer and cold in the winter.  I was wrong; these sheets are what I've been looking for, for many years.In the past, I always purchased mid-level quality cotton sheets; the variation in texture and softness between different brands and fabric weaves left me constantly searching for that ""perfectly"" soft sheet set.  Furthermore, over the past decade or so, the transitioning of the textile industry from America and Europe to Asia has caused a steady and noticeable decline in the quality of cotton sheets; my last set of cotton sheets, which cost nearly $100 at a well-known bed and bath retailer, lasted just three months before I had worn holes in the area of the sheet directly under my body.The low price of these sheets led me to try them, with low expectations, given the marketing that touted these cheap sheets as ""luxury"" products; I've read the consumer advisories, and know to ignore the ridiculous thread counts and other such claims on most sheet sets.Opening the packaging, I was surprised by the softness and the seemingly good construction of the set.  After washing (always wash textiles before you wear or use them these days, due to the filthy conditions in factories), the sheets seemed even softer!  The deep pockets of the fitted sheet swallowed my pillow-top mattress, with seemingly enough room for another mattress!  Over the past few months and several washings, the sheets still look brand new, with no appreciable change except for an increasing softness.  The sheets were cozy warm this winter, though I don't know if they will keep me cool in the summer.In short, I have become a microfiber sheet fan (if there is such a thing).  The combination of low price, decent quality, and increasing softness justifies the praise these and other microfiber sheet sets are receiving.",I'm a Microfiber Convert,Size: QueenColor: GoldVerified Purchase,"2,834 people found this helpful"
Alan D,/gp/profile/amzn1.account.AFQQENP4YMLJDUS52O6ZW5QINUYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 25, 2018",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,3.0 out of 5 stars,These sheets are very soft and comfortable I have owned a set of these sheets for about two years they are one of the  Softest  sets  of sheets I have ever owned however there are two things that you should know about the sheets before you  buy  them Number one  they are not Cotton  they are  microfiber  And  very thin if you do not like thin sheets you will not like these number two they do wrinkle  And can become Pillie I am an adult male with A disability  part of that disability means that I have very clammy  sticky hands and feet  when I am sweating my hands and feet will stick to the sheets causing them to wrinkle  however these sheets are so luxurious and amazing that I can overlook that con for me at least but if you are somebody that sweats by with caution  since I have owned them they now have  started wearing  and getting A couple of very small holes in some places but as many of the reviews Have Stated  These  sheets are extremely soft and comfortable I can’t wait to get into bed at night at the time of this review I have just placed an order for two more sets of these sheets hope this helps anyone considering buying them I am  docking two stars because of the fact I do occasionally stick to them and for The holes that have started to wear,A review from a sheet snob these sheets are very soft and comfortable BUT...,Size: FullColor: GrayVerified Purchase,"1,002 people found this helpful"
Zack,/gp/profile/amzn1.account.AFN7523L62X5GZWUGB6ZUEYS3GJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 1, 2018",1,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Compared 5 microfiber bed sheets:THE WINNERS:- Mellanni Bed Sheet Set - Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Queen, Gray)https://www.amazon.com/gp/product/B00NLLUP4G/ref=od_aui_detailpages00?ie=UTF8&psc=1- Queen Size Bed Sheets Set Gray, Highest Quality Bedding Sheets Set on Amazon, 4-Piece Bed Set, Deep Pockets Fitted Sheet, 100% Luxury Soft Microfiber, Hypoallergenic, Cool & BreathableSold by: TheComfortZonehttps://www.amazon.com/gp/product/B00VAOOTCU/ref=od_aui_detailpages00?ie=UTF8&psc=1Both are about equal softness, color, and can be tumble dried. They even have similar stitching.LOSERS:- Bed Sheet Set - Microfiber Bedding Deep Pockets sheets 4 pc by Maevis (Dark Grey,Queen)https://www.amazon.com/gp/product/B0719QVXLG/ref=od_aui_detailpages00?ie=UTF8&psc=1These are the cheapest of the bunch. As soft as the Mellanni and TheComfortZone sheets but CANNOT be tumble dried. They also had more 1-star reviews so I'm exxing these from the list. I'm guessing they're just lower quality hence the cheaper price. But honestly they are REALLY soft. You could probably just keep buying them if you wanted to because they're so cheap. Could be good for a guest bedroom.- AmazonBasics Microfiber Sheet Set - Queen, Dark GreyNot as soft as the Mellanni/Maevis/ComfortZone.... Not worth it IMO. Just about as rough as the Sonoro.https://www.amazon.com/gp/product/B00Q7OARO2/ref=od_aui_detailpages00?ie=UTF8&psc=1- Sonoro Kate Bed Sheet Set Super Soft Microfiber 1800 Thread Count Luxury Egyptian Sheets 16-Inch Deep Pocket Wrinkle and Hypoallergenic-4 Piece(Queen Dark Grey)Sold by: Soft Linenshttps://www.amazon.com/gp/product/B06XWGVZ5R/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1Very rough like AmazonBasics. Not that good. ALthough the packaging says ""The Great American Store"" so it's possible they sent me the wrong sheets.",Cool & Breathable Sold by,Size: QueenColor: GrayVerified Purchase,975 people found this helpful
The SFC's Wife,/gp/profile/amzn1.account.AFJGXBXHU4GM4J7SUVSKRVGBT3PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2017",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"These sheets are one heck of a bargain! I'm not going to lie- I was skeptical when I saw the price when I ordered them,  but my great dane managed to tear one of my other sets, and well, desperate times call for desperate measures. I found myself on Amazon- just like you are now,  reading reviews, trying to save a few bucks, but not ending up with the crappiest sheets ever made- the Internet can be terrifying like that (I've been scorned,  can you tell? ).Then I stumbled across these... the Mellanni Bed Sheet Set, and I was SURE I had read the price wrong or that there was some 'catch'. Less than $20 for an ENTIRE sheet SET for my Queen size bed... with mostly positive reviews?? I've paid more than that for 2 pillow cases! There were a large selection of colors to choose from  (I went with the dark brown to go with the hand made quilt on my bed).... still less than $20 for the sheet set- no catch yet. Checked out, paid for,  now we wait...2 days later my precious cargo arrived.  After I ripped that package open like a kid on Christmas, I looked and inspected my new sheets for something,  ANYTHING, to be wrong with them. I got nothing! Now,  you should know,  these ARE a thin sheet- you can practically see through them if you hold them up to the light- but don't let that discourage you.The 'sleep test': I put these suckers on my bed for the TRUE test of any sheet, and oh my... they are fantastic! They are soft. It's like coming home after a long, yucky day at work,  and all you want is to crawl your sorry self into bed for the night,  and your sheets GIVE YOU A HUG all through the night.  But they are breathable,  so you aren't sweating like crazy. Ah-May-Zing!They also wash nicely, they come out soft- but not 'flannel soft', and they fold up neatly  (except for the fitted sheet- only because I don't know how to do that- seriously,  WHO EVEN KNOWS HOW TO FOLD A FITTED SHEET?!??)Would I buy these again? If you even have to guess, then I need to work my my writing skills, because it's absolutely a 'YES' from me! These sheets are honestly one of the best bargains I've ever found online. Less than $20 for a Queen size sheet SET that isn't total crap.... I'm in!","Long, but might make you laugh",Size: QueenColor: BrownVerified Purchase,"2,032 people found this helpful"
Easy Going Sam,/gp/profile/amzn1.account.AHH7SHD7PDI5H4EZWXBZUPQSFGRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2018",1,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"The fitted sheet on the left was not white, as you can see in the photo.  It was not ""Silky Soft"" as in the description.  The 2 different sheets felt like they were made from to different materials.  The top sheet was white and soft.  The pillow case was also white and soft.  Not sure how something that is obviously not white, gets put into the one for white.",Poor quality control.  2 different color sheets.,Size: TwinColor: WhiteVerified Purchase,378 people found this helpful
Crashrb,/gp/profile/amzn1.account.AGI7RK2ZLTYD73XVFWFYTQYZ3DXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 30, 2018",0,,https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"I have two problems with these sheets:1. I washed the sheets before putting them on my bed.  I wash in warm and rinse cold and the sheets shrunk slightly, but not so much I still could not put them on my 18"" mattress.  However, the elastic did not hold them in place overnight!2.  This is by far the worst of the two problems...they pill!  I found up to 1/2"" fuzz balls from the sheets on the sheets.  At first we thought our dog got under the sheets because we could feel what we thought was clumps of mud in our bed.  Upon closer inspection, they were pilled fabric!I have washed them again.  If they do better with the second use, I'll re-rate, but for now, I am extremely disappointed with these sheets.  I would have thought Amazon would have vetted their lightning products better.UPDATE:  3/20/19 - the pilling problem never improved and the elastic on the bottom sheet was shot after the 4th wash.  They are no drop cloths for painting.  No matter what the price is, steer clear!",Who wants sheets that pill up?,Verified Purchase,302 people found this helpful
