author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Angie,amzn1.account.AFUOWXBXTYITFKQEAFQ7ZAIM4WQA,"Reviewed in the United States on October 18, 2019",4,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Before I bought these, I scanned the reviews for a comparison to Bombas. I didn’t see any so I’m writing one for those who may be wondering. These are pretty good socks. I wear a size 9 and still find them slightly looser than my Bombas socks, but I haven’t washed them yet so that might change. My first impressions are, they are thinner than Bombas, but are just as comfy and sit slightly higher on the ankle, which I happen to like. I’ve attached pictures for comparison and for you to see how they sit in your shoes. Overall, I think if you’re looking for a comfortable sock, with arch support, these are a good deal.",Comparison to Bombas Socks review!,Size: Shoe Size: 7.5-10.5Color: White Assorted (8 Pairs)Verified Purchase,"1,678 people found this helpful"
katers,amzn1.account.AEHVT5QVWHWD2UGH34QZHR2BLC3A,"Reviewed in the United States on May 4, 2018",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"They're very similar to Balega's hidden comfort socks, but they're much cheaper. I don't run long distances, so perhaps Balega's may be better in those instances. These are my favorite socks. They don't slip down in the shoes, but they're not too high on the ankle. I really can't praise these enough. They're incredibly comfortable! I wore them in warmer weather (70-80 degrees) and cooler weather (50-55 degrees), and I was comfortable in both. They may be too thick for any hotter than  80 though.",I can't praise these enough,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,344 people found this helpful
Lia Ivy,amzn1.account.AG3SPHFFXS6N4VAJCAUL7G2PIJRQ,"Reviewed in the United States on February 26, 2019",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"These are seriously my favorite socks of all time. I first bought a pack of them multiple years ago at a big box store and haven't been able to find them in stores since then. (Maybe I'm just bad at looking but oh well). I finally found them here on Amazon and was so excited. I have multiple different brands and types and styles of socks and I always find myself reaching for these ones above all my other pairs. They never fall down into my shoe, even when I'm running at the gym or working 9 hour days. I've even worn them in winter boots for extended periods of time and they still stay up! Plus even the ones I bought years ago still have no holes and have held up very well. Super happy :) I never thought I'd be so passionate about socks yet here I am. Hahahah.",Amazing socks.,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,248 people found this helpful
S. Gillen,amzn1.account.AHDP3WV57T6MI6D3756SBJOQG3EQ,"Reviewed in the United States on March 31, 2018",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,I was very excited when I ordered these socks. Usually socks give you a huge range like these and they still fit very small feet. These socks are really big. I usually wear size 5-6 shoe. I am not able to wear these socks with my running shoes.,These run very big,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,273 people found this helpful
Amazon Customer,amzn1.account.AG7L3B7CHDHV72BEE7LIZGHDK6MA,"Reviewed in the United States on September 8, 2018",1,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"These are true to the photo, BUT the photo is misleading. 3 of the eight pairs have hot pink and neon green tabs. Which is a bummer if you don’t want them to clash with your shoes or outfit 😕. I’m keeping them because I love the fit and feel of Saucony socks, and I can save the colored ones for when it doesn’t matter.",Not all black tabs,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,165 people found this helpful
Another Martha,amzn1.account.AHLSJ6EKN6V7RSC2NOJWPSYQMCHA,"Reviewed in the United States on April 10, 2018",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"They are nice socks.  I wear a ladies 8 to 8.5.  They fit well.  I can see that if someone had a small foot that there would be too much sock to deal with.  I do wish they were a lit more mesh and thinner, but they aren't heavy thick socks either. I was looking for a very specific sock to replace some Fila socks I already own that I love.  Also - they are not super low cut.  SEE THE PHOTO in the listing - they do come up to your ankle bone.  So anyone complaining that they show above your shoes is not paying attention - the photo is very accurate regarding that aspect of fit.",They are nice socks,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,158 people found this helpful
Tisismine,amzn1.account.AELNSGG63EP2UQK5PQTTBVO2KOVQ,"Reviewed in the United States on May 29, 2018",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Awesome socks!  I wear a size 9 shoe and these socks fit great.  I hate when socks slip down into your shoe but these don't.  They are also fairly cushy...not too thin.  The only downside is that a couple of the pairs of socks has a colored tab on the back instead of the plain grey that I expected.,Awesome socks! I wear a size 9 shoe and ...,Size: Shoe Size: 5-10Color: Grey Assorted (8 Pairs)Verified Purchase,112 people found this helpful
Sarah Williams,amzn1.account.AFAXJLDKCPSKW3HH3YEXIN4VDL4Q,"Reviewed in the United States on March 12, 2018",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Got these socks last week as I needed a good new set of running socks for my half-marathon training. The tab at the back comes up high enough to protect my ankle from any chafing and the arch support is great on these. I’d be a little hesitant to wear them in the summer for running because they are pretty thick, but otherwise, they’re awesome. I’m a size 7 1/2 and got the set that fits sizes 5-10, but they are a little on the long side. There’s a little excess length to manage at the bottom of the sock but once they’re on, you don’t really notice it too much.I will definitely be buying these again when it comes time to replace them.",Slightly large but perfect for running,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,110 people found this helpful
Barbara Lobban,amzn1.account.AHYVD6S65AL6ISPRIXSXZOP3Z2YQ,"Reviewed in the United States on June 10, 2019",1,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,The quality is terrible. This is the picture  after first wash!!!!  Please DO NOT buy the product!,Terrible quality!,Size: Shoe Size: 7.5-10.5Color: Black Assorted (8 Pairs)Verified Purchase,72 people found this helpful
Cynthia T,amzn1.account.AHQP4TXDPKBXBQVDEQQPSQFGAIWQ,"Reviewed in the United States on January 12, 2021",0,,https://www.amazon.com/Saucony-Womens-Performance-Athletic-Socks/product-reviews/B08D22XC8M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I specifically asked if these were made in China and the response I received said no. But guess what? They are, indeed, made in China. They try to fool you by saying “Manufactured under license from Saucony Inc in Winston, NC”.  But in teeny weeny little letters on the pack of socks it says Made in China. I will be returning these.  If you are like me and avoid Chinese made products you can cross Saucony off your list.",Made in China,Size: Shoe Size: 5-10Color: Black White Assorted (8 Pairs)Verified Purchase,37 people found this helpful
