author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Hayley,/gp/profile/amzn1.account.AEFEIWAVOWLAVJMGRNDJXI7DDXVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 25, 2019",7,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"It took me a VERY long time figuring out if I wanted to purchase this item or not. There were sooooooo many negative reviews and I just did not want to waste my money. After this choice being in my bottom 2, I decided to just say “what the heck” and bought this one. I must say, I am SOOO happy with my choice!!!! I love love love these pans. I read some reviews from users stating they broke easily or the handle is catching on fire or the utensils are melting while chooking... none of that has happened to me and I cook using these pots almost every day. Any time I have company they always compliment the turquoise color. For washing, I do not use the dishwasher. I follow the rules exactly as they say and hand washing is best for a longer life!!!! I use sometimes only my hands and light soap or will use a wash cloth with light soap. I follow the rule of low to medium cooking temps and my pans have stayed in great shape. I am very gentle with them. If you want stuff to last, take care of it!!! 👍🏻👍🏻👍🏻 If you can’t decide to purchase this right now, please consider this comment to make your decision!! You won’t regret it 😊 to know they are healthy for your family to! Also I always got nervous if the positive commenter is paid for or if negative comments are from a rival company... can I just say, I am a real person lol I verify I am a normal person who purchased this!! 😅",Great pans!!! 👍🏻,Color: TurquoiseStyle: Cookware SetVerified Purchase,"1,390 people found this helpful"
audrey,/gp/profile/amzn1.account.AFQ5LPSGUC5L6HIAXVTMWQBBSIQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2020",1,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I did a lot of research when I wanted new pots and pans and when I decided on ceramic I read up a lot on how to take care of them. I bought this set in August 2019 and this is what happens to them now (January 2020). This has been going on now for several months. I contacted the company a couple months after purchasing to see what I could do or maybe I got a bad batch and they told me I was cooking at too high of a heat. I make sure every time I use them I cook on low-low med heat, I did my research and I wanted these to last!  I also have some ceramic chipping off on the pots. I bought silicon utensils to use on them since the ones that came with them were melting onto the pots and pans. This is very frustrating, and a waste of my money, take my advice and don't waste yours.","Do not purchase, not worth it.",Color: PinkStyle: Cookware SetVerified Purchase,498 people found this helpful
Preston M. Holder,/gp/profile/amzn1.account.AEJMCHPCZ4TE7LT6NSUFNKSU32RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2018",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"In the first couple of days these pans were perfect. I made sure to hand wash only. They started to chip.... Which meant that chip was consumed by someone in my family. Ill save the world another photo but the same brown burnt pan you see is exactly what happened to mine as well. I am a low heat cooker, when I saw the other reviews I thought maybe those people cook on extreme heats. Nope! I was wrong. DO NOT WASTE YOUR MONEY.",DO NOT BUY,Color: TurquoiseStyle: Cookware SetVerified Purchase,619 people found this helpful
Joy Curry,/gp/profile/amzn1.account.AG4PQKFWUTIJ7DKWSRIWBL7OFVEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 25, 2018",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Sadly these are very poor quality. There are small scratches on the bottom of the pans after being used a few times, the scratches are not that big of deal, what is a big deal is that those scratches are already RUSTING! Returning them to Amazon.",Sadly these are very poor quality. There are small scratches on the bottom ...,Color: TurquoiseStyle: Cookware SetVerified Purchase,382 people found this helpful
Magdala,/gp/profile/amzn1.account.AFXRHQAOMU6VLRV7DMBWJNCYNBCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 22, 2019",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"The product looks beautiful. The description sounds wonderful. I heated spaghetti sauce on medium, placed it’s cover on to avoid splattering, and a few minutes later, I heard a loud “pop” looked down, all of the glass imploded into the sauce, I picked up the pot to remove from the heat and the glass shattered everywhere, including my leg, sharp glass broke the skin and I was covered in sharred glass. Amazon refunded me, I am concerned that the glass lids will hurt someone even worse. I was told that the product would be unavailable until it was checked which did not occur.",Safety Concern - Dangerous,Color: TurquoiseStyle: Cookware SetVerified Purchase,235 people found this helpful
b,/gp/profile/amzn1.account.AHWFNEEUSCRNHZBG6ZNAD6UKQHFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 25, 2018",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Okay, what did I like about the product?  The offered price, the size of the set of cookware, the color, the ceramic coating.  What did I not like about the product?  The set was mis-matched (two different brands of cookware tossed together), it was dirty, the ceramic of several of the pieces was horribly damaged, it was missing at least two pieces supposedly included in the set, but someone had very kindly included a gold-tone pot in the burgundy set. (Was this a consolation prize for the messed up pans that were sold??  Though I must report that as abused as this cookware was - the handles were not burned!!  So thank you Amazon for protecting your customers.😇","Thank God and any other Divinities for Amazon's ""A to Z""  guarantee!!",Color: RedStyle: Cookware SetVerified Purchase,275 people found this helpful
Lauren & Candy,/gp/profile/amzn1.account.AEENYC5IID7Z2QB5AP56UTLDV3FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 22, 2019",1,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,As the Queen of Pastel Pink these port are certified fresh OKAY! When I moved into a new house I KNEW I had to have pink pots so I was elated to find such a nice set at a reasonable price. The color and my arachnophobia-driven fear of lower cabinetry made me keep them in display! Such great little pots with an amazing nonstick finish! Cleaning them was a breeze! I would recommend for any pink lover!!!,TRUE TO COLOR MUST HAVE!,Color: PinkStyle: Cookware SetVerified Purchase,190 people found this helpful
ashley,/gp/profile/amzn1.account.AFUABZMIJC7HWZ25NTKSMID2BYUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2018",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"If I could give zero stars I would!!! This is my first review on Amazon, true talk.  This is horrible!!  The pots, fine.  But the pans, DO NOT BUY!!!  The Pans stick, do not Clea well, burn on the bottom and the handles (regardless of the heat setting) and are overall CHEAP!!!!!!  I have never, in my life, bought a cheaper set of pots and pans EVER!!!!!  DO NOT BUY!!!!!!! (I could go on and on but my husband thinks this is sufficient and I should give at least 2 stars..because the pans were ok for a few weeks...men!)",This is horrible!! The pots,Color: TurquoiseStyle: Cookware SetVerified Purchase,303 people found this helpful
D,/gp/profile/amzn1.account.AGLWZB4O3FRPCUPZZTTNK4FN37VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2019",1,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I LOVED these at first because of the color, but they are not meant to last. Not even 6months later and I am having to buy another set of pans. The pans over-heat (even on medium low) and it seems the nonstick surface has started doing the opposite and clinging onto any and every food fiber it can. I initially got a partial refund from Amazon because a week or so after purchase, one of the pans overheated and melted the cooking utensil that came with the set. This cause a dark burn spot that would not come off and food to stick to the pan. Since then, I have been careful to only use silicone utensils. The pans in the pictures have only been used for pancakes and eggs and the black parts will not come off. My last set by a different company lasted over 2years and even burn steak came off of them. These can't handle pancakes. DO NOT PURCHASE. Such a waste of money.",Pretty but also pretty useless for cooking.,Color: LavendarStyle: Cookware SetVerified Purchase,80 people found this helpful
Muvaju,/gp/profile/amzn1.account.AHMENK7YBAY46HZ23BV4LLKMLPDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2019",0,,https://www.amazon.com/GreenLife-Ceramic-Non-Stick-Cookware-Black/product-reviews/B072N5PC83/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I read the review about these pots and I was extremely skeptical! However when I used them and I use them EVERY DAY they’re the best damn pots I’ve ever had. So easy to use. Easy to clean. Just easy !!!!,Very durable !,Color: PinkStyle: Cookware SetVerified Purchase,79 people found this helpful
